Extraction_Method,Protein_Symbol,Gene_Symbol,Score,Mass,Num_Significant_Matches,Num_Significant_Sequences,Num_Unique_Sequences,Protein_Name
PBS,PDCD5_MOUSE,PDCD5,178,14266,20,4,4,Programmed cell death protein 5
PBS,PDCD6_MOUSE,PDCD6,49,21911,4,1,1,Programmed cell death protein 6
PBS,PDIA1_MOUSE,PDIA1,7164,57422,400,25,25,Protein disulfide-isomerase
PBS,PDIA3_MOUSE,PDIA3,1399,57099,94,13,13,Protein disulfide-isomerase A3
PBS,PDIA6_MOUSE,PDIA6,1046,48469,59,8,8,Protein disulfide-isomerase A6
PBS,PDK2_MOUSE,PDK2,1374,46239,71,8,8,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial"
PBS,PDK4_MOUSE,PDK4,338,46909,28,4,4,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial"
PBS,PDLI3_MOUSE,PDLI3,5383,34734,240,11,11,PDZ and LIM domain protein 3
PBS,PDLI5_MOUSE,PDLI5,838,64514,67,6,6,PDZ and LIM domain protein 5
PBS,PDLI7_MOUSE,PDLI7,526,51170,40,4,4,PDZ and LIM domain protein 7
PBS,PDP1_MOUSE,PDP1,104,61712,9,4,4,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial"
PBS,PDPR_MOUSE,PDPR,210,100079,18,2,2,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial"
PBS,PDXK_MOUSE,PDXK,188,35278,16,3,3,Pyridoxal kinase
PBS,PEAK1_MOUSE,PEAK1,17,193088,1,1,1,Pseudopodium-enriched atypical kinase 1
PBS,PEBP1_MOUSE,PEBP1,9095,20988,416,11,11,Phosphatidylethanolamine-binding protein 1
PBS,PEDF_MOUSE,PEDF,214,46262,13,5,5,Pigment epithelium-derived factor
PBS,PEPD_MOUSE,PEPD,766,55962,62,11,11,Xaa-Pro dipeptidase
PBS,PEPL1_MOUSE,PEPL1,252,56817,19,2,2,Probable aminopeptidase NPEPL1
PBS,PEX10_MOUSE,PEX10,96,37704,7,1,1,Peroxisome biogenesis factor 10
PBS,PEX6_MOUSE,PEX6,35,105681,1,1,1,Peroxisome assembly factor 2
PBS,PFD3_MOUSE,PFD3,235,22592,9,2,2,Prefoldin subunit 3
PBS,PFD5_MOUSE,PFD5,118,17402,7,1,1,Prefoldin subunit 5
PBS,PFKAL_MOUSE,PFKAL,6821,86104,294,5,1,"ATP-dependent 6-phosphofructokinase, liver type"
PBS,PFKAM_MOUSE,PFKAM,75686,86070,2871,43,39,"ATP-dependent 6-phosphofructokinase, muscle type"
PBS,PGAM1_MOUSE,PGAM1,5513,28928,240,9,4,Phosphoglycerate mutase 1
PBS,PGAM2_MOUSE,PGAM2,43092,28980,1980,25,20,Phosphoglycerate mutase 2
PBS,PGFS_MOUSE,PGFS,400,22055,36,5,5,Prostamide/prostaglandin F synthase
PBS,PGK1_MOUSE,PGK1,54777,44921,2382,34,27,Phosphoglycerate kinase 1
PBS,PGK2_MOUSE,PGK2,10410,45223,441,9,2,Phosphoglycerate kinase 2
PBS,PGM1_MOUSE,PGM1,57797,61665,2419,44,44,Phosphoglucomutase-1
PBS,PGM5_MOUSE,PGM5,357,62751,53,2,2,Phosphoglucomutase-like protein 5
PBS,PGP_MOUSE,PGP,2357,34975,131,11,11,Glycerol-3-phosphate phosphatase
PBS,PGRP2_MOUSE,PGRP2,48,58184,1,1,1,N-acetylmuramoyl-L-alanine amidase
PBS,PGS1_MOUSE,PGS1,99,42069,5,1,1,Biglycan
PBS,PGS2_MOUSE,PGS2,699,40126,76,5,5,Decorin
PBS,PGTA_MOUSE,PGTA,115,66203,13,3,3,Geranylgeranyl transferase type-2 subunit alpha
PBS,PHB_MOUSE,PHB,91,29859,4,1,1,Prohibitin
PBS,PHB2_MOUSE,PHB2,25,33276,1,1,1,Prohibitin-2
PBS,PHF8_MOUSE,PHF8,25,114508,1,1,1,Histone lysine demethylase PHF8
PBS,PHKG1_MOUSE,PHKG1,758,45387,74,8,8,"Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform"
PBS,PHOP1_MOUSE,PHOP1,30,30348,4,3,3,Phosphoethanolamine/phosphocholine phosphatase
PBS,PHP14_MOUSE,PHP14,686,14159,64,5,5,14 kDa phosphohistidine phosphatase
PBS,PICAL_MOUSE,PICAL,26,71669,2,1,1,Phosphatidylinositol-binding clathrin assembly protein
PBS,PIMT_MOUSE,PIMT,838,24676,67,7,7,Protein-L-isoaspartate(D-aspartate) O-methyltransferase
PBS,PIN1_MOUSE,PIN1,45,18473,3,1,1,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
PBS,PIPNA_MOUSE,PIPNA,864,32101,35,3,3,Phosphatidylinositol transfer protein alpha isoform
PBS,PIPNB_MOUSE,PIPNB,47,31752,4,1,1,Phosphatidylinositol transfer protein beta isoform
PBS,PK3CA_MOUSE,PK3CA,18,126099,1,1,1,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"
PBS,PKHA1_MOUSE,PKHA1,18,43743,1,1,1,Pleckstrin homology domain-containing family A member 1
PBS,PKHH3_MOUSE,PKHH3,24,86872,1,1,1,Pleckstrin homology domain-containing family H member 3
PBS,PLAP_MOUSE,PLAP,36,88591,2,1,1,Phospholipase A-2-activating protein
PBS,PLCD4_MOUSE,PLCD4,256,93547,11,1,1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4"
PBS,PLEC_MOUSE,PLEC,818,535800,42,10,10,Plectin
PBS,PLIN4_MOUSE,PLIN4,459,140297,30,6,6,Perilipin-4
PBS,PLMN_MOUSE,PLMN,596,93486,41,9,9,Plasminogen
PBS,PLPHP_MOUSE,PLPHP,453,30201,45,4,4,Pyridoxal phosphate homeostasis protein
PBS,PLSL_MOUSE,PLSL,65,70732,6,2,2,Plastin-2
PBS,PLXA4_MOUSE,PLXA4,24,215787,1,1,1,Plexin-A4
PBS,PMGE_MOUSE,PMGE,872,30131,66,7,7,Bisphosphoglycerate mutase
PBS,PMM2_MOUSE,PMM2,22,27981,1,1,1,Phosphomannomutase 2
PBS,PNCB_MOUSE,PNCB,18,58799,1,1,1,Nicotinate phosphoribosyltransferase
PBS,PNPH_MOUSE,PNPH,124,32541,10,5,5,Purine nucleoside phosphorylase
PBS,PNPO_MOUSE,PNPO,23,30437,1,1,1,Pyridoxine-5'-phosphate oxidase
PBS,PP14B_MOUSE,PP14B,58,16061,2,1,1,Protein phosphatase 1 regulatory subunit 14B
PBS,PP1A_MOUSE,PP1A,944,38257,60,6,1,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
PBS,PP1B_MOUSE,PP1B,1009,37961,68,8,3,Serine/threonine-protein phosphatase PP1-beta catalytic subunit
PBS,PP1R7_MOUSE,PP1R7,890,41380,57,9,9,Protein phosphatase 1 regulatory subunit 7
PBS,PP2AA_MOUSE,PP2AA,634,36156,51,7,7,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
PBS,PP2BA_MOUSE,PP2BA,445,59291,40,3,1,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform
PBS,PP2BB_MOUSE,PP2BB,493,59820,40,3,1,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform
PBS,PP6R3_MOUSE,PP6R3,59,95449,4,1,1,Serine/threonine-protein phosphatase 6 regulatory subunit 3
PBS,PPA6_MOUSE,PPA6,38,47994,2,2,2,Lysophosphatidic acid phosphatase type 6
PBS,PPAC_MOUSE,PPAC,2040,18636,93,6,6,Low molecular weight phosphotyrosine protein phosphatase
PBS,PPCE_MOUSE,PPCE,2070,81669,134,15,15,Prolyl endopeptidase
PBS,PPCS_MOUSE,PPCS,33,33830,2,1,1,Phosphopantothenate--cysteine ligase
PBS,PPIA_MOUSE,PPIA,4231,18131,203,11,11,Peptidyl-prolyl cis-trans isomerase A
PBS,PPIB_MOUSE,PPIB,116,23699,14,3,3,Peptidyl-prolyl cis-trans isomerase B
PBS,PPID_MOUSE,PPID,91,41116,7,1,1,Peptidyl-prolyl cis-trans isomerase D
PBS,PPM1A_MOUSE,PPM1A,37,42976,3,2,2,Protein phosphatase 1A
PBS,PPM1F_MOUSE,PPM1F,226,49922,12,1,1,Protein phosphatase 1F
PBS,PPME1_MOUSE,PPME1,209,42628,18,1,1,Protein phosphatase methylesterase 1
PBS,PPP5_MOUSE,PPP5,35,57467,3,3,3,Serine/threonine-protein phosphatase 5
PBS,PPP6_MOUSE,PPP6,18,35821,1,1,1,Serine/threonine-protein phosphatase 6 catalytic subunit
PBS,PRAF3_MOUSE,PRAF3,38,21543,1,1,1,PRA1 family protein 3
PBS,PRDX1_MOUSE,PRDX1,3980,22390,330,15,15,Peroxiredoxin-1
PBS,PRDX2_MOUSE,PRDX2,8875,21936,353,12,12,Peroxiredoxin-2
PBS,PRDX3_MOUSE,PRDX3,6054,28337,347,11,11,"Thioredoxin-dependent peroxide reductase, mitochondrial"
PBS,PRDX5_MOUSE,PRDX5,7465,22226,284,11,11,"Peroxiredoxin-5, mitochondrial"
PBS,PRDX6_MOUSE,PRDX6,9702,24969,428,13,13,Peroxiredoxin-6
PBS,PRELP_MOUSE,PRELP,1523,43607,71,7,7,Prolargin
PBS,PREP_MOUSE,PREP,24,118438,1,1,1,"Presequence protease, mitochondrial"
PBS,PRKN_MOUSE,PRKN,18,53523,1,1,1,E3 ubiquitin-protein ligase parkin
PBS,PROF1_MOUSE,PROF1,4120,15119,246,6,6,Profilin-1
PBS,PROF2_MOUSE,PROF2,950,15364,81,5,5,Profilin-2
PBS,PRPS1_MOUSE,PRPS1,12417,35325,399,15,15,Ribose-phosphate pyrophosphokinase 1
PBS,PRR33_MOUSE,PRR33,49,28673,4,1,1,Proline-rich protein 33
PBS,PRS10_MOUSE,PRS10,307,44430,24,7,7,26S proteasome regulatory subunit 10B
PBS,PRS4_MOUSE,PRS4,62,49325,4,3,3,26S proteasome regulatory subunit 4
PBS,PRS6A_MOUSE,PRS6A,83,49803,9,4,4,26S proteasome regulatory subunit 6A
PBS,PRS6B_MOUSE,PRS6B,30,47493,1,1,1,26S proteasome regulatory subunit 6B
PBS,PRS7_MOUSE,PRS7,163,49016,14,4,4,26S proteasome regulatory subunit 7
PBS,PRS8_MOUSE,PRS8,322,45768,28,7,7,26S proteasome regulatory subunit 8
PBS,PRUN1_MOUSE,PRUN1,364,50892,24,4,4,Exopolyphosphatase PRUNE1
PBS,PRVA_MOUSE,PRVA,20324,11923,779,16,16,Parvalbumin alpha
PBS,PSA_MOUSE,PSA,2825,103944,213,27,27,Puromycin-sensitive aminopeptidase
PBS,PSA1_MOUSE,PSA1,466,29813,73,7,7,Proteasome subunit alpha type-1
PBS,PSA2_MOUSE,PSA2,1364,26024,67,8,8,Proteasome subunit alpha type-2
PBS,PSA3_MOUSE,PSA3,534,28615,31,6,6,Proteasome subunit alpha type-3
PBS,PSA4_MOUSE,PSA4,750,29737,50,7,7,Proteasome subunit alpha type-4
PBS,PSA5_MOUSE,PSA5,174,26565,12,5,5,Proteasome subunit alpha type-5
PBS,PSA6_MOUSE,PSA6,734,27811,42,5,5,Proteasome subunit alpha type-6
PBS,PSA7_MOUSE,PSA7,731,28009,42,5,5,Proteasome subunit alpha type-7
PBS,PSB1_MOUSE,PSB1,589,26583,42,6,6,Proteasome subunit beta type-1
PBS,PSB2_MOUSE,PSB2,676,23063,23,2,2,Proteasome subunit beta type-2
PBS,PSB3_MOUSE,PSB3,942,23235,25,2,2,Proteasome subunit beta type-3
PBS,PSB4_MOUSE,PSB4,84,29211,9,2,2,Proteasome subunit beta type-4
PBS,PSB5_MOUSE,PSB5,309,28685,20,8,8,Proteasome subunit beta type-5
PBS,PSB6_MOUSE,PSB6,361,25591,34,4,4,Proteasome subunit beta type-6
PBS,PSB7_MOUSE,PSB7,82,30214,7,2,2,Proteasome subunit beta type-7
PBS,PSD11_MOUSE,PSD11,267,47692,27,10,10,26S proteasome non-ATPase regulatory subunit 11
PBS,PSD12_MOUSE,PSD12,495,53261,27,5,5,26S proteasome non-ATPase regulatory subunit 12
PBS,PSD13_MOUSE,PSD13,478,43124,30,6,6,26S proteasome non-ATPase regulatory subunit 13
PBS,PSDE_MOUSE,PSDE,146,34726,20,4,4,26S proteasome non-ATPase regulatory subunit 14
PBS,PSMD1_MOUSE,PSMD1,710,106689,45,11,11,26S proteasome non-ATPase regulatory subunit 1
PBS,PSMD2_MOUSE,PSMD2,788,100937,58,12,12,26S proteasome non-ATPase regulatory subunit 2
PBS,PSMD3_MOUSE,PSMD3,716,60794,33,6,6,26S proteasome non-ATPase regulatory subunit 3
PBS,PSMD5_MOUSE,PSMD5,249,56336,16,3,3,26S proteasome non-ATPase regulatory subunit 5
PBS,PSMD6_MOUSE,PSMD6,861,45792,33,5,5,26S proteasome non-ATPase regulatory subunit 6
PBS,PSMD7_MOUSE,PSMD7,903,36574,30,5,5,26S proteasome non-ATPase regulatory subunit 7
PBS,PSMD8_MOUSE,PSMD8,51,40190,4,3,3,26S proteasome non-ATPase regulatory subunit 8
PBS,PSME1_MOUSE,PSME1,721,28826,44,3,3,Proteasome activator complex subunit 1
PBS,PSME2_MOUSE,PSME2,431,27268,38,5,5,Proteasome activator complex subunit 2
PBS,PSME4_MOUSE,PSME4,59,213456,4,1,1,Proteasome activator complex subunit 4
PBS,PSYR_MOUSE,PSYR,70,40103,21,1,1,Psychosine receptor
PBS,PTER_MOUSE,PTER,163,39535,17,7,7,Phosphotriesterase-related protein
PBS,PTG3L_MOUSE,PTG3L,48,15814,4,1,1,Putative protein PTGES3L
PBS,PTGR2_MOUSE,PTGR2,465,38447,33,4,4,Prostaglandin reductase 2
PBS,PTGR3_MOUSE,PTGR3,46,40788,3,2,2,Prostaglandin reductase-3
PBS,PTN11_MOUSE,PTN11,280,68988,16,4,4,Tyrosine-protein phosphatase non-receptor type 11
PBS,PTPA_MOUSE,PTPA,267,36972,17,4,4,Serine/threonine-protein phosphatase 2A activator
PBS,PTPRU_MOUSE,PTPRU,26,164329,3,1,1,Receptor-type tyrosine-protein phosphatase U
PBS,PUR2_MOUSE,PUR2,1993,108633,118,14,14,Trifunctional purine biosynthetic protein adenosine-3
PBS,PUR6_MOUSE,PUR6,1603,47717,82,11,11,Multifunctional protein ADE2
PBS,PUR8_MOUSE,PUR8,6344,55572,291,18,18,Adenylosuccinate lyase
PBS,PUR9_MOUSE,PUR9,3466,64690,216,22,22,Bifunctional purine biosynthesis protein PURH
PBS,PURA_MOUSE,PURA,47,34976,2,1,1,Transcriptional activator protein Pur-alpha
PBS,PURA1_MOUSE,PURA1,27535,50508,1296,26,26,Adenylosuccinate synthetase isozyme 1
PBS,PX11C_MOUSE,PX11C,21,27533,1,1,1,Peroxisomal membrane protein 11C
PBS,PYC_MOUSE,PYC,882,130344,69,14,14,"Pyruvate carboxylase, mitochondrial"
PBS,PYGM_MOUSE,PYGM,122076,97681,4563,70,70,"Glycogen phosphorylase, muscle form"
PBS,PYRG1_MOUSE,PYRG1,33,67324,3,3,3,CTP synthase 1
PBS,PZP_MOUSE,PZP,13466,167116,742,47,47,Pregnancy zone protein
PBS,QCR1_MOUSE,QCR1,1799,53446,114,12,12,"Cytochrome b-c1 complex subunit 1, mitochondrial"
PBS,QCR10_MOUSE,QCR10,29,6534,4,1,1,Cytochrome b-c1 complex subunit 10
PBS,QCR2_MOUSE,QCR2,1905,48262,103,14,14,"Cytochrome b-c1 complex subunit 2, mitochondrial"
PBS,QCR6_MOUSE,QCR6,74,10713,2,1,1,"Cytochrome b-c1 complex subunit 6, mitochondrial"
PBS,QCR8_MOUSE,QCR8,258,9762,20,3,3,Cytochrome b-c1 complex subunit 8
PBS,QCR9_MOUSE,QCR9,216,7441,18,2,2,Cytochrome b-c1 complex subunit 9
PBS,QOR_MOUSE,QOR,592,35531,66,10,10,Quinone oxidoreductase
PBS,QSOX1_MOUSE,QSOX1,34,83531,2,2,2,Sulfhydryl oxidase 1
PBS,RAB10_MOUSE,RAB10,1790,22755,76,5,4,Ras-related protein Rab-10
PBS,RAB12_MOUSE,RAB12,330,27653,17,2,1,Ras-related protein Rab-12
PBS,RAB5A_MOUSE,RAB5A,133,23812,11,1,1,Ras-related protein Rab-5A
PBS,RAB7A_MOUSE,RAB7A,29,23760,1,1,1,Ras-related protein Rab-7a
PBS,RAC1_MOUSE,RAC1,686,21835,79,6,5,Ras-related C3 botulinum toxin substrate 1
PBS,RACK1_MOUSE,RACK1,452,35511,27,7,7,Receptor of activated protein C kinase 1
PBS,RAD54_MOUSE,RAD54,36,85724,1,1,1,DNA repair and recombination protein RAD54-like
PBS,RADI_MOUSE,RADI,1055,68614,103,17,11,Radixin
PBS,RAN_MOUSE,RAN,2196,24579,142,7,7,GTP-binding nuclear protein Ran
PBS,RAP1A_MOUSE,RAP1A,289,21316,13,1,1,Ras-related protein Rap-1A
PBS,RB11B_MOUSE,RB11B,39,24589,2,2,2,Ras-related protein Rab-11B
PBS,RBBP7_MOUSE,RBBP7,64,48102,4,1,1,Histone-binding protein RBBP7
PBS,RBBP9_MOUSE,RBBP9,29,21069,2,1,1,Putative hydrolase RBBP9
PBS,RBM3_MOUSE,RBM3,113,16595,12,2,2,RNA-binding protein 3
PBS,RBM7_MOUSE,RBM7,19,30130,1,1,1,RNA-binding protein 7
PBS,RBP2_MOUSE,RBP2,20,344727,1,1,1,E3 SUMO-protein ligase RanBP2
PBS,RBSK_MOUSE,RBSK,23,34610,1,1,1,Ribokinase
PBS,RD23A_MOUSE,RD23A,422,39739,25,3,2,UV excision repair protein RAD23 homolog A
PBS,RD23B_MOUSE,RD23B,465,43543,26,4,3,UV excision repair protein RAD23 homolog B
PBS,RFTN1_MOUSE,RFTN1,22,61955,2,1,1,Raftlin
PBS,RHOA_MOUSE,RHOA,552,22110,48,5,5,Transforming protein RhoA
PBS,RIC1_MOUSE,RIC1,17,160495,1,1,1,RAB6A-GEF complex partner protein 1
PBS,RIFK_MOUSE,RIFK,131,17483,10,1,1,Riboflavin kinase
PBS,RIMB1_MOUSE,RIMB1,52,202143,6,1,1,Peripheral-type benzodiazepine receptor-associated protein 1
PBS,RINI_MOUSE,RINI,1664,51495,116,14,14,Ribonuclease inhibitor
PBS,RL10L_MOUSE,RL10L,35,24998,3,1,1,60S ribosomal protein L10-like
PBS,RL12_MOUSE,RL12,29,17965,1,1,1,60S ribosomal protein L12
PBS,RL14_MOUSE,RL14,46,23663,2,1,1,60S ribosomal protein L14
PBS,RL17_MOUSE,RL17,28,21637,1,1,1,60S ribosomal protein L17
PBS,RL18A_MOUSE,RL18A,29,21004,1,1,1,60S ribosomal protein L18a
PBS,RL19_MOUSE,RL19,22,23565,1,1,1,60S ribosomal protein L19
PBS,RL22_MOUSE,RL22,26,14807,1,1,1,60S ribosomal protein L22
PBS,RL23_MOUSE,RL23,27,14970,1,1,1,60S ribosomal protein L23
PBS,RL26_MOUSE,RL26,33,17248,2,1,1,60S ribosomal protein L26
PBS,RL27_MOUSE,RL27,31,15788,3,2,2,60S ribosomal protein L27
PBS,RL27A_MOUSE,RL27A,49,16709,4,1,1,60S ribosomal protein L27a
PBS,RL30_MOUSE,RL30,37,12947,2,1,1,60S ribosomal protein L30
PBS,RL31_MOUSE,RL31,49,14454,2,1,1,60S ribosomal protein L31
PBS,RL4_MOUSE,RL4,33,47409,3,2,2,60S ribosomal protein L4
PBS,RL7_MOUSE,RL7,128,31457,10,2,2,60S ribosomal protein L7
PBS,RL7A_MOUSE,RL7A,24,30129,2,1,1,60S ribosomal protein L7a
PBS,RL8_MOUSE,RL8,147,28235,6,1,1,60S ribosomal protein L8
PBS,RL9_MOUSE,RL9,24,21982,1,1,1,60S ribosomal protein L9
PBS,RM21_MOUSE,RM21,25,23466,3,1,1,"39S ribosomal protein L21, mitochondrial"
PBS,RMD1_MOUSE,RMD1,38,35263,1,1,1,Regulator of microtubule dynamics protein 1
PBS,RN123_MOUSE,RN123,488,150040,20,2,2,E3 ubiquitin-protein ligase RNF123
PBS,RNAS4_MOUSE,RNAS4,21,17470,1,1,1,Ribonuclease 4
PBS,RNF14_MOUSE,RNF14,62,56601,3,1,1,E3 ubiquitin-protein ligase RNF14
PBS,RNF31_MOUSE,RNF31,107,122374,11,1,1,E3 ubiquitin-protein ligase RNF31
PBS,ROA2_MOUSE,ROA2,222,37437,13,4,4,Heterogeneous nuclear ribonucleoproteins A2/B1
PBS,ROA3_MOUSE,ROA3,47,39856,3,1,1,Heterogeneous nuclear ribonucleoprotein A3
PBS,ROAA_MOUSE,ROAA,22,30926,2,1,1,Heterogeneous nuclear ribonucleoprotein A/B
PBS,ROBO1_MOUSE,ROBO1,17,177552,1,1,1,Roundabout homolog 1
PBS,RP3A_MOUSE,RP3A,21,76297,1,1,1,Rabphilin-3A
PBS,RPIA_MOUSE,RPIA,116,32545,6,2,2,Ribose-5-phosphate isomerase
PBS,RRAGA_MOUSE,RRAGA,238,36942,14,1,1,Ras-related GTP-binding protein A
PBS,RRAGC_MOUSE,RRAGC,28,44492,1,1,1,Ras-related GTP-binding protein C
PBS,RS10_MOUSE,RS10,490,18904,22,2,2,40S ribosomal protein S10
PBS,RS11_MOUSE,RS11,37,18590,5,2,2,40S ribosomal protein S11
PBS,RS12_MOUSE,RS12,32,14858,1,1,1,40S ribosomal protein S12
PBS,RS13_MOUSE,RS13,346,17212,33,5,5,40S ribosomal protein S13
PBS,RS14_MOUSE,RS14,132,16434,11,2,2,40S ribosomal protein S14
PBS,RS15_MOUSE,RS15,80,17029,3,1,1,40S ribosomal protein S15
PBS,RS15A_MOUSE,RS15A,71,14944,6,1,1,40S ribosomal protein S15a
PBS,RS16_MOUSE,RS16,218,16549,15,3,3,40S ribosomal protein S16
PBS,RS17_MOUSE,RS17,18,15571,1,1,1,40S ribosomal protein S17
PBS,RS18_MOUSE,RS18,163,17708,11,3,3,40S ribosomal protein S18
PBS,RS19_MOUSE,RS19,267,16076,19,3,3,40S ribosomal protein S19
PBS,RS2_MOUSE,RS2,370,31497,19,4,4,40S ribosomal protein S2
PBS,RS20_MOUSE,RS20,255,13478,21,3,3,40S ribosomal protein S20
PBS,RS21_MOUSE,RS21,21,9250,1,1,1,40S ribosomal protein S21
PBS,RS23_MOUSE,RS23,32,15969,1,1,1,40S ribosomal protein S23
PBS,RS24_MOUSE,RS24,236,15413,10,1,1,40S ribosomal protein S24
PBS,RS25_MOUSE,RS25,162,13791,17,5,5,40S ribosomal protein S25
PBS,RS26_MOUSE,RS26,62,13292,3,1,1,40S ribosomal protein S26
PBS,RS27A_MOUSE,RS27A,1492,18282,82,3,3,Ubiquitin-40S ribosomal protein S27a
PBS,RS28_MOUSE,RS28,41,7893,2,1,1,40S ribosomal protein S28
PBS,RS3_MOUSE,RS3,416,26828,31,9,9,40S ribosomal protein S3
PBS,RS3A_MOUSE,RS3A,101,30094,12,7,7,40S ribosomal protein S3a
PBS,RS4X_MOUSE,RS4X,202,29807,14,4,4,"40S ribosomal protein S4, X isoform"
PBS,RS5_MOUSE,RS5,73,23046,6,2,2,40S ribosomal protein S5
PBS,RS6_MOUSE,RS6,217,28834,13,2,2,40S ribosomal protein S6
PBS,RS7_MOUSE,RS7,366,22113,27,3,3,40S ribosomal protein S7
PBS,RS8_MOUSE,RS8,105,24475,9,3,3,40S ribosomal protein S8
PBS,RS9_MOUSE,RS9,73,22635,8,4,4,40S ribosomal protein S9
PBS,RSCA1_MOUSE,RSCA1,35,62125,1,1,1,Regulatory solute carrier protein family 1 member 1
PBS,RSPO1_MOUSE,RSPO1,22,30624,1,1,1,R-spondin-1
PBS,RSSA_MOUSE,RSSA,1444,32931,73,7,7,40S ribosomal protein SA
PBS,RSU1_MOUSE,RSU1,703,31531,63,5,5,Ras suppressor protein 1
PBS,RT30_MOUSE,RT30,23,50364,1,1,1,"28S ribosomal protein S30, mitochondrial"
PBS,RTCA_MOUSE,RTCA,46,39686,3,2,2,RNA 3'-terminal phosphate cyclase
PBS,RTCB_MOUSE,RTCB,21,55727,1,1,1,tRNA-splicing ligase RtcB homolog
PBS,RTN2_MOUSE,RTN2,1317,51543,60,6,6,Reticulon-2
PBS,RTN4_MOUSE,RTN4,93,127048,11,3,3,Reticulon-4
PBS,RTRAF_MOUSE,RTRAF,320,28249,12,1,1,"RNA transcription, translation and transport factor protein"
PBS,RUFY1_MOUSE,RUFY1,34,81466,3,1,1,RUN and FYVE domain-containing protein 1
PBS,RYR1_MOUSE,RYR1,571,570381,45,11,11,Ryanodine receptor 1
PBS,S10A1_MOUSE,S10A1,1253,10555,47,2,2,Protein S100-A1
PBS,S10A4_MOUSE,S10A4,27,11942,3,1,1,Protein S100-A4
PBS,S10A6_MOUSE,S10A6,280,10101,19,4,4,Protein S100-A6
PBS,SAE2_MOUSE,SAE2,57,71209,4,1,1,SUMO-activating enzyme subunit 2
PBS,SAHH_MOUSE,SAHH,2855,48170,172,13,13,Adenosylhomocysteinase
PBS,SAMP_MOUSE,SAMP,35,26401,2,2,2,Serum amyloid P-component
PBS,SAP_MOUSE,SAP,64,63263,7,2,2,Prosaposin
PBS,SAR1B_MOUSE,SAR1B,933,22482,55,4,4,GTP-binding protein SAR1b
PBS,SBP1_MOUSE,SBP1,678,53051,59,10,10,Methanethiol oxidase
PBS,SCOT1_MOUSE,SCOT1,4765,56352,220,19,19,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"
PBS,SCRN2_MOUSE,SCRN2,1781,47141,78,8,8,Secernin-2
PBS,SCRN3_MOUSE,SCRN3,2205,48030,130,11,11,Secernin-3
PBS,SDHA_MOUSE,SDHA,2716,73623,90,14,14,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
PBS,SDHB_MOUSE,SDHB,300,32591,25,6,6,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial"
PBS,SEPT2_MOUSE,SEPT2,23,41727,2,2,2,Septin-2
PBS,SEPT7_MOUSE,SEPT7,87,50860,12,2,2,Septin-7
PBS,SERHL_MOUSE,SERHL,40,35573,1,1,1,Serine hydrolase-like protein
PBS,SETB1_MOUSE,SETB1,19,146453,1,1,1,Histone-lysine N-methyltransferase SETDB1
PBS,SGT1_MOUSE,SGT1,76,38420,9,2,2,Protein SGT1 homolog
PBS,SGTA_MOUSE,SGTA,37,34529,1,1,1,Small glutamine-rich tetratricopeptide repeat-containing protein alpha
PBS,SH2B1_MOUSE,SH2B1,33,80032,1,1,1,SH2B adapter protein 1
PBS,SH3BG_MOUSE,SH3BG,1405,23146,106,7,7,SH3 domain-binding glutamic acid-rich protein
PBS,SIAS_MOUSE,SIAS,185,40455,15,2,2,Sialic acid synthase
PBS,SIR2_MOUSE,SIR2,316,43856,19,2,2,NAD-dependent protein deacetylase sirtuin-2
PBS,SKP1_MOUSE,SKP1,175,18831,8,1,1,S-phase kinase-associated protein 1
PBS,SLIRP_MOUSE,SLIRP,39,12654,2,2,2,"SRA stem-loop-interacting RNA-binding protein, mitochondrial"
PBS,SLIT2_MOUSE,SLIT2,17,174717,1,1,1,Slit homolog 2 protein
PBS,SMPX_MOUSE,SMPX,17,9247,1,1,1,Small muscular protein
PBS,SMTL2_MOUSE,SMTL2,292,49778,13,2,2,Smoothelin-like protein 2
PBS,SMYD1_MOUSE,SMYD1,4807,57428,197,17,17,Histone-lysine N-methyltransferase Smyd1
PBS,SMYD2_MOUSE,SMYD2,156,50618,12,1,1,N-lysine methyltransferase SMYD2
PBS,SMYD5_MOUSE,SMYD5,25,48319,1,1,1,SET and MYND domain-containing protein 5
PBS,SNTA1_MOUSE,SNTA1,272,54088,27,6,6,Alpha-1-syntrophin
