NCTId,BriefTitle,OverallStatus,Phase,Conditions,Interventions,StudyType,StartDate,PrimaryCompletionDate,Enrollment
NCT03434613,Phase IV Study to Evaluate the Effects of Statin Monotherapy or Statin / Ezetimibe Combination Therapy on Hepatic Steatosis in Patients With Hyperlipidemia and Nonalcoholic Fatty Liver Disease,COMPLETED,PHASE4,Nonalcoholic Fatty Liver Disease; Dyslipidemias,DRUG: Rosuvastatin; DRUG: Rosuvastatin/ezetimibe combination,INTERVENTIONAL,2018-05-14,2019-09-11,
NCT03348163,(mo)BETTA Trial in Transwomen for Optimization of ART,TERMINATED,PHASE4,HIV Infections,DRUG: B/FTC/TAF; DRUG: Current ART,INTERVENTIONAL,2018-06-06,2020-12-15,
NCT00970970,Visualizing Vascular Endothelial Growth Factor (VEGF) Producing Lesions in Von Hippel-Lindau Disease,COMPLETED,,Von Hippel-Lindau Disease; Hemangioblastoma; Renal Cell Carcinoma; Pheochromocytoma; Pancreatic Neuroendocrine Tumor,OTHER: 89Zr bevacizumab PET scan,OBSERVATIONAL,2009-09,2012-11,
NCT03585101,A Single-arm Evaluation of the Effect of HCV Treatment on Cardiovascular Disease Risk,WITHDRAWN,PHASE4,Hepatitis C,DRUG: Elbasvir/grazoprevir,INTERVENTIONAL,2018-08,2019-06,
NCT03557190,Endothelial Effects of VEGF Inhibition In Vivo in Man,COMPLETED,,Cardiovascular Diseases,,OBSERVATIONAL,2016-12-01,2018-07-01,
NCT00957762,Body Composition Assessment in Spinal Cord Injury,UNKNOWN,,Diabetes Mellitus; Body Composition; Tetraplegia; Paraplegia; Spinal Cord Injury,OTHER: Body composition,OBSERVATIONAL,2009-08,2012-09,
NCT01325454,Angiogenic Cytokines and Fibrinolytic Activity in Parapneumonic Effusions,UNKNOWN,,Pleural Effusion,DEVICE: pleural pigtail drainage,OBSERVATIONAL,2008-01,2011-06,
NCT05126251,Tangningtongluo Tablet for People With Prediabetes,UNKNOWN,PHASE2,Prediabetes,DRUG: Tangningtongluo tablet; BEHAVIORAL: lifestyle intervention,INTERVENTIONAL,2021-12-13,2022-12-31,
NCT05387577,Coagulation and Fibrinolysis of Estradiol in Transwomen,TERMINATED,EARLY_PHASE1,Transgenderism; Clotting Disorder,DRUG: Estradiol Tablets; DRUG: Transdermal patch; DRUG: Estradiol Tablets,INTERVENTIONAL,2021-12-07,2022-11-23,
NCT01509001,Study of Metabolic and Haemodynamic Effects of Metformin and Glimepiride in Patients With Type 2 Diabetes Mellitus,COMPLETED,PHASE4,Type 2 Diabetes,DRUG: Metformin; DRUG: Glimepiride,INTERVENTIONAL,2011-01,2012-01,
NCT01317108,Prognostic and Predictive Impact of uPA/PAI-1,COMPLETED,PHASE3,Breast Cancer,DRUG: CMF Chemotherapy,INTERVENTIONAL,1993-06,2008-12,
NCT01879033,Endothelial Function in Obese Adolescents,COMPLETED,NA,Insulin Resistance; Glucose Intolerance; Obesity; Atherosclerosis,"OTHER: Reactive hyperemia peripheral artery tonometry (Rh-PAT); OTHER: Blood levels for glucose, insulin, lipids and adipocytokines",INTERVENTIONAL,2011-03,2013-06,
NCT05595915,COMP-4 Supplementation and Brachial Artery FMD,ACTIVE_NOT_RECRUITING,"PHASE1, PHASE2",Aging; Endothelial Dysfunction; Senescence,DIETARY_SUPPLEMENT: COMP-4,INTERVENTIONAL,2023-06-01,2025-12-31,
NCT04926415,Effects of Transcutaneous Auricular Vagus Nerve Stimulation on Obesity and Insulin Resistance,COMPLETED,NA,"Diabetes Mellitus, Type 2; Obesity",DEVICE: taVNS; DEVICE: Sham taVNS,INTERVENTIONAL,2021-06-14,2022-04-26,
NCT01211899,4G/5G Polymorphism of Plasminogen Activator Inhibitor-1 Gene and Disseminated Intravascular Coagulation in Severe Sepsis and Septic Shock,UNKNOWN,,Severe Sepsis,,OBSERVATIONAL,2010-09,2012-09,
NCT01654016,Study of Antiinflammatory Effects of Detralex (Daflon),COMPLETED,PHASE4,Chronic Venous Insufficiency,DRUG: Detralex,INTERVENTIONAL,2012-08,2019-05,
NCT06348771,Postprandial Inflammation and Nuts (PIN) in Older Adults,ACTIVE_NOT_RECRUITING,NA,Healthy Aging; Overweight and Obesity,BEHAVIORAL: monounsaturated fatty acids (MUFA) peanut meal,INTERVENTIONAL,2024-03-25,2025-01-06,
NCT05274971,Diet and Exercise on Ambulatory Blood Pressure,COMPLETED,NA,Prehypertension,OTHER: Active dietary management and aerobic exercise training.,INTERVENTIONAL,2022-05-15,2023-11-01,
NCT02567903,Tourniquet Study: A Clinical Trial Into the Effect of Tourniquet Use on the Coagulation System,COMPLETED,NA,Venous Thrombosis,DEVICE: Thigh Tourniquet; PROCEDURE: Knee arthroscopy,INTERVENTIONAL,2015-09,2019-06,
NCT03580057,Effect of Weight Loss and Lactation (the EVA-trial),COMPLETED,NA,Cardiovascular Risk Factor,BEHAVIORAL: Breastfeeding promotion intervention; BEHAVIORAL: Diet and weight loss intervention,INTERVENTIONAL,2018-01-30,2023-12-15,
NCT02648555,A Lifestyle Intervention to Improve in Vitro Fertilization Results,UNKNOWN,NA,Sterility; Placenta; Implantation; Risk Reduction Behavior; Lifestyle; Neonatal Hypoglycemia,BEHAVIORAL: Daily walking; BEHAVIORAL: Dietary recommendations,INTERVENTIONAL,2016-05,2018-05,
NCT02613741,Metabolism of Fibrinogen and Apolipoprotein B-100 in Childhood Obesity and Cardiovascular Disease,COMPLETED,NA,Obesity; Cardiovascular Disease,OTHER: Lifestyle-based physical activity,INTERVENTIONAL,2001-01,2004-01,
NCT02158845,Levonorgestrel-releasing Intrauterine System in Patients With Endometriosis,COMPLETED,PHASE4,Endometriosis,DRUG: LNG-IUS: levonorgestrel intrauterine system; DRUG: GnRHa: leuprolide,INTERVENTIONAL,2010-02,2012-09,
NCT01215370,Pea Protein and Postprandial Response (PEA),COMPLETED,NA,Metabolic Syndrome,OTHER: High-fat shake with Pea protein; OTHER: High-fat shake with Pea protein hydrolysate; OTHER: High-fat shake - Control; OTHER: High-fat shake with Gluten protein; OTHER: High-fat shake with Gluten protein hydrolysate,INTERVENTIONAL,2010-09,2011-01,
NCT01208012,Impact of Liraglutide on Endothelial Function and Microvascular Blood Flow in Type 2 Diabetes Mellitus,COMPLETED,PHASE4,"Diabetes Mellitus, Type 2",DRUG: Victoza®,INTERVENTIONAL,2010-04,2010-11,
NCT01527253,Effect of a Synergistic Food Basket on Metabolic Syndrome Risk,COMPLETED,NA,Metabolic Syndrome; Insulin Resistance,OTHER: Synergistic food basket,INTERVENTIONAL,2011-09,2012-05,
NCT04013568,Exercise Post-Diagnosis of Breast Cancer,ACTIVE_NOT_RECRUITING,NA,Breast Cancer,OTHER: Exercise,INTERVENTIONAL,2019-08-28,2026-09-01,
NCT02236533,Healthy Effects of an Innovative Probiotic Pasta,COMPLETED,NA,OBESITY; INFLAMMATION; DYSLIPIDEMIA; CONSTIPATION,DIETARY_SUPPLEMENT: whole grain pasta,INTERVENTIONAL,2014-03,2014-09,
NCT00331487,Study to Compare Pioglitazone and Rosiglitazone in Subjects With Type 2 Diabetes Mellitus and Dyslipidemia,COMPLETED,PHASE3,Diabetes Mellitus,DRUG: Pioglitazone; DRUG: Rosiglitazone,INTERVENTIONAL,2000-09,2004-03,
NCT02348814,Development of a Novel Biomarker for Liver Fibrosis,COMPLETED,,Liver Fibrosis,,OBSERVATIONAL,2015-05,2019-01-26,
NCT01161901,Impact of Inflammation Biomarkers on the Acute Respiratory Distress Syndrome (ARDS) Definition,COMPLETED,,Acute Respiratory Distress Syndrome,PROCEDURE: blood sample,OBSERVATIONAL,2010-06,2011-11,
NCT02526628,Thrombosis and Neurocognition in Klinefelter Syndrome,COMPLETED,,Klinefelter Syndrome; Thrombosis,,OBSERVATIONAL,2015-09,2019-08-21,
NCT00770445,Efficacy of Pioglitazone and Metformin on Cardiovascular Risk in Subjects With Insulin-Treated Type 2 Diabetes Mellitus.,COMPLETED,PHASE4,Diabetes Mellitus,DRUG: Pioglitazone and insulin; DRUG: Pioglitazone and metformin and insulin; DRUG: Metformin and insulin,INTERVENTIONAL,2008-05,2010-07,
NCT00134199,"A Study Of 6-Month Duration To Evaluate The Weight Loss Effect Of Various Doses Of CP-945,598 In Obese Subjects",COMPLETED,"PHASE2, PHASE3",Obesity,"DRUG: CP-945,598; DRUG: sibutramine",INTERVENTIONAL,2005-03,,
NCT04804124,Sleep Duration and Cardiovascular Health,RECRUITING,NA,Sleep; Cardiovascular Risk Factor,BEHAVIORAL: Regularized Sleep Schedule,INTERVENTIONAL,2021-06-09,2026-03-15,
NCT01995240,Functional Magnetic Resonance Imaging of Pancreatic Cancer: a Feasibility and Reproducibility Study,COMPLETED,NA,Pancreatic Cancer,DRUG: Gadobutrol,INTERVENTIONAL,2013-04,2017-02,
NCT03300388,"Obesity, Inflammation and Aging: Effects of Physical Exercise and Omega-3 Fatty Acids.",COMPLETED,NA,Obesity; Aging; Inflammation,DIETARY_SUPPLEMENT: Omega-3 (DHA-rich dietary supplement); DIETARY_SUPPLEMENT: Placebo (olive oil); OTHER: Resistance training,INTERVENTIONAL,2017-08-21,2019-06-13,
NCT06355310,Mechanisms of SGLT2 Inhibition in Pediatric Steatotic Liver Disease,RECRUITING,PHASE2,Non-Alcoholic Fatty Liver Disease,DRUG: Empagliflozin 10 MG; DRUG: Placebo Oral Tablet,INTERVENTIONAL,2025-01-27,2028-01-01,
NCT05009862,"The Impact of Factor Xa Inhibition on Thrombosis, Platelet Activation, and Endothelial Function in Peripheral Artery Disease",RECRUITING,PHASE4,Peripheral Arterial Disease,DRUG: Rivaroxaban 2.5 Mg Oral Tablet; DRUG: Placebo; DRUG: Aspirin 81Mg Ec Tab,INTERVENTIONAL,2022-04-19,2025-12-31,
NCT00512369,Effects of PA-1 Transcriptional Regulation on Monocyte Function,TERMINATED,,Atherosclerosis,,OBSERVATIONAL,2006-03,,
NCT02400151,Vascular and Metabolic Effects of Vitamin D Supplementation Associated With Lifestyle Management in Obese Adolescents,COMPLETED,PHASE4,Obesity,DRUG: Vitamin D supplementation; DRUG: Placebo; OTHER: 3 months lifestyle and dietary management; OTHER: Normal control,INTERVENTIONAL,2015-03-30,2016-06-24,
NCT02257450,Primary Aldosteronism in Malaysia: A Nationwide Multicentre Study,UNKNOWN,,Primary Aldosteronism,,OBSERVATIONAL,2014-10,2017-06,
NCT02058823,Intermittent Hypoxia 2: Cardiovascular and Metabolism,TERMINATED,PHASE4,Hypoxia; Sleep Apnea; Obstructive Sleep Apnea,DRUG: Placebo; DRUG: Placebo; DRUG: Valsartan; DRUG: Amlodipine,INTERVENTIONAL,2013-08-07,2014-07-17,
NCT01687959,Timing of Laparoscopic Cholecystectomy After Endoscopic Retrograde Cholangiography for Acute Biliary Pancreatitis,UNKNOWN,EARLY_PHASE1,Cholelithiasis Associated With Common Bile Duct Stones,OTHER: tissue sampling from peritoneum of the gallbladder,INTERVENTIONAL,2012-09,2015-06,
NCT01913470,Study of Losartan in the Treatment of NAFLD in Children,COMPLETED,PHASE2,NAFLD,DRUG: Losartan,INTERVENTIONAL,2013-07,2015-12,
NCT02923765,"Stepper Aerobic Training on Fitness, Disability, Inflammation and Thrombosis in Stroke Patients",COMPLETED,NA,Ischemic Stroke,OTHER: Aerobic training by a stepper,INTERVENTIONAL,2017-08-01,2020-02-26,
NCT01456208,Genetic Mechanisms in Human Hypertension,TERMINATED,,Hypertension,DRUG: Para-aminohippuric Acid; DRUG: Angiotensin II; DRUG: Norepinephrine,OBSERVATIONAL,1999-10,2020-06,
NCT03394664,"FB4 (Framingham, Boston, Bloomington, Birmingham, and Baylor)",TERMINATED,NA,Obesity,BEHAVIORAL: Feeding Study,INTERVENTIONAL,2018-05-09,2020-05-03,
NCT02878421,Vascular EffectS of regUlar Cigarettes Versus electronIc Cigarette USe,COMPLETED,NA,Vascular Diseases,DEVICE: electronic cigarette + 16mg nicotine & flavor; OTHER: electronic cigarette + 0mg nicotine & flavor; OTHER: Tobacco cigarette,INTERVENTIONAL,2016-08-18,2018-07-31,
NCT02231021,The Practical Evidence of Antidiabetic Combination Therapy in Korea,COMPLETED,PHASE4,Type 2 Diabetes Mellitus,DRUG: alogliptin; DRUG: Pioglitazone; DRUG: alogliptin + pioglitazone,INTERVENTIONAL,2014-09,2018-10-22,
NCT04634799,Study to AntagOnize Plasminogen Activator Inhibitor-1 in Severe COVID-19,SUSPENDED,"PHASE1, PHASE2",Covid19,DRUG: TM5614; OTHER: Placebo,INTERVENTIONAL,2021-01-08,2025-04-23,
NCT00778622,Body Weight Effects on Glucophage's Efficacy in Chinese Diagnosed T2DM Patients,COMPLETED,PHASE4,Type 2 Diabetes Mellitus,DRUG: Metformin XR,INTERVENTIONAL,2009-11,2011-03,
NCT07088705,Subthreshold Micropulse Laser Therapy (SML) in Retinitis Pigmentosa,ENROLLING_BY_INVITATION,NA,Retinitis Pigmentosa (RP),DEVICE: SML 577 nm; DEVICE: SML 810 nm; OTHER: Sham SML,INTERVENTIONAL,2024-09-01,2026-08,
NCT01999088,Health Benefits of Functional Meat (With n-3 Fatty Acids and Rosemary Extract) on Low Risk for Cardiovascular Disease People,COMPLETED,PHASE4,Low Risk for Cardiovascular Disease,OTHER: Functional Meet; OTHER: Control Meat,INTERVENTIONAL,2009-05,2010-06,
NCT05994742,An Adaptive Multi-arm Trial to Improve Clinical Outcomes Among Children Recovering From Complicated SAM,RECRUITING,PHASE3,Severe Acute Malnutrition; HIV; Comorbidities and Coexisting Conditions; Child Malnutrition,DRUG: Rifampicin; DRUG: Azithromycin; DRUG: Isoniazid; DRUG: Pyridoxine Hydrochloride; BEHAVIORAL: The Friendship Bench; BEHAVIORAL: Care for Child Development; BEHAVIORAL: Educational and behaviour-change modules; DIETARY_SUPPLEMENT: Reformulated Ready to Use Therapeutic Food; OTHER: Standard Care,INTERVENTIONAL,2024-07-15,2026-07-15,
NCT02369536,Efficacy of a Natural Components Mixture in the Treatment of Non Alcoholic Fatty Liver Disease (NAFLD),COMPLETED,NA,Non-alcoholic Fatty Liver Disease,DIETARY_SUPPLEMENT: nutraceutical mixture; DIETARY_SUPPLEMENT: placebo,INTERVENTIONAL,2015-08-18,2016-09-15,
NCT01748253,ARB and CCB Longest Combination Treatment on Ambulatory and Home BP in Hypertension With Atrial Fibrillation -Multicenter Study on Time of Dosing (ACROBAT),UNKNOWN,NA,Hypertension and Atrial Fibrillation,DRUG: Telmisartan-amlodipine tablet administration group (morning); DRUG: Telmisartan-amlodipine tablet administration group (bedtime),INTERVENTIONAL,2012-11,2013-10,
NCT04780568,Osimertinib and Tegavivint As First-Line Therapy for the Treatment of Metastatic EGFR-Mutant Non-small Cell Lung Cancer,RECRUITING,PHASE1,Metastatic Lung Non-Small Cell Carcinoma; Stage IV Lung Cancer AJCC V8; Stage IVA Lung Cancer AJCC V8; Stage IVB Lung Cancer AJCC V8,DRUG: Osimertinib; DRUG: Tegavivint,INTERVENTIONAL,2022-01-18,2025-07-31,
NCT02423642,Immunomodulation Effect of Regional Citrate Anticoagulation in Acute Kidney Injury Requiring Continuous Renal Replacement Therapy,COMPLETED,NA,Acute Kidney Injury,PROCEDURE: Continuous renal replacement therapy with regional citrate anticoagulation; PROCEDURE: Continuous renal replacement therapy with no anticoagulation or heparin,INTERVENTIONAL,2013-07,2014-11,
NCT05686954,Cottonseed Oil Dose Response,RECRUITING,NA,"Dyslipidemias; Overweight and Obesity; Nutrition, Healthy",OTHER: CSO LOW; OTHER: CSO MID; OTHER: CSO HIGH; OTHER: CONTROL,INTERVENTIONAL,2023-03-01,2026-05,
NCT03518294,NASH Fitness Intervention in Thrombosis Trial (NASHFit),COMPLETED,NA,Liver Diseases; Blood Disorder; Digestive System Disease,BEHAVIORAL: Aerobic Exercise,INTERVENTIONAL,2018-06-01,2021-03-24,
NCT07123181,Oregano and Basil Leaves and Coronary Artery Disease,NOT_YET_RECRUITING,NA,Acute Coronary Syndromes; Unstable Angina (UA),OTHER: Control (Standard treatment); OTHER: Higher polyphenol intake by consumption of oregano and basil,INTERVENTIONAL,2025-09-01,2026-03-17,
NCT03050671,Effects of External Leg Compression Devices on Healing and Blood Clotting,ENROLLING_BY_INVITATION,NA,Venous Stasis; Deep Venous Thrombosis; Healing Wound,"DEVICE: Intermittent Pneumatic Compression, Rapid; DEVICE: Intermittent Pneumatic Compression, Slow",INTERVENTIONAL,2017-01-18,2024-12-01,
NCT01317264,β-Glucans and the Metabolic Syndrome - a Human Intervention Study Under BEST,COMPLETED,NA,Healthy,OTHER: no β-glucan; OTHER: oat β-glucan; OTHER: barley β-glucan; OTHER: mutant-barley β-glucan,INTERVENTIONAL,2009-11,2010-10,
NCT00681564,Periodontal Infection and Endothelial Dysfunction,COMPLETED,PHASE3,Periodontitis,PROCEDURE: One-Stage Full-Mouth Disinfection; PROCEDURE: Periodontal care,INTERVENTIONAL,2008-05,2011-03,
NCT03883607,"Elafibranor, PK and Safety in Children and Adolescents 8 to 17 Years of Age With Non Alcoholic Steatohepatitis (NASH)",TERMINATED,PHASE2,Non Alcoholic Steatohepatitis,DRUG: Elafibranor 80mg; DRUG: Elafibranor 120mg,INTERVENTIONAL,2019-06-25,2020-06-16,
NCT06479421,A Clinical Study for Developing Artificial Intelligence(AI)-Based Clustering Model for Personalized Medicine in Acute Respiratory Failure,RECRUITING,,Acute Respiratory Failure,,OBSERVATIONAL,2023-08-14,2025-02-28,
NCT02354794,Effect of Arginine Supplementation in the Metabolic Syndrome,COMPLETED,NA,Overweight; Hypertriglyceridemic Waist,DIETARY_SUPPLEMENT: One form of arginine; DIETARY_SUPPLEMENT: placebo,INTERVENTIONAL,2014-02,2014-05,
NCT00988078,Effects of Metformin and Oral Hormonal Contraceptive in Adolescents With Polycystic Ovary Syndrome,UNKNOWN,NA,Polycystic Ovary Syndrome,DRUG: Placebo; DRUG: Metformin,INTERVENTIONAL,2011-07,2013-10,
NCT06680635,Effect of Citrus Flavonoids on Obesity.,COMPLETED,NA,Obesity Adult Onset; Diabetes Mellitus Type 2,DIETARY_SUPPLEMENT: Flavonoid-enriched juice and a low-calorie diet; DIETARY_SUPPLEMENT: Food supplement: placebo juice and a low calorie diet,INTERVENTIONAL,2022-01-01,2024-12-31,
NCT04230655,"Weight Loss in Adults With Obesity Using a Combination of Low Energy Diet, Group Treatment and Intragastric Balloon",UNKNOWN,NA,Obesity; Weight Loss; Non-Alcoholic Fatty Liver Disease,DIETARY_SUPPLEMENT: Low energy diet using meal replacements; BEHAVIORAL: CBT-based group treatment; DEVICE: Intragastric balloon,INTERVENTIONAL,2019-12-10,2022-12,
NCT04703036,"Glutathione, Oxidative Stress and Mitochondrial Function in COVID-19",TERMINATED,EARLY_PHASE1,Covid19,DIETARY_SUPPLEMENT: Glycine; DIETARY_SUPPLEMENT: N-acetylcysteine; DIETARY_SUPPLEMENT: Alanine,INTERVENTIONAL,2021-01-11,2023-03-31,
NCT02361944,Risk of Oxygen During Cardiac Surgery Trial,COMPLETED,"PHASE2, PHASE3",Cardiac Surgery,DRUG: Oxygen - normoxia; DRUG: Oxygen - hyperoxia,INTERVENTIONAL,2016-04-05,2020-10-08,
NCT04305171,Effect of Non-surgical Periodontal Treatment on Cardiovascular Risk Markers,COMPLETED,,Coronary Heart Disease; Periodontitis,PROCEDURE: non-surgical periodontal treatment,OBSERVATIONAL,2018-04-06,2020-01-31,
NCT06296823,Biomarkers for Peripheral Circadian Clocks in Humans,RECRUITING,NA,Circadian Rhythms,BEHAVIORAL: Simulated jetlag protocol,INTERVENTIONAL,2023-09-01,2027-08-31,
NCT02250989,The Influence of Glycaemia and Insulinemia on Vasomotor Endothelial Function After Myocardial Infarction,UNKNOWN,,Myocardial Infarction,,OBSERVATIONAL,2014-07,2016-02,
NCT04557540,Weight Loss Interventions for Black Adults of Faith,COMPLETED,NA,Obesity-Related Malignant Neoplasm,BEHAVIORAL: Lifestyle Therapy; OTHER: Quality-of-Life Assessment; OTHER: Questionnaire Administration; OTHER: Short-Term Fasting,INTERVENTIONAL,2021-09-25,2022-12-07,
NCT05062707,Early Ageing During Therapy in AYA Cancer Patients,RECRUITING,,Cancer; Leukemia; Hodgkin Lymphoma; Testicular Cancer; Osteosarcoma; Ewing Sarcoma; Breast Cancer; Cervical Cancer,PROCEDURE: Blood sampling,OBSERVATIONAL,2022-02-10,2025-07,
NCT02760914,Adipose Tissue and Inflammation in Coronary Heart Disease,ACTIVE_NOT_RECRUITING,,Coronary Heart Disease,,OBSERVATIONAL,2016-06,2029-12,
NCT02957630,"""E4/DRSP Endocrine Function, Metabolic Control and Hemostasis Study""",COMPLETED,"PHASE1, PHASE2",Contraception; Liver Metabolism; Hemostasis Parameter,DRUG: 15 mg E4/3 mg DRSP; DRUG: 30 mcg EE/150 mcg LNG; DRUG: 20 mcg EE/3 mg DRSP,INTERVENTIONAL,2016-09,2017-10-09,
NCT04997928,PAI-1 Levels and Predicting Covid-19 Patients' Prognosis,UNKNOWN,,Covid-19 Positivity Confirmed With PCR Positivity in the Nasopharyngeal Swab; Symptomatic Covid -19 Positive Patients Who Require Hospitalization; Patients Who Did Not Vaccinate Against Covid-19; Patients Among 20 to 90 Years of Age; Healthy Control Patients of the Same Age,OTHER: Serum PAI-1 alpha analysis.,OBSERVATIONAL,2021-01-18,2021-08-30,
NCT01371305,STX-100 in Patients With Idiopathic Pulmonary Fibrosis (IPF),COMPLETED,PHASE2,Idiopathic Pulmonary Fibrosis (IPF),DRUG: BG00011; DRUG: Placebo,INTERVENTIONAL,2012-07-16,2017-03-31,
NCT02803554,Young Donor Plasma Transfusion and Age-Related Biomarkers,COMPLETED,NA,Aging,OTHER: Plasma,INTERVENTIONAL,2016-06,2018-01-15,
NCT06901739,Therapeutic Potential of a Synbiotic to Improve Mental Health in Subjects With Obesity.,RECRUITING,NA,Obese Patients (BMI ≥ 30 kg/m²); Anxiety; Depressive Disorder,DIETARY_SUPPLEMENT: Synbiotic; DIETARY_SUPPLEMENT: Placebo,INTERVENTIONAL,2025-04-15,2027-04-30,
NCT01405456,Eplerenone in HIV Associated Abdominal Fat Accumulation,COMPLETED,NA,HIV,DRUG: Eplerenone and lifestyle; OTHER: placebo and lifestyle,INTERVENTIONAL,2012-01,2017-05-03,
NCT01524653,Detecting the Impact of Statin Therapy On Lowering Risk of Venous Thrombo-Embolic Events (DISOLVE),COMPLETED,PHASE2,Venous Thromboembolism; Deep Vein Thrombosis; Neoplasms,DRUG: Rosuvastatin; DRUG: Placebo,INTERVENTIONAL,2012-03,2016-07-01,
NCT01796561,The Effect of Olive Leaf Extract on Blood Pressure in Overweight Prehypertensives,COMPLETED,NA,Hypertension,DIETARY_SUPPLEMENT: Olive leaf extract liquid,INTERVENTIONAL,2013-02,2013-10,
NCT04050592,Discontinuation of Postmenopausal Hormone Therapy: Impact on the Cardiovascular System and Quality of Life,UNKNOWN,PHASE4,Menopause; Atherosclerosis; Cardiovascular Diseases; Estrogen Replacement Therapy,DRUG: Estradiol; OTHER: Placebo,INTERVENTIONAL,2020-02-19,2022-12,
NCT00174902,The Effect of Beta-Blockers and Aspirin on Hemostasis and Endothelial Function After Acute Mental Stress,UNKNOWN,"PHASE1, PHASE2","Arteriosclerosis; Stress, Psychological","DRUG: inderal (drug), acetylsalicylic acid (drug)",INTERVENTIONAL,2003-10,,
NCT05862805,"PAI-1, tPA, TFPI and HEECs in Uterine Hemostasis",RECRUITING,"PHASE1, PHASE2","Menstrual Bleeding, Heavy",PROCEDURE: Sample Collection and Endometrial Biopsy,INTERVENTIONAL,2023-07-12,2025-07,
NCT00214825,Aldosterone and Vascular Disease in Diabetes Mellitus,COMPLETED,NA,Diabetes Mellitus; Endothelial Dysfunction; Albuminuria,DRUG: eplerenone; DRUG: Hydrochlorothiazide,INTERVENTIONAL,2003-08,2006-03,
NCT06279780,"Gut Microbiota, Mitochondrial Function and Metabolic Health in Obesity",COMPLETED,NA,Obesity Adult Onset,DIETARY_SUPPLEMENT: very low-calorie diet,INTERVENTIONAL,2019-01-01,2023-12-31,
NCT01071096,Calcitonin Gene-related Peptide Levels in Chronic Migraine,COMPLETED,PHASE4,Chronic Migraine,DRUG: OnabotulinumtoxinA; DRUG: Saline,INTERVENTIONAL,2010-06,2011-06,
NCT02073929,LIPT - Liraglutide in Polycystic Ovary Syndrome,COMPLETED,PHASE4,Polycystic Ovary Syndrome; Cardiovascular Disease,DRUG: Liraglutide for 26 weeks; DRUG: placebo,INTERVENTIONAL,2014-03,2015-12,
NCT01222052,6xFU/Epirubicin/Cyclophosphamide (FEC) Compared to 3xFEC-3xDocetaxel in High-risk Node-negative Breast Cancer Patients,UNKNOWN,PHASE3,Breast Cancer,"DRUG: 5-Fluorouracil, Epirubicin, Cyclophosphamide, Docetaxel",INTERVENTIONAL,2002-01,2009-02,
NCT01087411,Intervention Study to Prevent Obesity in Sedentary 8 Year Old Swedish Children,WITHDRAWN,NA,Cardiovascular Risk Factors; Metabolic Risk Factors; Sedentary Lifestyle; Overweight,BEHAVIORAL: Motivational Interviewing; BEHAVIORAL: Physical activity; DIETARY_SUPPLEMENT: Supplementation with fish liver oli capsules; DIETARY_SUPPLEMENT: Placebo oil capsules,INTERVENTIONAL,2008-10,2012-06,
NCT02352740,Characterization of the Metabolic Fate of an Oral Arginine Form,COMPLETED,NA,Overweight; Hypertriglyceridemic Waist,DIETARY_SUPPLEMENT: A form Arginine; DIETARY_SUPPLEMENT: B form Arginine,INTERVENTIONAL,2013-03,2013-05,
NCT00139477,Study of Serum Markers for Cardiovascular Risk in Obese Youth and Impact of Lifestyle and Medication Intervention,COMPLETED,NA,Obesity,DRUG: Metformin; BEHAVIORAL: Dietary modification with caloric restriction; BEHAVIORAL: Establishment of exercise protocol,INTERVENTIONAL,2003-11,2009-05,
NCT00465426,HIV and Cardiovascular Risk,COMPLETED,,HIV Infections; Cardiovascular Disease,,OBSERVATIONAL,2007-04,2011-11,
NCT01592825,PiA: Prognosis Used Every Day for Patients With Operable Breast Cancer - Comparison of Invasion Factors uPA/PAI-1 With Other Prognostic Factors,UNKNOWN,,Breast Cancer,,OBSERVATIONAL,2009-09,2011-05,
NCT01138774,Effects of Lipoic Acid and Eicosapentaenoic Acid (EPA) in Human Obesity,COMPLETED,NA,Obesity; Body Fat; Insulin Resistance,DIETARY_SUPPLEMENT: Double blind dietary intervention with EPA and lipoic acid,INTERVENTIONAL,2010-01,2011-12,
NCT05464186,Effects of Whole vs. Nonfat Milk Consumption on Body Composition in Children,RECRUITING,NA,Obesity; Diabetes; Cardiovascular Diseases,BEHAVIORAL: Whole milk; BEHAVIORAL: Nonfat milk,INTERVENTIONAL,2022-12-28,2025-10,
NCT04453527,The CASCADE Study - Measures of Complement Activation and Inflammation in Patients With Covid-19,COMPLETED,,Coronavirus,,OBSERVATIONAL,2020-05-28,2021-05-30,
NCT04643548,WHO Covid 19 - Neurological Abnormalities in SARS-CoV-2 ICU Patients,UNKNOWN,,SARS-CoV-2 Infection; Intensive Care Unit Patient; Neurological Abnormality; Delirium; Encephalopathy,,OBSERVATIONAL,2020-10-13,2021-06-13,
NCT00515021,Diurnal Variation of Plasminogen Activator Inhibitor-1,COMPLETED,PHASE4,Metabolic Syndrome X,DRUG: Eplerenone (Morning); DRUG: Eplerenone (Night-time),INTERVENTIONAL,2007-04,2010-04,
NCT06092060,"The Effect of a Multistrain Probiotic on Metformin Tolerance and Efficacy With Microbiota and Stool Metabolome in Insulin-resistant Women - a 12-week Randomized, Placebo-controlled, Double-blind Study",COMPLETED,NA,Insulin Resistance,DIETARY_SUPPLEMENT: the group GS (probiotic); DIETARY_SUPPLEMENT: the group GP (placebo),INTERVENTIONAL,2021-04-01,2022-02-01,
