Gene,Baseline,Knockout,Delta,Percent_Change
Igfbp7,0.11815681,0.118458666,-0.00030185282,-0.2554658
MMP9,0.17447369,0.17477737,-0.00030368567,-0.17405714
GPC4,0.1571587,0.15746324,-0.00030453503,-0.19377425
TIMP3,0.52008224,0.5203881,-0.00030589104,-0.058815785
Col1a1,0.24460873,0.24491692,-0.00030818582,-0.12599082
CRELD1,0.05811903,0.05842726,-0.00030823052,-0.5303344
FGF1,0.07534469,0.07565308,-0.00030839443,-0.40930602
EGFLAM,0.07534469,0.07565308,-0.00030839443,-0.40930602
FMOD,0.38554817,0.38585785,-0.00030967593,-0.08032073
Agt,0.12880993,0.12912054,-0.0003106147,-0.24114002
Serpina1c,0.12880993,0.12912056,-0.0003106296,-0.24115159
Anxa3,0.12880993,0.12912056,-0.0003106296,-0.24115159
Crlf3,0.12880993,0.12912056,-0.0003106296,-0.24115159
S100a1,0.12880993,0.12912056,-0.0003106296,-0.24115159
PXDN,0.20076701,0.20107797,-0.00031095743,-0.15488395
TGM1,0.1856691,0.18598057,-0.00031147897,-0.16775937
Efemp1,0.3827007,0.38301244,-0.0003117323,-0.08145568
ANXA11,0.30996037,0.31027243,-0.00031206012,-0.1006771
Pxdn,0.39397117,0.39428377,-0.00031259656,-0.07934483
SERPINA5,0.4767004,0.47701398,-0.00031358004,-0.06578123
COL4A6,0.15840243,0.15871716,-0.00031472743,-0.19868727
S100A8,0.4479128,0.44822758,-0.00031477213,-0.07027515
ELN,0.502879,0.5031962,-0.00031715631,-0.06306799
S100A9,0.49608776,0.49640712,-0.0003193617,-0.064375915
HCFC1,0.074334376,0.074654736,-0.00032036006,-0.43096584
PCOLCE2,0.07654631,0.07686924,-0.00032293051,-0.4218705
IGFBP2,0.076546304,0.07686925,-0.00032294542,-0.42189002
CHAD,0.076546304,0.07686925,-0.00032294542,-0.42189002
Spon1,0.12165386,0.12197889,-0.00032502413,-0.26716903
Creld1,0.12165385,0.12197888,-0.00032503158,-0.2671752
Creld2,0.12165385,0.12197888,-0.00032503158,-0.2671752
M6pr,0.12165385,0.12197889,-0.00032503903,-0.26718134
Ngly1,0.07710275,0.07742982,-0.00032707304,-0.42419863
Cap2,0.077102736,0.07742982,-0.00032708794,-0.42421803
HSPG2,0.38851285,0.38884133,-0.0003284812,-0.08454813
SRPX2,0.07844383,0.07877306,-0.00032922626,-0.41969144
Ctsa,0.09297527,0.0933046,-0.00032933056,-0.35420927
COL5A3,0.05893689,0.059266288,-0.00032939762,-0.55888945
ITIH5,0.5063173,0.5066483,-0.0003309846,-0.06537085
COL5A1,0.44281086,0.44314376,-0.00033289194,-0.07517683
Anxa4,0.1259063,0.12623928,-0.00033298135,-0.26446548
Vcan,0.12195999,0.12229418,-0.00033418834,-0.2740125
FLG2,0.2500134,0.2503478,-0.00033438206,-0.1337451
Serpina3n,0.17121874,0.17155533,-0.00033658743,-0.19658215
S100a6,0.16683748,0.16717473,-0.00033724308,-0.20213747
SBSPON,0.20740213,0.20773992,-0.00033779442,-0.16286853
COL18A1,0.29395846,0.29429957,-0.00034111738,-0.116042316
Htra1,0.16780068,0.16814217,-0.0003414899,-0.20350805
Lgalsl,0.09957885,0.09992105,-0.00034219772,-0.34364152
S100a13,0.09957885,0.09992105,-0.00034219772,-0.34364152
Plxdc2,0.09957885,0.09992105,-0.00034219772,-0.34364152
FBLN1,0.2899169,0.2902613,-0.00034439564,-0.11879074
FCN2,0.46036518,0.4607102,-0.0003450215,-0.07494501
LAMA3,0.18939123,0.18973885,-0.0003476292,-0.18354987
Anxa7,0.18349972,0.18384853,-0.00034880638,-0.19008447
EMILIN2,0.14117399,0.14152633,-0.00035233796,-0.24957533
FBLN5,0.34883997,0.3491957,-0.00035572052,-0.10197212
C1qb,0.13209853,0.13245547,-0.00035694242,-0.2702072
Fgf1,0.13251907,0.13287628,-0.00035721064,-0.2695521
ADAM10,0.06744055,0.06779844,-0.0003578961,-0.530676
ARG1,0.3757112,0.37607172,-0.0003605187,-0.09595607
Egln1,0.1630418,0.16340382,-0.0003620237,-0.22204213
Mbl2,0.26069662,0.26105925,-0.00036263466,-0.13910162
COL4A2,0.32232398,0.32268676,-0.00036278367,-0.112552136
SPARC,0.4045923,0.40495542,-0.0003631115,-0.08974728
NRP1,0.057904903,0.058268342,-0.00036343932,-0.6276378
Il16,0.107929476,0.10829358,-0.00036410242,-0.33734903
Hspg2,0.13234201,0.13270743,-0.00036542118,-0.27611673
S100a11,0.13234201,0.13270743,-0.00036542118,-0.27611673
FGL2,0.23523898,0.2356053,-0.00036631525,-0.15571982
CCL21,0.07895254,0.07931929,-0.00036674738,-0.46451035
Lamc1,0.13354838,0.13391516,-0.00036677718,-0.27463788
F13A1,0.5197942,0.52016205,-0.00036782026,-0.07076253
COL4A3,0.15933454,0.15970945,-0.00037491322,-0.23529793
COL4A4,0.15933454,0.15970945,-0.00037491322,-0.23529793
NTN4,0.15933454,0.15970945,-0.00037491322,-0.23529793
MFAP1,0.15933454,0.15970947,-0.00037492812,-0.23530729
IGFALS,0.40946302,0.40983954,-0.00037652254,-0.09195498
MME,0.18228087,0.18266436,-0.00038349628,-0.21038643
COL8A2,0.18228087,0.18266436,-0.00038349628,-0.21038643
OMD,0.11050346,0.110887244,-0.00038378686,-0.3473044
LAMB1,0.43610486,0.43649015,-0.00038528442,-0.08834653
Adam9,0.13255548,0.1329421,-0.00038661063,-0.2916573
ANXA7,0.27418447,0.27457583,-0.0003913641,-0.14273699
CTSC,0.15505007,0.15544415,-0.0003940761,-0.2541589
Mbl1,0.08412204,0.08452348,-0.00040143728,-0.47720256
Thbs1,0.08412204,0.08452348,-0.00040143728,-0.47720256
Sema3b,0.08412204,0.08452348,-0.00040143728,-0.47720256
Fgl2,0.08412204,0.08452348,-0.00040143728,-0.47720256
Lgals8,0.08412204,0.08452348,-0.00040143728,-0.47720256
Loxl2,0.08412204,0.08452348,-0.00040143728,-0.47720256
Hrg,0.08412204,0.08452348,-0.00040143728,-0.47720256
CLEC18B,0.20652498,0.20693006,-0.00040507317,-0.19613665
SMAP2,0.20652498,0.20693006,-0.00040507317,-0.19613665
MMP13,0.20652498,0.20693006,-0.00040507317,-0.19613665
S100A7A,0.20652498,0.20693006,-0.00040507317,-0.19613665
ANGPTL6,0.20652498,0.20693006,-0.00040507317,-0.19613665
CLEC5A,0.20652498,0.20693006,-0.00040507317,-0.19613665
SEMA3C,0.060181055,0.06059379,-0.0004127361,-0.6858126
SFRP2,0.095351584,0.09576743,-0.0004158467,-0.4361148
LRG1,0.48153743,0.48195505,-0.00041761994,-0.08672619
COL4A5,0.26368904,0.26410836,-0.00041931868,-0.15901953
FREM2,0.26049802,0.26091877,-0.0004207492,-0.1615166
MFGE8,0.19026169,0.1906867,-0.00042501092,-0.22338112
LAMC3,0.28738952,0.28781492,-0.00042539835,-0.148021
CTSD,0.39390132,0.39432815,-0.00042682886,-0.108359054
LAMB4,0.20517562,0.20560856,-0.00043293834,-0.21100764
NPNT,0.26606944,0.26650938,-0.00043994188,-0.16534789
Serpina6,0.119520105,0.11996398,-0.0004438758,-0.3713786
Plxnd1,0.12463703,0.12508398,-0.00044695288,-0.35860074
COL5A2,0.2742321,0.2746814,-0.0004492998,-0.16383865
HPX,0.505789,0.5062386,-0.00044959784,-0.08889022
FGB,0.48277846,0.48323086,-0.00045239925,-0.093707226
Cpn2,0.14128025,0.14173585,-0.000455603,-0.32247946
FBN3,0.25052923,0.25098622,-0.0004569888,-0.18240865
KNG1,0.4858564,0.48631454,-0.0004581213,-0.09429131
COL4A1,0.2679852,0.26844388,-0.00045868754,-0.17116088
Mmrn1,0.10111243,0.10157136,-0.00045892596,-0.4538724
Ntn1,0.101112425,0.10157136,-0.0004589334,-0.45387983
Anxa11,0.12420973,0.12466927,-0.0004595369,-0.36996555
Plxnb2,0.124209724,0.12466927,-0.00045954436,-0.36997157
FGG,0.49955568,0.5000187,-0.00046303868,-0.09268992
ITIH3,0.46172094,0.46218494,-0.00046399236,-0.10049172
CTSG,0.3682333,0.3687072,-0.00047391653,-0.12869972
PLXNA1,0.09025018,0.09072556,-0.0004753843,-0.5267347
FRAS1,0.35546243,0.3559381,-0.00047567487,-0.13381822
Adamtsl4,0.08001144,0.08048787,-0.00047642738,-0.59544164
Adam17,0.08001144,0.08048787,-0.00047642738,-0.59544164
Mfap4,0.08001142,0.08048788,-0.00047645718,-0.595479
AEBP1,0.32409725,0.32457465,-0.0004774034,-0.14730205
SEMA3E,0.07797968,0.07846355,-0.0004838705,-0.62050056
PLXND1,0.049016643,0.049506165,-0.0004895218,-0.99866444
PXN,0.049016643,0.049506165,-0.0004895218,-0.99866444
PXDNL,0.049016643,0.049506165,-0.0004895218,-0.99866444
SMAP,0.049016643,0.049506165,-0.0004895218,-0.99866444
Plod1,0.049016643,0.049506165,-0.0004895218,-0.99866444
S100P,0.049016643,0.049506165,-0.0004895218,-0.99866444
Plod3,0.049016643,0.049506165,-0.0004895218,-0.99866444
Sfrp1,0.049016643,0.049506165,-0.0004895218,-0.99866444
Sulf2,0.049016643,0.049506165,-0.0004895218,-0.99866444
SCYL1,0.049016643,0.049506165,-0.0004895218,-0.99866444
Mgp,0.04901664,0.049506165,-0.0004895255,-0.9986722
CLGN,0.04901664,0.049506165,-0.0004895255,-0.9986722
P3h1,0.04901664,0.049506165,-0.0004895255,-0.9986722
Habp2,0.04901664,0.049506165,-0.0004895255,-0.9986722
Igfals,0.04901664,0.049506165,-0.0004895255,-0.9986722
EGLN1,0.04901664,0.049506165,-0.0004895255,-0.9986722
Clec1a,0.04901664,0.049506165,-0.0004895255,-0.9986722
Clec3b,0.04901664,0.049506165,-0.0004895255,-0.9986722
ADAMTS4,0.04901664,0.049506165,-0.0004895255,-0.9986722
FGF12,0.04901664,0.049506165,-0.0004895255,-0.9986722
Lgals3,0.04901664,0.049506165,-0.0004895255,-0.9986722
Fam20b,0.04901664,0.049506165,-0.0004895255,-0.9986722
Fcn1,0.04901664,0.049506165,-0.0004895255,-0.9986722
Clec10a,0.04901664,0.049506165,-0.0004895255,-0.9986722
Hgfac,0.04901664,0.049506165,-0.0004895255,-0.9986722
Masp1,0.04901664,0.04950617,-0.0004895292,-0.99867976
Masp2,0.04901664,0.04950617,-0.0004895292,-0.99867976
DCN,0.2520531,0.25254756,-0.00049445033,-0.19616832
Adam10,0.19424304,0.19474345,-0.0005004108,-0.25761962
VWA5A,0.14019571,0.14069977,-0.0005040616,-0.3595388
ISM2,0.058155954,0.058661725,-0.0005057715,-0.8696664
ADAMTSL2,0.058155954,0.058661725,-0.0005057715,-0.8696664
COL10A1,0.1471178,0.14762396,-0.00050616264,-0.3440503
GDF15,0.3516284,0.352135,-0.0005066097,-0.14407489
LGALS2,0.3516284,0.352135,-0.0005066097,-0.14407489
SERPINI2,0.3516284,0.352135,-0.0005066097,-0.14407489
WIF1,0.07330542,0.07381262,-0.0005071983,-0.6918879
SERPINH1,0.459496,0.46000576,-0.0005097687,-0.1109406
Mmp2,0.25005147,0.25056145,-0.00050997734,-0.20394813
PRG3,0.2505883,0.2511037,-0.00051540136,-0.20567572
ZP4,0.16842777,0.16894372,-0.0005159527,-0.30633292
GPC6,0.16842777,0.16894372,-0.0005159527,-0.30633292
PDGFD,0.070311084,0.07082761,-0.0005165264,-0.7346197
PAPLN,0.19849052,0.19901203,-0.00052151084,-0.2627371
ADAMTS5,0.33878216,0.33930558,-0.0005234182,-0.15449947
KCP,0.33878216,0.33930558,-0.0005234182,-0.15449947
PRSS2,0.33878216,0.33930558,-0.0005234182,-0.15449947
ADAM19,0.33878216,0.33930558,-0.0005234182,-0.15449947
EGF,0.33878216,0.33930558,-0.0005234182,-0.15449947
EBI3,0.33878216,0.33930558,-0.0005234182,-0.15449947
NTN3,0.33878216,0.33930558,-0.0005234182,-0.15449947
COL6A6,0.29995775,0.3004842,-0.000526458,-0.17551014
PLOD3,0.22159556,0.22212538,-0.0005298257,-0.23909475
ASPN,0.27004084,0.27057618,-0.0005353391,-0.19824302
Fbln2,0.17795062,0.17848668,-0.0005360544,-0.301236
LOX,0.21679205,0.21733013,-0.00053808093,-0.24820028
LGALS1,0.24394566,0.24448517,-0.00053951144,-0.22115959
CILP2,0.17971322,0.18025474,-0.0005415231,-0.30132458
S100A10,0.25582683,0.25637612,-0.0005492866,-0.21470946
LTBP4,0.33966094,0.34021094,-0.00055000186,-0.16192625
ANXA2,0.22565149,0.2262017,-0.0005502105,-0.24383089
F13b,0.20501894,0.20557134,-0.00055240095,-0.26943767
REG1A;REG1B,0.08113454,0.08168814,-0.0005536005,-0.68231565
ANGPTL3,0.081134535,0.08168814,-0.00055360794,-0.6823249
CD209,0.081134535,0.08168814,-0.00055360794,-0.6823249
MFAP2,0.33556116,0.33611748,-0.00055631995,-0.16578744
PRG2,0.25570613,0.2562651,-0.00055897236,-0.21859863
SRPX,0.21717815,0.217747,-0.0005688518,-0.26192746
TINAGL1,0.23846996,0.2390463,-0.0005763471,-0.2416844
Ctsc,0.12100554,0.121586554,-0.0005810112,-0.48014855
Colec12,0.10614041,0.106722586,-0.00058217347,-0.54848856
S100A13,0.31790766,0.31849095,-0.00058329105,-0.18347755
ANXA1,0.25468847,0.25527266,-0.0005841851,-0.2293715
EMILIN1,0.272585,0.2731724,-0.0005874038,-0.21549301
NTN1,0.08842189,0.089012034,-0.0005901456,-0.6674127
LEPREL2,0.14529836,0.14588964,-0.0005912781,-0.40693787
TNFSF13,0.14529836,0.14588964,-0.0005912781,-0.40693787
MEGF6,0.14529836,0.14588964,-0.0005912781,-0.40693787
SERPINB2,0.14529836,0.14588964,-0.0005912781,-0.40693787
S100A2,0.110182635,0.11077409,-0.0005914569,-0.536792
S100A14,0.110182635,0.11077409,-0.0005914569,-0.536792
MMP12,0.110182635,0.11077409,-0.0005914569,-0.536792
COCH,0.110182635,0.11077409,-0.0005914569,-0.536792
VEGFB,0.11018262,0.11077408,-0.0005914569,-0.53679204
S100A3,0.110182635,0.11077409,-0.0005914569,-0.536792
VWA2,0.11018262,0.11077408,-0.0005914569,-0.53679204
TSPEAR,0.11018262,0.11077408,-0.0005914569,-0.53679204
TGM5,0.11018263,0.11077409,-0.00059146434,-0.5367988
A2ML1,0.11018263,0.11077409,-0.00059146434,-0.5367988
TCHH,0.11018263,0.11077409,-0.00059146434,-0.5367988
LGALS7,0.11018263,0.11077409,-0.00059146434,-0.5367988
HMCN2,0.11018263,0.11077409,-0.00059146434,-0.5367988
COL17A1,0.11018263,0.11077409,-0.00059146434,-0.5367988
CTSV,0.11018263,0.11077409,-0.00059146434,-0.5367988
CST6,0.11018263,0.11077409,-0.00059146434,-0.5367988
CCL28,0.11018263,0.11077409,-0.00059146434,-0.5367988
C17orf58,0.11018263,0.11077409,-0.00059146434,-0.5367988
SERPINB7,0.11018262,0.11077409,-0.0005914718,-0.53680557
SERPINA12,0.11018262,0.11077409,-0.0005914718,-0.53680557
SERPINB4,0.11018262,0.11077409,-0.0005914718,-0.53680557
SERPINB5,0.11018262,0.11077409,-0.0005914718,-0.53680557
HRG,0.36288595,0.3634777,-0.0005917549,-0.16306865
PLOD1,0.38496384,0.38555595,-0.00059211254,-0.1538095
Angptl2,0.25407472,0.25466722,-0.0005925,-0.23319817
COL11A1,0.4033912,0.4039848,-0.00059360266,-0.14715272
COL7A1,0.14065363,0.14124914,-0.00059551,-0.4233846
TNC,0.24620219,0.24679904,-0.0005968511,-0.24242218
Fbln1,0.1682875,0.1688844,-0.0005968958,-0.35468602
VWA1,0.2991934,0.29979074,-0.00059732795,-0.19964541
MGP,0.22376686,0.22436461,-0.0005977452,-0.26712736
COL14A1,0.32358876,0.32419094,-0.0006021857,-0.18609542
ITIH4,0.4623949,0.46299732,-0.00060242414,-0.13028319
PLOD2,0.2225731,0.22317651,-0.0006034076,-0.27110416
LOXL2,0.1991618,0.1997684,-0.00060659647,-0.30457318
TGM3,0.29648504,0.29709324,-0.0006082058,-0.20513809
ANXA4,0.35087085,0.35147932,-0.000608474,-0.17341773
DPT,0.317201,0.31781092,-0.00060993433,-0.19228578
Fgf13,0.18866487,0.18927617,-0.00061130524,-0.32401475
COL6A3,0.29750973,0.2981213,-0.00061157346,-0.2055635
LUM,0.24080671,0.2414197,-0.00061298907,-0.2545554
Emilin2,0.122891925,0.12350579,-0.00061386824,-0.49951473
COL12A1,0.27707574,0.27768984,-0.00061410666,-0.22163776
FNDC1,0.41636857,0.41698754,-0.00061896443,-0.14865746
CXCL12,0.2393792,0.23999971,-0.00062051415,-0.259217
MMP2,0.14658003,0.1472015,-0.0006214678,-0.42397562
COL11A2,0.37534252,0.37596563,-0.00062310696,-0.16600977
PPBP,0.21620971,0.21683408,-0.00062437356,-0.28878012
ACAN,0.28236753,0.2829938,-0.000626266,-0.22179028
TIMP1,0.15235801,0.15298842,-0.0006304085,-0.4137652
COL28A1,0.07847689,0.07910884,-0.0006319508,-0.8052597
CST3,0.23591132,0.23654372,-0.0006323904,-0.2680616
SERPINF2,0.3545064,0.35514006,-0.000633657,-0.17874295
SERPING1,0.20578668,0.20642047,-0.0006337911,-0.307983
F12,0.30861542,0.30924955,-0.0006341338,-0.20547637
CTHRC1,0.18226428,0.18289983,-0.0006355494,-0.3486947
NGLY1,0.16837116,0.16900714,-0.00063598156,-0.37772372
SLPI,0.25302675,0.25366375,-0.00063699484,-0.251749
F2,0.33156943,0.33220646,-0.00063702464,-0.19212347
Mfap5,0.15692972,0.15756747,-0.0006377548,-0.40639257
LOXL3,0.25100523,0.25164518,-0.00063994527,-0.25495192
MXRA5,0.18676282,0.187403,-0.0006401688,-0.34276915
THBS2,0.18795727,0.18859789,-0.0006406158,-0.34082875
COL2A1,0.3243902,0.32503295,-0.0006427467,-0.19813937
CPN2,0.123240076,0.12388293,-0.000642851,-0.52162075
FGA,0.46550536,0.46614996,-0.00064459443,-0.13847168
COL6A1,0.278388,0.27903402,-0.00064602494,-0.23205835
S100B,0.16793661,0.16858281,-0.00064620376,-0.384788
CRLF1,0.269681,0.27032867,-0.00064766407,-0.24015841
PLG,0.38484693,0.38549578,-0.00064885616,-0.16860065
LGALS8,0.108496584,0.109148115,-0.0006515309,-0.60050267
TGFB1,0.16330868,0.16396096,-0.00065228343,-0.39941505
TNXB,0.33764276,0.33829555,-0.00065279007,-0.19333692
LTBP2,0.2549449,0.25560102,-0.00065612793,-0.25735968
ADIPOQ,0.1926386,0.19329655,-0.0006579459,-0.34154236
LEPRE1,0.20506218,0.20572089,-0.00065870583,-0.3212209
BGN,0.26326746,0.2639285,-0.0006610453,-0.25109172
CSTA,0.30200797,0.30267295,-0.0006649792,-0.22018524
PCOLCE,0.26262766,0.26329345,-0.0006657839,-0.25350767
SDC1,0.29949176,0.30015805,-0.0006662905,-0.22247298
FBN1,0.26981664,0.27048674,-0.0006701052,-0.24835485
ANXA3,0.20164216,0.20231265,-0.00067049265,-0.33251446
VIT,0.19999385,0.20066664,-0.0006727874,-0.3364024
LOXL4,0.18878174,0.18945707,-0.0006753355,-0.3577316
IGF2,0.18878174,0.18945707,-0.0006753355,-0.3577316
NOV,0.18878174,0.18945707,-0.0006753355,-0.3577316
CTGF,0.18878174,0.18945707,-0.0006753355,-0.3577316
COMP,0.18878174,0.18945707,-0.0006753355,-0.3577316
HABP2,0.18878174,0.18945707,-0.0006753355,-0.3577316
THSD4,0.18473259,0.18541148,-0.0006788969,-0.36750054
IGFBP7,0.23008958,0.23076952,-0.00067994,-0.2955097
HAPLN1,0.2727509,0.27343264,-0.0006817281,-0.24994439
TGFBI,0.19998418,0.20066634,-0.00068216026,-0.3411054
LAMB2,0.2867132,0.28739697,-0.0006837547,-0.23847951
THBS3,0.2974638,0.2981484,-0.00068458915,-0.23014122
FSTL1,0.11806733,0.118752785,-0.0006854534,-0.5805566
BMP1,0.18866834,0.1893544,-0.00068606436,-0.3636332
COL9A1,0.18866834,0.1893544,-0.00068606436,-0.3636332
CHRD,0.18866834,0.1893544,-0.00068606436,-0.3636332
PAMR1,0.18866834,0.1893544,-0.00068606436,-0.3636332
PDGFC,0.18866834,0.18935442,-0.00068607926,-0.36364108
SPP1,0.18866834,0.18935442,-0.00068607926,-0.36364108
SCUBE1,0.18866834,0.18935442,-0.00068607926,-0.36364108
WISP3,0.18866834,0.18935443,-0.00068609416,-0.363649
SERPINB1,0.23019874,0.23088515,-0.0006864071,-0.2981789
ELANE,0.2918274,0.29251632,-0.0006889105,-0.23606697
SERPINA1,0.34997448,0.35066408,-0.00068959594,-0.1970412
CILP,0.29648644,0.2971764,-0.00068995357,-0.2327092
POSTN,0.41737124,0.4180632,-0.0006919503,-0.16578732
COL6A2,0.2829317,0.28362402,-0.00069233775,-0.2447005
LTBP1,0.26531348,0.2660058,-0.00069233775,-0.26094985
FLG,0.35632902,0.3570226,-0.00069358945,-0.19464804
P4HA1,0.32743877,0.32813394,-0.000695169,-0.21230437
MASP2,0.22989333,0.23059088,-0.00069755316,-0.30342337
ECM1,0.2907302,0.29142782,-0.00069761276,-0.23995109
S100A7,0.25946748,0.26016524,-0.0006977618,-0.26891965
CTSB,0.31525785,0.31595984,-0.0007019937,-0.22267215
TGM2,0.26527303,0.26597854,-0.0007055104,-0.2659553
SEMA3B,0.21878186,0.21948981,-0.00070795417,-0.3235876
OGN,0.28174034,0.2824483,-0.00070795417,-0.25127804
MATN2,0.25892824,0.2596374,-0.00070914626,-0.27387646
Ltbp1,0.18786591,0.18857516,-0.00070925057,-0.37752822
COL15A1,0.284094,0.2848039,-0.0007098913,-0.24987814
VWF,0.2617924,0.26250228,-0.0007098913,-0.2711647
LTBP3,0.20333517,0.20404714,-0.0007119775,-0.35014796
SERPINB12,0.29218635,0.29289967,-0.0007133186,-0.24413054
IGFBP5,0.08750959,0.08822484,-0.00071525574,-0.81733626
MPI,0.28835702,0.2890725,-0.00071549416,-0.24812701
SERPINE2,0.16933846,0.17005481,-0.0007163435,-0.4230222
ITIH2,0.38700536,0.38772646,-0.000721097,-0.1863269
SERPINA3,0.36214048,0.3628632,-0.0007227361,-0.19957286
ADAM15,0.19701806,0.19774486,-0.00072680414,-0.36890045
S100A4,0.17981745,0.18054454,-0.00072708726,-0.40434518
SERPINB8,0.09256915,0.09329979,-0.0007306412,-0.78928375
PDF,0.24758404,0.2483147,-0.00073064864,-0.29511017
SEMA3A,0.09602102,0.09675188,-0.0007308647,-0.76114285
BMP3,0.09602101,0.09675189,-0.0007308796,-0.7611584
COL21A1,0.21457094,0.21530208,-0.0007311404,-0.34074372
ECM2,0.10299073,0.103722095,-0.0007313639,-0.710119
SNED1,0.12675177,0.12748717,-0.0007354021,-0.58018625
MMP14,0.12675177,0.12748718,-0.000735417,-0.580198
AMBP,0.34254715,0.34328347,-0.000736326,-0.21495546
F9,0.3611519,0.36189005,-0.0007381439,-0.20438541
GPC1,0.33408967,0.33482805,-0.00073838234,-0.22101256
ITIH1,0.3080588,0.308807,-0.0007481873,-0.2428708
THBS4,0.23238662,0.23313904,-0.00075241923,-0.32377768
FBLN2,0.25344366,0.25419673,-0.0007530749,-0.2971358
CLEC3B,0.16514462,0.16589844,-0.00075381994,-0.45645773
ABI3BP,0.34586412,0.3466207,-0.00075659156,-0.21875335
SERPIND1,0.3732474,0.37400436,-0.0007569492,-0.20280036
SERPINC1,0.4242457,0.4250116,-0.0007659197,-0.18053639
CTSA,0.12527871,0.12604593,-0.0007672161,-0.6124025
PRELP,0.23846081,0.2392285,-0.0007676929,-0.3219354
SDC2,0.21089172,0.21166162,-0.0007698983,-0.36506632
IGFBP3,0.10412431,0.10489813,-0.00077382475,-0.7431668
SERPINB3,0.26847485,0.26924887,-0.0007740259,-0.28830373
CYR61,0.10274253,0.10352167,-0.000779137,-0.75833195
AGT,0.3152591,0.3160456,-0.0007865131,-0.2494807
COL9A2,0.18081656,0.18160373,-0.00078716874,-0.43533868
REG3A,0.12343741,0.12422996,-0.00079254806,-0.6420595
CSPG4,0.33474636,0.33553946,-0.0007930994,-0.23692477
IL17B,0.19795033,0.19874814,-0.00079780817,-0.4030325
CRISPLD1,0.19795033,0.19874814,-0.00079780817,-0.4030325
CLEC3A,0.19795033,0.19874817,-0.000797838,-0.40304753
FGFBP2,0.18514076,0.18594232,-0.00080156326,-0.4329457
KERA,0.18514076,0.18594232,-0.00080156326,-0.4329457
TIMP2,0.18514076,0.18594234,-0.00080157816,-0.43295375
CHADL,0.22423375,0.22504656,-0.00081281364,-0.36248335
BCAN,0.22423375,0.22504656,-0.00081281364,-0.36248335
EDIL3,0.22423375,0.22504656,-0.00081281364,-0.36248335
ANGPTL7,0.22423375,0.22504656,-0.00081281364,-0.36248335
CHRDL2,0.22423375,0.22504656,-0.00081281364,-0.36248335
ANXA2;ANXA2P2,0.22423375,0.22504656,-0.00081281364,-0.36248335
FRZB,0.22423373,0.22504656,-0.00081282854,-0.36249003
FCN3,0.22423373,0.22504656,-0.00081282854,-0.36249003
MATN3,0.22423373,0.22504656,-0.00081282854,-0.36249003
SULF2,0.22423373,0.22504656,-0.00081282854,-0.36249003
TNFAIP6,0.22423373,0.22504656,-0.00081282854,-0.36249003
F7,0.22423373,0.22504656,-0.00081282854,-0.36249003
PTN,0.22423373,0.22504656,-0.00081282854,-0.36249003
SMOC2,0.22423373,0.22504656,-0.00081282854,-0.36249003
IL11,0.22423373,0.22504656,-0.00081282854,-0.36249003
EPYC,0.22423373,0.22504656,-0.00081282854,-0.36249003
SERPINE1,0.08025711,0.0810746,-0.0008174926,-1.0185795
C7,0.4248445,0.42566323,-0.0008187294,-0.19271226
S100A1,0.1293694,0.13019401,-0.00082461536,-0.6374066
CCL14,0.22131166,0.22213657,-0.0008249134,-0.37273663
PRSS3P2;PRSS2;PRSS1,0.22131166,0.22213657,-0.0008249134,-0.37273663
MASP1,0.22131166,0.22213657,-0.0008249134,-0.37273663
HHIP,0.22131166,0.22213657,-0.0008249134,-0.37273663
GDF6,0.22131166,0.22213657,-0.0008249134,-0.37273663
CCL18,0.20773493,0.20856138,-0.0008264482,-0.39783594
MATN4,0.24625987,0.24708891,-0.000829041,-0.33665156
S100A11,0.22286883,0.22369792,-0.0008290857,-0.37200445
SERPINF1,0.32364497,0.32447496,-0.0008299947,-0.2564514
LMAN1,0.24657011,0.24740222,-0.00083211064,-0.3374729
SERPINA4,0.30191338,0.30274913,-0.0008357465,-0.27681574
LAMA5,0.2941007,0.2949377,-0.0008369982,-0.2845948
SLIT3,0.24970669,0.25054678,-0.00084009767,-0.33643243
Lgals9,0.17578954,0.17663261,-0.0008430779,-0.47959232
EFEMP2,0.24678934,0.2476335,-0.0008441657,-0.34205782
COL9A3,0.09845471,0.099299565,-0.0008448586,-0.85811037
TSKU,0.0984547,0.099299565,-0.00084486604,-0.858118
LGALS3,0.27253088,0.2733769,-0.0008460283,-0.31043276
DSP,0.19742438,0.19827062,-0.00084623694,-0.42863637
Serpina10,0.2335577,0.23440486,-0.0008471608,-0.36271858
FBLN7,0.24773127,0.24857923,-0.0008479655,-0.3422911
ANGPTL5,0.24773127,0.24857923,-0.0008479655,-0.3422911
HAPLN3,0.24773127,0.24857923,-0.0008479655,-0.3422911
SERPINA6,0.33736035,0.33821097,-0.0008506179,-0.2521385
PRG4,0.25172025,0.25257394,-0.0008536875,-0.33914003
LAMC1,0.20619868,0.20705834,-0.0008596629,-0.416908
MMRN2,0.1779647,0.17882651,-0.00086180866,-0.48425546
F10,0.35848752,0.359363,-0.000875473,-0.24421228
PLXNB2,0.36041227,0.3613051,-0.000892818,-0.2477206
PLXDC2,0.23130918,0.23221311,-0.00090393424,-0.39078876
IBSP,0.105103925,0.106017,-0.0009130761,-0.8687282
LEP,0.105103925,0.106017,-0.0009130761,-0.8687282
MATN1,0.105103925,0.106017,-0.0009130761,-0.8687282
