sample_id,metabolite,value,Tissue,Treatment
CTL-5_R2+,Atherospermidine,0.0,Tibialis_anterior,Control
CTL-9_R1+,Atherospermidine,0.0,Tibialis_anterior,Control
CTL-3_R6+,Atherospermidine,0.0,Upper_Arm_SkM,Control
CTL-7_R3+,Atherospermidine,0.0,Upper_Arm_SkM,Control
CTL-11_R21+,Atherospermidine,0.0,Upper_Arm_SkM,Control
4T1-17_R4+,Atherospermidine,23900.0,Lung,Tumor
4T1-21_R22+,Atherospermidine,18200.0,Lung,Tumor
4T1-25_R16+,Atherospermidine,19200.0,Lung,Tumor
CTL-4_R20+,Atherospermidine,33200.0,Lung,Control
CTL-8_R13+,Atherospermidine,7720.0,Lung,Control
CTL-12_R14+,Atherospermidine,25800.0,Lung,Control
4T1-1_R7+,Asymmetric dimethyl arginine,319000.0,Tibialis_anterior,Tumor
4T1-15_R11+,Asymmetric dimethyl arginine,186000.0,Tibialis_anterior,Tumor
4T1-19_R15+,Asymmetric dimethyl arginine,325000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Asymmetric dimethyl arginine,281000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Asymmetric dimethyl arginine,217000.0,Tibialis_anterior,Control
CTL-5_R2+,Asymmetric dimethyl arginine,261000.0,Tibialis_anterior,Control
CTL-9_R1+,Asymmetric dimethyl arginine,307000.0,Tibialis_anterior,Control
CTL-3_R6+,Asymmetric dimethyl arginine,319000.0,Upper_Arm_SkM,Control
CTL-7_R3+,Asymmetric dimethyl arginine,219000.0,Upper_Arm_SkM,Control
CTL-11_R21+,Asymmetric dimethyl arginine,229000.0,Upper_Arm_SkM,Control
4T1-17_R4+,Asymmetric dimethyl arginine,131000.0,Lung,Tumor
4T1-21_R22+,Asymmetric dimethyl arginine,345000.0,Lung,Tumor
4T1-25_R16+,Asymmetric dimethyl arginine,246000.0,Lung,Tumor
CTL-4_R20+,Asymmetric dimethyl arginine,135000.0,Lung,Control
CTL-8_R13+,Asymmetric dimethyl arginine,156000.0,Lung,Control
CTL-12_R14+,Asymmetric dimethyl arginine,143000.0,Lung,Control
4T1-1_R7+,Carnosine,17200000.0,Tibialis_anterior,Tumor
4T1-15_R11+,Carnosine,17400000.0,Tibialis_anterior,Tumor
4T1-19_R15+,Carnosine,3650000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Carnosine,7530000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Carnosine,19400000.0,Tibialis_anterior,Control
CTL-5_R2+,Carnosine,16100000.0,Tibialis_anterior,Control
CTL-9_R1+,Carnosine,16000000.0,Tibialis_anterior,Control
CTL-3_R6+,Carnosine,16400000.0,Upper_Arm_SkM,Control
CTL-7_R3+,Carnosine,14700000.0,Upper_Arm_SkM,Control
CTL-11_R21+,Carnosine,16300000.0,Upper_Arm_SkM,Control
4T1-17_R4+,Carnosine,78900.0,Lung,Tumor
4T1-21_R22+,Carnosine,87400.0,Lung,Tumor
4T1-25_R16+,Carnosine,149000.0,Lung,Tumor
CTL-4_R20+,Carnosine,65500.0,Lung,Control
CTL-8_R13+,Carnosine,84200.0,Lung,Control
CTL-12_R14+,Carnosine,47800.0,Lung,Control
4T1-1_R7+,Phosphocreatine,405000.0,Tibialis_anterior,Tumor
4T1-15_R11+,Phosphocreatine,2800000.0,Tibialis_anterior,Tumor
4T1-19_R15+,Phosphocreatine,28400.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Phosphocreatine,25900.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Phosphocreatine,25900.0,Tibialis_anterior,Control
CTL-5_R2+,Phosphocreatine,69800.0,Tibialis_anterior,Control
CTL-9_R1+,Phosphocreatine,19900.0,Tibialis_anterior,Control
CTL-3_R6+,Phosphocreatine,785000.0,Upper_Arm_SkM,Control
CTL-7_R3+,Phosphocreatine,584000.0,Upper_Arm_SkM,Control
CTL-11_R21+,Phosphocreatine,18200.0,Upper_Arm_SkM,Control
4T1-17_R4+,Phosphocreatine,600000.0,Lung,Tumor
4T1-21_R22+,Phosphocreatine,275000.0,Lung,Tumor
4T1-25_R16+,Phosphocreatine,425000.0,Lung,Tumor
CTL-4_R20+,Phosphocreatine,301000.0,Lung,Control
CTL-8_R13+,Phosphocreatine,258000.0,Lung,Control
CTL-12_R14+,Phosphocreatine,247000.0,Lung,Control
4T1-1_R7+,Guanidinoacetate,687000.0,Tibialis_anterior,Tumor
4T1-15_R11+,Guanidinoacetate,629000.0,Tibialis_anterior,Tumor
4T1-19_R15+,Guanidinoacetate,540000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Guanidinoacetate,806000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Guanidinoacetate,583000.0,Tibialis_anterior,Control
CTL-5_R2+,Guanidinoacetate,750000.0,Tibialis_anterior,Control
CTL-9_R1+,Guanidinoacetate,592000.0,Tibialis_anterior,Control
CTL-3_R6+,Guanidinoacetate,476000.0,Upper_Arm_SkM,Control
CTL-7_R3+,Guanidinoacetate,266000.0,Upper_Arm_SkM,Control
CTL-11_R21+,Guanidinoacetate,412000.0,Upper_Arm_SkM,Control
4T1-17_R4+,Guanidinoacetate,519000.0,Lung,Tumor
4T1-21_R22+,Guanidinoacetate,649000.0,Lung,Tumor
4T1-25_R16+,Guanidinoacetate,417000.0,Lung,Tumor
CTL-4_R20+,Guanidinoacetate,303000.0,Lung,Control
CTL-8_R13+,Guanidinoacetate,315000.0,Lung,Control
CTL-12_R14+,Guanidinoacetate,222000.0,Lung,Control
4T1-1_R7+,trans-4-Hydroxy-L-proline,4400000.0,Tibialis_anterior,Tumor
4T1-15_R11+,trans-4-Hydroxy-L-proline,3500000.0,Tibialis_anterior,Tumor
4T1-19_R15+,trans-4-Hydroxy-L-proline,1920000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,trans-4-Hydroxy-L-proline,2900000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,trans-4-Hydroxy-L-proline,8710000.0,Tibialis_anterior,Control
CTL-5_R2+,trans-4-Hydroxy-L-proline,7710000.0,Tibialis_anterior,Control
CTL-9_R1+,trans-4-Hydroxy-L-proline,6860000.0,Tibialis_anterior,Control
CTL-3_R6+,trans-4-Hydroxy-L-proline,8800000.0,Upper_Arm_SkM,Control
CTL-7_R3+,trans-4-Hydroxy-L-proline,6420000.0,Upper_Arm_SkM,Control
CTL-11_R21+,trans-4-Hydroxy-L-proline,7180000.0,Upper_Arm_SkM,Control
4T1-17_R4+,trans-4-Hydroxy-L-proline,1130000.0,Lung,Tumor
4T1-21_R22+,trans-4-Hydroxy-L-proline,1860000.0,Lung,Tumor
4T1-25_R16+,trans-4-Hydroxy-L-proline,1350000.0,Lung,Tumor
CTL-4_R20+,trans-4-Hydroxy-L-proline,939000.0,Lung,Control
CTL-8_R13+,trans-4-Hydroxy-L-proline,881000.0,Lung,Control
CTL-12_R14+,trans-4-Hydroxy-L-proline,722000.0,Lung,Control
4T1-1_R7+,5-6-Dihydrouracil,594000.0,Tibialis_anterior,Tumor
4T1-15_R11+,5-6-Dihydrouracil,590000.0,Tibialis_anterior,Tumor
4T1-19_R15+,5-6-Dihydrouracil,497000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,5-6-Dihydrouracil,784000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,5-6-Dihydrouracil,806000.0,Tibialis_anterior,Control
CTL-5_R2+,5-6-Dihydrouracil,913000.0,Tibialis_anterior,Control
CTL-9_R1+,5-6-Dihydrouracil,679000.0,Tibialis_anterior,Control
CTL-3_R6+,5-6-Dihydrouracil,803000.0,Upper_Arm_SkM,Control
CTL-7_R3+,5-6-Dihydrouracil,821000.0,Upper_Arm_SkM,Control
CTL-11_R21+,5-6-Dihydrouracil,775000.0,Upper_Arm_SkM,Control
4T1-17_R4+,5-6-Dihydrouracil,52400.0,Lung,Tumor
4T1-21_R22+,5-6-Dihydrouracil,46800.0,Lung,Tumor
4T1-25_R16+,5-6-Dihydrouracil,34700.0,Lung,Tumor
CTL-4_R20+,5-6-Dihydrouracil,27200.0,Lung,Control
CTL-8_R13+,5-6-Dihydrouracil,55300.0,Lung,Control
CTL-12_R14+,5-6-Dihydrouracil,32600.0,Lung,Control
4T1-1_R7+,Taurine,172000000.0,Tibialis_anterior,Tumor
4T1-15_R11+,Taurine,184000000.0,Tibialis_anterior,Tumor
4T1-19_R15+,Taurine,154000000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Taurine,176000000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Taurine,171000000.0,Tibialis_anterior,Control
CTL-5_R2+,Taurine,188000000.0,Tibialis_anterior,Control
CTL-9_R1+,Taurine,159000000.0,Tibialis_anterior,Control
CTL-3_R6+,Taurine,189000000.0,Upper_Arm_SkM,Control
CTL-7_R3+,Taurine,170000000.0,Upper_Arm_SkM,Control
CTL-11_R21+,Taurine,185000000.0,Upper_Arm_SkM,Control
4T1-17_R4+,Taurine,54000000.0,Lung,Tumor
4T1-21_R22+,Taurine,51300000.0,Lung,Tumor
4T1-25_R16+,Taurine,55200000.0,Lung,Tumor
CTL-4_R20+,Taurine,49300000.0,Lung,Control
CTL-8_R13+,Taurine,42400000.0,Lung,Control
CTL-12_R14+,Taurine,38000000.0,Lung,Control
4T1-1_R7+,Hypotaurine,1010000.0,Tibialis_anterior,Tumor
4T1-15_R11+,Hypotaurine,1530000.0,Tibialis_anterior,Tumor
4T1-19_R15+,Hypotaurine,1480000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Hypotaurine,2040000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Hypotaurine,1640000.0,Tibialis_anterior,Control
CTL-5_R2+,Hypotaurine,1760000.0,Tibialis_anterior,Control
CTL-9_R1+,Hypotaurine,1410000.0,Tibialis_anterior,Control
CTL-3_R6+,Hypotaurine,1970000.0,Upper_Arm_SkM,Control
CTL-7_R3+,Hypotaurine,1570000.0,Upper_Arm_SkM,Control
CTL-11_R21+,Hypotaurine,1510000.0,Upper_Arm_SkM,Control
4T1-17_R4+,Hypotaurine,1060000.0,Lung,Tumor
4T1-21_R22+,Hypotaurine,844000.0,Lung,Tumor
4T1-25_R16+,Hypotaurine,658000.0,Lung,Tumor
CTL-4_R20+,Hypotaurine,724000.0,Lung,Control
CTL-8_R13+,Hypotaurine,771000.0,Lung,Control
CTL-12_R14+,Hypotaurine,660000.0,Lung,Control
4T1-1_R7+,L-Methionine S-oxide,226000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-Methionine S-oxide,137000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-Methionine S-oxide,210000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-Methionine S-oxide,142000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-Methionine S-oxide,134000.0,Tibialis_anterior,Control
CTL-5_R2+,L-Methionine S-oxide,178000.0,Tibialis_anterior,Control
CTL-9_R1+,L-Methionine S-oxide,301000.0,Tibialis_anterior,Control
CTL-3_R6+,L-Methionine S-oxide,127000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-Methionine S-oxide,162000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-Methionine S-oxide,162000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-Methionine S-oxide,307000.0,Lung,Tumor
4T1-21_R22+,L-Methionine S-oxide,329000.0,Lung,Tumor
4T1-25_R16+,L-Methionine S-oxide,162000.0,Lung,Tumor
CTL-4_R20+,L-Methionine S-oxide,261000.0,Lung,Control
CTL-8_R13+,L-Methionine S-oxide,406000.0,Lung,Control
CTL-12_R14+,L-Methionine S-oxide,383000.0,Lung,Control
4T1-1_R7+,Kynurenine,23800.0,Tibialis_anterior,Tumor
4T1-15_R11+,Kynurenine,19200.0,Tibialis_anterior,Tumor
4T1-19_R15+,Kynurenine,59800.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Kynurenine,18600.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Kynurenine,14100.0,Tibialis_anterior,Control
CTL-5_R2+,Kynurenine,11800.0,Tibialis_anterior,Control
CTL-9_R1+,Kynurenine,18700.0,Tibialis_anterior,Control
CTL-3_R6+,Kynurenine,10300.0,Upper_Arm_SkM,Control
CTL-7_R3+,Kynurenine,11700.0,Upper_Arm_SkM,Control
CTL-11_R21+,Kynurenine,9960.0,Upper_Arm_SkM,Control
4T1-17_R4+,Kynurenine,31300.0,Lung,Tumor
4T1-21_R22+,Kynurenine,26600.0,Lung,Tumor
4T1-25_R16+,Kynurenine,25400.0,Lung,Tumor
CTL-4_R20+,Kynurenine,25500.0,Lung,Control
CTL-8_R13+,Kynurenine,35300.0,Lung,Control
CTL-12_R14+,Kynurenine,24100.0,Lung,Control
4T1-1_R7+,N-formyl kynurenine,11500.0,Tibialis_anterior,Tumor
4T1-15_R11+,N-formyl kynurenine,17200.0,Tibialis_anterior,Tumor
4T1-19_R15+,N-formyl kynurenine,5920.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,N-formyl kynurenine,12400.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,N-formyl kynurenine,15700.0,Tibialis_anterior,Control
CTL-5_R2+,N-formyl kynurenine,14400.0,Tibialis_anterior,Control
CTL-9_R1+,N-formyl kynurenine,26500.0,Tibialis_anterior,Control
CTL-3_R6+,N-formyl kynurenine,5480.0,Upper_Arm_SkM,Control
CTL-7_R3+,N-formyl kynurenine,12700.0,Upper_Arm_SkM,Control
CTL-11_R21+,N-formyl kynurenine,7830.0,Upper_Arm_SkM,Control
4T1-17_R4+,N-formyl kynurenine,9260.0,Lung,Tumor
4T1-21_R22+,N-formyl kynurenine,12700.0,Lung,Tumor
4T1-25_R16+,N-formyl kynurenine,15800.0,Lung,Tumor
CTL-4_R20+,N-formyl kynurenine,11000.0,Lung,Control
CTL-8_R13+,N-formyl kynurenine,12200.0,Lung,Control
CTL-12_R14+,N-formyl kynurenine,3180.0,Lung,Control
4T1-1_R7+,g-Oxalo-crotonate,487000.0,Tibialis_anterior,Tumor
4T1-15_R11+,g-Oxalo-crotonate,476000.0,Tibialis_anterior,Tumor
4T1-19_R15+,g-Oxalo-crotonate,1020000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,g-Oxalo-crotonate,815000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,g-Oxalo-crotonate,276000.0,Tibialis_anterior,Control
CTL-5_R2+,g-Oxalo-crotonate,285000.0,Tibialis_anterior,Control
CTL-9_R1+,g-Oxalo-crotonate,251000.0,Tibialis_anterior,Control
CTL-3_R6+,g-Oxalo-crotonate,220000.0,Upper_Arm_SkM,Control
CTL-7_R3+,g-Oxalo-crotonate,195000.0,Upper_Arm_SkM,Control
CTL-11_R21+,g-Oxalo-crotonate,188000.0,Upper_Arm_SkM,Control
4T1-17_R4+,g-Oxalo-crotonate,711000.0,Lung,Tumor
4T1-21_R22+,g-Oxalo-crotonate,1120000.0,Lung,Tumor
4T1-25_R16+,g-Oxalo-crotonate,1170000.0,Lung,Tumor
CTL-4_R20+,g-Oxalo-crotonate,703000.0,Lung,Control
CTL-8_R13+,g-Oxalo-crotonate,1170000.0,Lung,Control
CTL-12_R14+,g-Oxalo-crotonate,1210000.0,Lung,Control
4T1-1_R7+,2-Aminomuconate,29400.0,Tibialis_anterior,Tumor
4T1-15_R11+,2-Aminomuconate,22700.0,Tibialis_anterior,Tumor
4T1-19_R15+,2-Aminomuconate,28200.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,2-Aminomuconate,26900.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,2-Aminomuconate,13400.0,Tibialis_anterior,Control
CTL-5_R2+,2-Aminomuconate,14600.0,Tibialis_anterior,Control
CTL-9_R1+,2-Aminomuconate,9240.0,Tibialis_anterior,Control
CTL-3_R6+,2-Aminomuconate,49100.0,Upper_Arm_SkM,Control
CTL-7_R3+,2-Aminomuconate,34000.0,Upper_Arm_SkM,Control
CTL-11_R21+,2-Aminomuconate,20100.0,Upper_Arm_SkM,Control
4T1-17_R4+,2-Aminomuconate,43500.0,Lung,Tumor
4T1-21_R22+,2-Aminomuconate,36500.0,Lung,Tumor
4T1-25_R16+,2-Aminomuconate,23300.0,Lung,Tumor
CTL-4_R20+,2-Aminomuconate,33500.0,Lung,Control
CTL-8_R13+,2-Aminomuconate,12200.0,Lung,Control
CTL-12_R14+,2-Aminomuconate,18600.0,Lung,Control
4T1-1_R7+,L-Adrenaline,6990.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-Adrenaline,6000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-Adrenaline,16700.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-Adrenaline,16800.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-Adrenaline,4660.0,Tibialis_anterior,Control
CTL-5_R2+,L-Adrenaline,9900.0,Tibialis_anterior,Control
CTL-9_R1+,L-Adrenaline,17000.0,Tibialis_anterior,Control
CTL-3_R6+,L-Adrenaline,16100.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-Adrenaline,16800.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-Adrenaline,26300.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-Adrenaline,8940.0,Lung,Tumor
4T1-21_R22+,L-Adrenaline,9260.0,Lung,Tumor
4T1-25_R16+,L-Adrenaline,6390.0,Lung,Tumor
CTL-4_R20+,L-Adrenaline,7950.0,Lung,Control
CTL-8_R13+,L-Adrenaline,4990.0,Lung,Control
CTL-12_R14+,L-Adrenaline,8610.0,Lung,Control
4T1-1_R7+,Serotonin,29600.0,Tibialis_anterior,Tumor
4T1-15_R11+,Serotonin,23900.0,Tibialis_anterior,Tumor
4T1-19_R15+,Serotonin,43700.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Serotonin,16700.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Serotonin,18100.0,Tibialis_anterior,Control
CTL-5_R2+,Serotonin,21100.0,Tibialis_anterior,Control
CTL-9_R1+,Serotonin,21800.0,Tibialis_anterior,Control
CTL-3_R6+,Serotonin,13100.0,Upper_Arm_SkM,Control
CTL-7_R3+,Serotonin,10200.0,Upper_Arm_SkM,Control
CTL-11_R21+,Serotonin,9450.0,Upper_Arm_SkM,Control
4T1-17_R4+,Serotonin,101000.0,Lung,Tumor
4T1-21_R22+,Serotonin,28200.0,Lung,Tumor
4T1-25_R16+,Serotonin,34000.0,Lung,Tumor
CTL-4_R20+,Serotonin,631000.0,Lung,Control
CTL-8_R13+,Serotonin,501000.0,Lung,Control
CTL-12_R14+,Serotonin,570000.0,Lung,Control
4T1-1_R7+,Ectoine,160000.0,Tibialis_anterior,Tumor
4T1-15_R11+,Ectoine,182000.0,Tibialis_anterior,Tumor
4T1-19_R15+,Ectoine,147000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Ectoine,73900.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Ectoine,128000.0,Tibialis_anterior,Control
CTL-5_R2+,Ectoine,149000.0,Tibialis_anterior,Control
CTL-9_R1+,Ectoine,209000.0,Tibialis_anterior,Control
CTL-3_R6+,Ectoine,309000.0,Upper_Arm_SkM,Control
CTL-7_R3+,Ectoine,209000.0,Upper_Arm_SkM,Control
CTL-11_R21+,Ectoine,227000.0,Upper_Arm_SkM,Control
4T1-17_R4+,Ectoine,161000.0,Lung,Tumor
4T1-21_R22+,Ectoine,117000.0,Lung,Tumor
4T1-25_R16+,Ectoine,236000.0,Lung,Tumor
CTL-4_R20+,Ectoine,321000.0,Lung,Control
CTL-8_R13+,Ectoine,480000.0,Lung,Control
CTL-12_R14+,Ectoine,457000.0,Lung,Control
4T1-1_R7+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,4130.0,Tibialis_anterior,Tumor
4T1-15_R11+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,4030.0,Tibialis_anterior,Tumor
4T1-19_R15+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,2690.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,0.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,3050.0,Tibialis_anterior,Control
CTL-5_R2+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,2520.0,Tibialis_anterior,Control
CTL-9_R1+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,0.0,Tibialis_anterior,Control
CTL-3_R6+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,0.0,Upper_Arm_SkM,Control
CTL-7_R3+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,0.0,Upper_Arm_SkM,Control
CTL-11_R21+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,1670.0,Upper_Arm_SkM,Control
4T1-17_R4+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,30500.0,Lung,Tumor
4T1-21_R22+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,17300.0,Lung,Tumor
4T1-25_R16+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,48700.0,Lung,Tumor
CTL-4_R20+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,63500.0,Lung,Control
CTL-8_R13+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,62000.0,Lung,Control
CTL-12_R14+,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione,72800.0,Lung,Control
4T1-1_R7+,sn-glycero-3-Phosphoethanolamine,277000.0,Tibialis_anterior,Tumor
4T1-15_R11+,sn-glycero-3-Phosphoethanolamine,193000.0,Tibialis_anterior,Tumor
4T1-19_R15+,sn-glycero-3-Phosphoethanolamine,241000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,sn-glycero-3-Phosphoethanolamine,516000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,sn-glycero-3-Phosphoethanolamine,121000.0,Tibialis_anterior,Control
CTL-5_R2+,sn-glycero-3-Phosphoethanolamine,95400.0,Tibialis_anterior,Control
CTL-9_R1+,sn-glycero-3-Phosphoethanolamine,106000.0,Tibialis_anterior,Control
CTL-3_R6+,sn-glycero-3-Phosphoethanolamine,111000.0,Upper_Arm_SkM,Control
CTL-7_R3+,sn-glycero-3-Phosphoethanolamine,116000.0,Upper_Arm_SkM,Control
CTL-11_R21+,sn-glycero-3-Phosphoethanolamine,77600.0,Upper_Arm_SkM,Control
4T1-17_R4+,sn-glycero-3-Phosphoethanolamine,1300000.0,Lung,Tumor
4T1-21_R22+,sn-glycero-3-Phosphoethanolamine,1110000.0,Lung,Tumor
4T1-25_R16+,sn-glycero-3-Phosphoethanolamine,816000.0,Lung,Tumor
CTL-4_R20+,sn-glycero-3-Phosphoethanolamine,1060000.0,Lung,Control
CTL-8_R13+,sn-glycero-3-Phosphoethanolamine,980000.0,Lung,Control
CTL-12_R14+,sn-glycero-3-Phosphoethanolamine,813000.0,Lung,Control
4T1-1_R7+,Diethanolamine,27600.0,Tibialis_anterior,Tumor
4T1-15_R11+,Diethanolamine,47300.0,Tibialis_anterior,Tumor
4T1-19_R15+,Diethanolamine,16000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Diethanolamine,41700.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Diethanolamine,9290.0,Tibialis_anterior,Control
CTL-5_R2+,Diethanolamine,22100.0,Tibialis_anterior,Control
CTL-9_R1+,Diethanolamine,16200.0,Tibialis_anterior,Control
CTL-3_R6+,Diethanolamine,18300.0,Upper_Arm_SkM,Control
CTL-7_R3+,Diethanolamine,17700.0,Upper_Arm_SkM,Control
CTL-11_R21+,Diethanolamine,17400.0,Upper_Arm_SkM,Control
4T1-17_R4+,Diethanolamine,13500.0,Lung,Tumor
4T1-21_R22+,Diethanolamine,13300.0,Lung,Tumor
4T1-25_R16+,Diethanolamine,18100.0,Lung,Tumor
CTL-4_R20+,Diethanolamine,13500.0,Lung,Control
CTL-8_R13+,Diethanolamine,19800.0,Lung,Control
CTL-12_R14+,Diethanolamine,10900.0,Lung,Control
4T1-1_R7+,Triethanolamine,345000.0,Tibialis_anterior,Tumor
4T1-15_R11+,Triethanolamine,215000.0,Tibialis_anterior,Tumor
4T1-19_R15+,Triethanolamine,1580000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Triethanolamine,276000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Triethanolamine,54600.0,Tibialis_anterior,Control
CTL-5_R2+,Triethanolamine,28500.0,Tibialis_anterior,Control
CTL-9_R1+,Triethanolamine,23500.0,Tibialis_anterior,Control
CTL-3_R6+,Triethanolamine,35700.0,Upper_Arm_SkM,Control
CTL-7_R3+,Triethanolamine,13800.0,Upper_Arm_SkM,Control
CTL-11_R21+,Triethanolamine,12800.0,Upper_Arm_SkM,Control
4T1-17_R4+,Triethanolamine,15100.0,Lung,Tumor
4T1-21_R22+,Triethanolamine,71700.0,Lung,Tumor
4T1-25_R16+,Triethanolamine,40000.0,Lung,Tumor
CTL-4_R20+,Triethanolamine,8780.0,Lung,Control
CTL-8_R13+,Triethanolamine,12700.0,Lung,Control
CTL-12_R14+,Triethanolamine,18500.0,Lung,Control
4T1-1_R7+,N-Methylethanolamine phosphate,131000.0,Tibialis_anterior,Tumor
4T1-15_R11+,N-Methylethanolamine phosphate,141000.0,Tibialis_anterior,Tumor
4T1-19_R15+,N-Methylethanolamine phosphate,144000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,N-Methylethanolamine phosphate,166000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,N-Methylethanolamine phosphate,172000.0,Tibialis_anterior,Control
CTL-5_R2+,N-Methylethanolamine phosphate,164000.0,Tibialis_anterior,Control
CTL-9_R1+,N-Methylethanolamine phosphate,175000.0,Tibialis_anterior,Control
CTL-3_R6+,N-Methylethanolamine phosphate,171000.0,Upper_Arm_SkM,Control
CTL-7_R3+,N-Methylethanolamine phosphate,175000.0,Upper_Arm_SkM,Control
CTL-11_R21+,N-Methylethanolamine phosphate,179000.0,Upper_Arm_SkM,Control
4T1-17_R4+,N-Methylethanolamine phosphate,148000.0,Lung,Tumor
4T1-21_R22+,N-Methylethanolamine phosphate,124000.0,Lung,Tumor
4T1-25_R16+,N-Methylethanolamine phosphate,136000.0,Lung,Tumor
CTL-4_R20+,N-Methylethanolamine phosphate,112000.0,Lung,Control
CTL-8_R13+,N-Methylethanolamine phosphate,117000.0,Lung,Control
CTL-12_R14+,N-Methylethanolamine phosphate,113000.0,Lung,Control
4T1-1_R7+,CDP-choline,27200.0,Tibialis_anterior,Tumor
4T1-15_R11+,CDP-choline,36800.0,Tibialis_anterior,Tumor
4T1-19_R15+,CDP-choline,66200.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,CDP-choline,78000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,CDP-choline,16900.0,Tibialis_anterior,Control
CTL-5_R2+,CDP-choline,7590.0,Tibialis_anterior,Control
CTL-9_R1+,CDP-choline,13600.0,Tibialis_anterior,Control
CTL-3_R6+,CDP-choline,33200.0,Upper_Arm_SkM,Control
CTL-7_R3+,CDP-choline,11300.0,Upper_Arm_SkM,Control
CTL-11_R21+,CDP-choline,12900.0,Upper_Arm_SkM,Control
4T1-17_R4+,CDP-choline,31300.0,Lung,Tumor
4T1-21_R22+,CDP-choline,177000.0,Lung,Tumor
4T1-25_R16+,CDP-choline,56300.0,Lung,Tumor
CTL-4_R20+,CDP-choline,33700.0,Lung,Control
CTL-8_R13+,CDP-choline,23800.0,Lung,Control
CTL-12_R14+,CDP-choline,41400.0,Lung,Control
