sample_id,metabolite,value,Sample type,Species,bleomycin/IPF,saline/HLF,wt B6
S00015470,ADENOSINE TRIPHOSPHATE,0.5494341,Tissues,Mus musculus,N,Y,Y
S00015471,ADENOSINE TRIPHOSPHATE,1.4067392,Tissues,Mus musculus,Y,N,Y
S00015472,ADENOSINE TRIPHOSPHATE,1.8128907,Tissues,Mus musculus,Y,N,Y
S00015473,ADENOSINE TRIPHOSPHATE,1.3925519,Tissues,Mus musculus,Y,N,Y
S00015474,ADENOSINE TRIPHOSPHATE,1.0409066,Tissues,Mus musculus,Y,N,Y
S00015475,ADENOSINE TRIPHOSPHATE,24.264502,Cells,Homo sapiens,N,Y,N
S00015476,ADENOSINE TRIPHOSPHATE,22.058601,Cells,Homo sapiens,N,Y,N
S00015477,ADENOSINE TRIPHOSPHATE,19.217528,Cells,Homo sapiens,N,Y,N
S00015478,ADENOSINE TRIPHOSPHATE,20.123856,Cells,Homo sapiens,N,Y,N
S00015479,ADENOSINE TRIPHOSPHATE,21.504412,Cells,Homo sapiens,N,Y,N
S00015480,ADENOSINE TRIPHOSPHATE,11.199269,Cells,Homo sapiens,Y,N,N
S00015481,ADENOSINE TRIPHOSPHATE,12.616523,Cells,Homo sapiens,Y,N,N
S00015482,ADENOSINE TRIPHOSPHATE,11.129699,Cells,Homo sapiens,Y,N,N
S00015483,ADENOSINE TRIPHOSPHATE,9.3763254,Cells,Homo sapiens,Y,N,N
S00015484,ADENOSINE TRIPHOSPHATE,11.262628,Cells,Homo sapiens,Y,N,N
S00015469,ROBISON ESTER,32.102187,Tissues,Mus musculus,N,Y,Y
S00015470,ROBISON ESTER,29.382406,Tissues,Mus musculus,N,Y,Y
S00015471,ROBISON ESTER,36.974363,Tissues,Mus musculus,Y,N,Y
S00015472,ROBISON ESTER,60.61004,Tissues,Mus musculus,Y,N,Y
S00015473,ROBISON ESTER,41.203271,Tissues,Mus musculus,Y,N,Y
S00015474,ROBISON ESTER,26.926794,Tissues,Mus musculus,Y,N,Y
S00015475,ROBISON ESTER,5.6627556,Cells,Homo sapiens,N,Y,N
S00015476,ROBISON ESTER,3.1875173,Cells,Homo sapiens,N,Y,N
S00015477,ROBISON ESTER,3.2625985,Cells,Homo sapiens,N,Y,N
S00015478,ROBISON ESTER,2.8042734,Cells,Homo sapiens,N,Y,N
S00015479,ROBISON ESTER,2.953797,Cells,Homo sapiens,N,Y,N
S00015480,ROBISON ESTER,5.281643,Cells,Homo sapiens,Y,N,N
S00015481,ROBISON ESTER,5.8430044,Cells,Homo sapiens,Y,N,N
S00015482,ROBISON ESTER,7.5404443,Cells,Homo sapiens,Y,N,N
S00015483,ROBISON ESTER,3.8791709,Cells,Homo sapiens,Y,N,N
S00015484,ROBISON ESTER,4.7753611,Cells,Homo sapiens,Y,N,N
S00015469,SUCROSE,0.988763,Tissues,Mus musculus,N,Y,Y
S00015470,SUCROSE,0.9008241,Tissues,Mus musculus,N,Y,Y
S00015471,SUCROSE,0.9309666,Tissues,Mus musculus,Y,N,Y
S00015472,SUCROSE,1.2047016,Tissues,Mus musculus,Y,N,Y
S00015473,SUCROSE,1.4064805,Tissues,Mus musculus,Y,N,Y
S00015474,SUCROSE,0.8448488,Tissues,Mus musculus,Y,N,Y
S00015475,SUCROSE,1.4053597,Cells,Homo sapiens,N,Y,N
S00015476,SUCROSE,1.3931808,Cells,Homo sapiens,N,Y,N
S00015477,SUCROSE,1.52942,Cells,Homo sapiens,N,Y,N
S00015478,SUCROSE,1.4947303,Cells,Homo sapiens,N,Y,N
S00015479,SUCROSE,1.2299552,Cells,Homo sapiens,N,Y,N
S00015480,SUCROSE,0.844104,Cells,Homo sapiens,Y,N,N
S00015481,SUCROSE,0.95206,Cells,Homo sapiens,Y,N,N
S00015482,SUCROSE,1.4246512,Cells,Homo sapiens,Y,N,N
S00015483,SUCROSE,0.9968124,Cells,Homo sapiens,Y,N,N
S00015484,SUCROSE,0.9296339,Cells,Homo sapiens,Y,N,N
S00015469,ADENOSINE 5'-DIPHOSPHATE,5.4226688,Tissues,Mus musculus,N,Y,Y
S00015470,ADENOSINE 5'-DIPHOSPHATE,4.6860995,Tissues,Mus musculus,N,Y,Y
S00015471,ADENOSINE 5'-DIPHOSPHATE,7.2679813,Tissues,Mus musculus,Y,N,Y
S00015472,ADENOSINE 5'-DIPHOSPHATE,6.4957224,Tissues,Mus musculus,Y,N,Y
S00015473,ADENOSINE 5'-DIPHOSPHATE,7.0485665,Tissues,Mus musculus,Y,N,Y
S00015474,ADENOSINE 5'-DIPHOSPHATE,5.495183,Tissues,Mus musculus,Y,N,Y
S00015475,ADENOSINE 5'-DIPHOSPHATE,4.6881385,Cells,Homo sapiens,N,Y,N
S00015476,ADENOSINE 5'-DIPHOSPHATE,4.5222835,Cells,Homo sapiens,N,Y,N
S00015477,ADENOSINE 5'-DIPHOSPHATE,3.6985387,Cells,Homo sapiens,N,Y,N
S00015478,ADENOSINE 5'-DIPHOSPHATE,4.1268358,Cells,Homo sapiens,N,Y,N
S00015479,ADENOSINE 5'-DIPHOSPHATE,3.8255866,Cells,Homo sapiens,N,Y,N
S00015480,ADENOSINE 5'-DIPHOSPHATE,5.6181899,Cells,Homo sapiens,Y,N,N
S00015481,ADENOSINE 5'-DIPHOSPHATE,5.8949762,Cells,Homo sapiens,Y,N,N
S00015482,ADENOSINE 5'-DIPHOSPHATE,5.8488405,Cells,Homo sapiens,Y,N,N
S00015483,ADENOSINE 5'-DIPHOSPHATE,5.8450959,Cells,Homo sapiens,Y,N,N
S00015484,ADENOSINE 5'-DIPHOSPHATE,6.2206817,Cells,Homo sapiens,Y,N,N
S00015469,ADENOSINE 5'-MONOPHOSPHATE,407.22294,Tissues,Mus musculus,N,Y,Y
S00015470,ADENOSINE 5'-MONOPHOSPHATE,326.80863,Tissues,Mus musculus,N,Y,Y
S00015471,ADENOSINE 5'-MONOPHOSPHATE,139.18028,Tissues,Mus musculus,Y,N,Y
S00015472,ADENOSINE 5'-MONOPHOSPHATE,84.540786,Tissues,Mus musculus,Y,N,Y
S00015473,ADENOSINE 5'-MONOPHOSPHATE,217.29523,Tissues,Mus musculus,Y,N,Y
S00015474,ADENOSINE 5'-MONOPHOSPHATE,203.80003,Tissues,Mus musculus,Y,N,Y
S00015475,ADENOSINE 5'-MONOPHOSPHATE,28.270338,Cells,Homo sapiens,N,Y,N
S00015476,ADENOSINE 5'-MONOPHOSPHATE,24.158615,Cells,Homo sapiens,N,Y,N
S00015477,ADENOSINE 5'-MONOPHOSPHATE,22.726548,Cells,Homo sapiens,N,Y,N
S00015478,ADENOSINE 5'-MONOPHOSPHATE,24.919884,Cells,Homo sapiens,N,Y,N
S00015479,ADENOSINE 5'-MONOPHOSPHATE,24.324044,Cells,Homo sapiens,N,Y,N
S00015480,ADENOSINE 5'-MONOPHOSPHATE,79.370131,Cells,Homo sapiens,Y,N,N
S00015481,ADENOSINE 5'-MONOPHOSPHATE,92.896699,Cells,Homo sapiens,Y,N,N
S00015482,ADENOSINE 5'-MONOPHOSPHATE,80.242521,Cells,Homo sapiens,Y,N,N
S00015483,ADENOSINE 5'-MONOPHOSPHATE,117.29868,Cells,Homo sapiens,Y,N,N
S00015484,ADENOSINE 5'-MONOPHOSPHATE,110.32047,Cells,Homo sapiens,Y,N,N
S00015469,GLYCERATE 3-PHOSPHATE,0.6900139,Tissues,Mus musculus,N,Y,Y
S00015470,GLYCERATE 3-PHOSPHATE,0.6752874,Tissues,Mus musculus,N,Y,Y
S00015471,GLYCERATE 3-PHOSPHATE,0.8682791,Tissues,Mus musculus,Y,N,Y
S00015472,GLYCERATE 3-PHOSPHATE,1.128289,Tissues,Mus musculus,Y,N,Y
S00015473,GLYCERATE 3-PHOSPHATE,1.1246906,Tissues,Mus musculus,Y,N,Y
S00015474,GLYCERATE 3-PHOSPHATE,0.8061432,Tissues,Mus musculus,Y,N,Y
S00015475,GLYCERATE 3-PHOSPHATE,1.1185312,Cells,Homo sapiens,N,Y,N
S00015476,GLYCERATE 3-PHOSPHATE,1.337023,Cells,Homo sapiens,N,Y,N
S00015477,GLYCERATE 3-PHOSPHATE,1.5968898,Cells,Homo sapiens,N,Y,N
S00015478,GLYCERATE 3-PHOSPHATE,1.4706157,Cells,Homo sapiens,N,Y,N
S00015479,GLYCERATE 3-PHOSPHATE,1.0635177,Cells,Homo sapiens,N,Y,N
S00015480,GLYCERATE 3-PHOSPHATE,1.0550395,Cells,Homo sapiens,Y,N,N
S00015481,GLYCERATE 3-PHOSPHATE,1.1363625,Cells,Homo sapiens,Y,N,N
S00015482,GLYCERATE 3-PHOSPHATE,1.6313113,Cells,Homo sapiens,Y,N,N
S00015483,GLYCERATE 3-PHOSPHATE,1.3067948,Cells,Homo sapiens,Y,N,N
S00015484,GLYCERATE 3-PHOSPHATE,1.2689223,Cells,Homo sapiens,Y,N,N
S00015469,RIBOSE PHOSPHATE,13.095815,Tissues,Mus musculus,N,Y,Y
S00015470,RIBOSE PHOSPHATE,13.163072,Tissues,Mus musculus,N,Y,Y
S00015471,RIBOSE PHOSPHATE,22.114275,Tissues,Mus musculus,Y,N,Y
S00015472,RIBOSE PHOSPHATE,40.000622,Tissues,Mus musculus,Y,N,Y
S00015473,RIBOSE PHOSPHATE,27.709286,Tissues,Mus musculus,Y,N,Y
S00015474,RIBOSE PHOSPHATE,15.878479,Tissues,Mus musculus,Y,N,Y
S00015475,RIBOSE PHOSPHATE,6.3307028,Cells,Homo sapiens,N,Y,N
S00015476,RIBOSE PHOSPHATE,6.2182392,Cells,Homo sapiens,N,Y,N
S00015477,RIBOSE PHOSPHATE,9.6119573,Cells,Homo sapiens,N,Y,N
S00015478,RIBOSE PHOSPHATE,6.5955613,Cells,Homo sapiens,N,Y,N
S00015479,RIBOSE PHOSPHATE,7.3134732,Cells,Homo sapiens,N,Y,N
S00015480,RIBOSE PHOSPHATE,6.6111134,Cells,Homo sapiens,Y,N,N
S00015481,RIBOSE PHOSPHATE,8.8571162,Cells,Homo sapiens,Y,N,N
S00015482,RIBOSE PHOSPHATE,11.821992,Cells,Homo sapiens,Y,N,N
S00015483,RIBOSE PHOSPHATE,7.2819838,Cells,Homo sapiens,Y,N,N
S00015484,RIBOSE PHOSPHATE,9.6029894,Cells,Homo sapiens,Y,N,N
S00015469,PYRUVIC ACID,1.2120888,Tissues,Mus musculus,N,Y,Y
S00015470,PYRUVIC ACID,1.2122738,Tissues,Mus musculus,N,Y,Y
S00015471,PYRUVIC ACID,1.2166433,Tissues,Mus musculus,Y,N,Y
S00015472,PYRUVIC ACID,1.2240997,Tissues,Mus musculus,Y,N,Y
S00015473,PYRUVIC ACID,1.2343615,Tissues,Mus musculus,Y,N,Y
S00015474,PYRUVIC ACID,1.2364795,Tissues,Mus musculus,Y,N,Y
S00015475,PYRUVIC ACID,1.2239584,Cells,Homo sapiens,N,Y,N
S00015476,PYRUVIC ACID,1.2458525,Cells,Homo sapiens,N,Y,N
S00015477,PYRUVIC ACID,1.2510062,Cells,Homo sapiens,N,Y,N
S00015478,PYRUVIC ACID,1.2534862,Cells,Homo sapiens,N,Y,N
S00015479,PYRUVIC ACID,1.2427141,Cells,Homo sapiens,N,Y,N
S00015480,PYRUVIC ACID,1.2304312,Cells,Homo sapiens,Y,N,N
S00015481,PYRUVIC ACID,1.2203002,Cells,Homo sapiens,Y,N,N
S00015483,PYRUVIC ACID,1.2220662,Cells,Homo sapiens,Y,N,N
S00015484,PYRUVIC ACID,1.2503706,Cells,Homo sapiens,Y,N,N
S00015469,DL-ASPARTIC ACID,82.228826,Tissues,Mus musculus,N,Y,Y
S00015470,DL-ASPARTIC ACID,83.121791,Tissues,Mus musculus,N,Y,Y
S00015471,DL-ASPARTIC ACID,108.35697,Tissues,Mus musculus,Y,N,Y
S00015472,DL-ASPARTIC ACID,208.59358,Tissues,Mus musculus,Y,N,Y
S00015473,DL-ASPARTIC ACID,125.90848,Tissues,Mus musculus,Y,N,Y
S00015474,DL-ASPARTIC ACID,193.98439,Tissues,Mus musculus,Y,N,Y
S00015475,DL-ASPARTIC ACID,4.8687735,Cells,Homo sapiens,N,Y,N
S00015476,DL-ASPARTIC ACID,8.2218718,Cells,Homo sapiens,N,Y,N
S00015477,DL-ASPARTIC ACID,8.0346042,Cells,Homo sapiens,N,Y,N
S00015478,DL-ASPARTIC ACID,8.0066445,Cells,Homo sapiens,N,Y,N
S00015479,DL-ASPARTIC ACID,12.427014,Cells,Homo sapiens,N,Y,N
S00015480,DL-ASPARTIC ACID,6.3079602,Cells,Homo sapiens,Y,N,N
S00015481,DL-ASPARTIC ACID,4.6913311,Cells,Homo sapiens,Y,N,N
S00015483,DL-ASPARTIC ACID,3.7597118,Cells,Homo sapiens,Y,N,N
S00015484,DL-ASPARTIC ACID,10.857118,Cells,Homo sapiens,Y,N,N
S00015469,FUMARIC ACID,3.8291594,Tissues,Mus musculus,N,Y,Y
S00015470,FUMARIC ACID,3.9963144,Tissues,Mus musculus,N,Y,Y
S00015471,FUMARIC ACID,4.8130148,Tissues,Mus musculus,Y,N,Y
S00015472,FUMARIC ACID,5.2062561,Tissues,Mus musculus,Y,N,Y
S00015473,FUMARIC ACID,4.7341648,Tissues,Mus musculus,Y,N,Y
S00015474,FUMARIC ACID,7.0042579,Tissues,Mus musculus,Y,N,Y
S00015475,FUMARIC ACID,2.8785189,Cells,Homo sapiens,N,Y,N
S00015476,FUMARIC ACID,2.7818424,Cells,Homo sapiens,N,Y,N
S00015477,FUMARIC ACID,2.7896288,Cells,Homo sapiens,N,Y,N
S00015478,FUMARIC ACID,2.7916152,Cells,Homo sapiens,N,Y,N
S00015479,FUMARIC ACID,2.8256436,Cells,Homo sapiens,N,Y,N
S00015480,FUMARIC ACID,2.8390397,Cells,Homo sapiens,Y,N,N
S00015481,FUMARIC ACID,2.8076263,Cells,Homo sapiens,Y,N,N
S00015483,FUMARIC ACID,2.788486,Cells,Homo sapiens,Y,N,N
S00015484,FUMARIC ACID,3.1031532,Cells,Homo sapiens,Y,N,N
S00015469,2-KETOGLUTARIC ACID,0.2250877,Tissues,Mus musculus,N,Y,Y
S00015470,2-KETOGLUTARIC ACID,0.2279765,Tissues,Mus musculus,N,Y,Y
S00015471,2-KETOGLUTARIC ACID,0.2287517,Tissues,Mus musculus,Y,N,Y
S00015472,2-KETOGLUTARIC ACID,0.2308893,Tissues,Mus musculus,Y,N,Y
S00015473,2-KETOGLUTARIC ACID,0.2359683,Tissues,Mus musculus,Y,N,Y
S00015474,2-KETOGLUTARIC ACID,0.2380787,Tissues,Mus musculus,Y,N,Y
S00015475,2-KETOGLUTARIC ACID,0.2405373,Cells,Homo sapiens,N,Y,N
S00015476,2-KETOGLUTARIC ACID,0.2504593,Cells,Homo sapiens,N,Y,N
S00015477,2-KETOGLUTARIC ACID,0.2586114,Cells,Homo sapiens,N,Y,N
S00015478,2-KETOGLUTARIC ACID,0.2526327,Cells,Homo sapiens,N,Y,N
S00015479,2-KETOGLUTARIC ACID,0.2507883,Cells,Homo sapiens,N,Y,N
S00015480,2-KETOGLUTARIC ACID,0.2645688,Cells,Homo sapiens,Y,N,N
S00015481,2-KETOGLUTARIC ACID,0.2453656,Cells,Homo sapiens,Y,N,N
S00015483,2-KETOGLUTARIC ACID,0.2402555,Cells,Homo sapiens,Y,N,N
S00015484,2-KETOGLUTARIC ACID,0.2662557,Cells,Homo sapiens,Y,N,N
S00015469,L-ALANINE,2.1491892,Tissues,Mus musculus,N,Y,Y
S00015470,L-ALANINE,2.4596988,Tissues,Mus musculus,N,Y,Y
S00015471,L-ALANINE,4.2169022,Tissues,Mus musculus,Y,N,Y
S00015472,L-ALANINE,7.72233,Tissues,Mus musculus,Y,N,Y
S00015473,L-ALANINE,4.4421291,Tissues,Mus musculus,Y,N,Y
S00015474,L-ALANINE,7.3234857,Tissues,Mus musculus,Y,N,Y
S00015475,L-ALANINE,0.5943472,Cells,Homo sapiens,N,Y,N
S00015476,L-ALANINE,1.0897502,Cells,Homo sapiens,N,Y,N
S00015477,L-ALANINE,1.3225341,Cells,Homo sapiens,N,Y,N
S00015478,L-ALANINE,1.1751392,Cells,Homo sapiens,N,Y,N
S00015479,L-ALANINE,1.6511848,Cells,Homo sapiens,N,Y,N
S00015480,L-ALANINE,2.0681367,Cells,Homo sapiens,Y,N,N
S00015481,L-ALANINE,1.3205668,Cells,Homo sapiens,Y,N,N
S00015483,L-ALANINE,1.1158445,Cells,Homo sapiens,Y,N,N
S00015484,L-ALANINE,4.0713104,Cells,Homo sapiens,Y,N,N
S00015469,L-GLUTAMINE,6.8331443,Tissues,Mus musculus,N,Y,Y
S00015470,L-GLUTAMINE,6.4461493,Tissues,Mus musculus,N,Y,Y
S00015471,L-GLUTAMINE,19.418498,Tissues,Mus musculus,Y,N,Y
S00015472,L-GLUTAMINE,31.933477,Tissues,Mus musculus,Y,N,Y
S00015473,L-GLUTAMINE,13.350189,Tissues,Mus musculus,Y,N,Y
S00015474,L-GLUTAMINE,19.513302,Tissues,Mus musculus,Y,N,Y
S00015475,L-GLUTAMINE,11.692336,Cells,Homo sapiens,N,Y,N
S00015476,L-GLUTAMINE,20.719397,Cells,Homo sapiens,N,Y,N
S00015477,L-GLUTAMINE,21.157957,Cells,Homo sapiens,N,Y,N
S00015478,L-GLUTAMINE,22.825003,Cells,Homo sapiens,N,Y,N
S00015479,L-GLUTAMINE,29.682731,Cells,Homo sapiens,N,Y,N
S00015480,L-GLUTAMINE,14.900903,Cells,Homo sapiens,Y,N,N
S00015481,L-GLUTAMINE,10.147254,Cells,Homo sapiens,Y,N,N
S00015483,L-GLUTAMINE,8.7444129,Cells,Homo sapiens,Y,N,N
S00015484,L-GLUTAMINE,22.633999,Cells,Homo sapiens,Y,N,N
S00015469,DL-GLUTAMIC ACID,6.3028675,Tissues,Mus musculus,N,Y,Y
S00015470,DL-GLUTAMIC ACID,6.1040444,Tissues,Mus musculus,N,Y,Y
S00015471,DL-GLUTAMIC ACID,8.6936756,Tissues,Mus musculus,Y,N,Y
S00015472,DL-GLUTAMIC ACID,14.290988,Tissues,Mus musculus,Y,N,Y
S00015473,DL-GLUTAMIC ACID,8.9094007,Tissues,Mus musculus,Y,N,Y
S00015474,DL-GLUTAMIC ACID,14.378001,Tissues,Mus musculus,Y,N,Y
S00015475,DL-GLUTAMIC ACID,2.8702344,Cells,Homo sapiens,N,Y,N
S00015476,DL-GLUTAMIC ACID,4.8957194,Cells,Homo sapiens,N,Y,N
S00015477,DL-GLUTAMIC ACID,4.775305,Cells,Homo sapiens,N,Y,N
S00015478,DL-GLUTAMIC ACID,4.8792137,Cells,Homo sapiens,N,Y,N
S00015479,DL-GLUTAMIC ACID,6.8351299,Cells,Homo sapiens,N,Y,N
S00015480,DL-GLUTAMIC ACID,3.9097877,Cells,Homo sapiens,Y,N,N
S00015481,DL-GLUTAMIC ACID,2.9760384,Cells,Homo sapiens,Y,N,N
S00015483,DL-GLUTAMIC ACID,2.4428808,Cells,Homo sapiens,Y,N,N
S00015484,DL-GLUTAMIC ACID,6.6109082,Cells,Homo sapiens,Y,N,N
S00015469,LACTIC ACID,,Tissues,Mus musculus,N,Y,Y
S00015470,LACTIC ACID,,Tissues,Mus musculus,N,Y,Y
S00015471,LACTIC ACID,1.9040661,Tissues,Mus musculus,Y,N,Y
S00015472,LACTIC ACID,3.0101775,Tissues,Mus musculus,Y,N,Y
S00015473,LACTIC ACID,2.9742998,Tissues,Mus musculus,Y,N,Y
S00015474,LACTIC ACID,6.3374418,Tissues,Mus musculus,Y,N,Y
S00015475,LACTIC ACID,,Cells,Homo sapiens,N,Y,N
S00015476,LACTIC ACID,0.3731999,Cells,Homo sapiens,N,Y,N
S00015477,LACTIC ACID,1.055963,Cells,Homo sapiens,N,Y,N
S00015478,LACTIC ACID,1.1604786,Cells,Homo sapiens,N,Y,N
S00015479,LACTIC ACID,0.9431695,Cells,Homo sapiens,N,Y,N
S00015480,LACTIC ACID,1.5286465,Cells,Homo sapiens,Y,N,N
S00015481,LACTIC ACID,0.3026353,Cells,Homo sapiens,Y,N,N
S00015483,LACTIC ACID,0.1891682,Cells,Homo sapiens,Y,N,N
S00015484,LACTIC ACID,4.6088339,Cells,Homo sapiens,Y,N,N
S00015469,OXALACETIC ACID,0.1944054,Tissues,Mus musculus,N,Y,Y
S00015470,OXALACETIC ACID,0.1944054,Tissues,Mus musculus,N,Y,Y
S00015471,OXALACETIC ACID,0.1944054,Tissues,Mus musculus,Y,N,Y
S00015472,OXALACETIC ACID,0.1944054,Tissues,Mus musculus,Y,N,Y
S00015473,OXALACETIC ACID,0.1944054,Tissues,Mus musculus,Y,N,Y
S00015474,OXALACETIC ACID,0.1944054,Tissues,Mus musculus,Y,N,Y
S00015475,OXALACETIC ACID,0.1944054,Cells,Homo sapiens,N,Y,N
S00015476,OXALACETIC ACID,0.1944054,Cells,Homo sapiens,N,Y,N
S00015477,OXALACETIC ACID,0.1944054,Cells,Homo sapiens,N,Y,N
S00015478,OXALACETIC ACID,0.1944054,Cells,Homo sapiens,N,Y,N
S00015479,OXALACETIC ACID,0.1944054,Cells,Homo sapiens,N,Y,N
S00015480,OXALACETIC ACID,0.1944054,Cells,Homo sapiens,Y,N,N
S00015481,OXALACETIC ACID,0.1944054,Cells,Homo sapiens,Y,N,N
S00015483,OXALACETIC ACID,0.1944054,Cells,Homo sapiens,Y,N,N
S00015484,OXALACETIC ACID,0.1944054,Cells,Homo sapiens,Y,N,N
