Protein_A,Protein_B,Correlation,P_value,N_Observations,Interaction_Type,Mean_Delta_A,Mean_Delta_B
FRZB,OGN,-0.9975410118963067,0.044654205690264855,3,Antagonistic (opposite changes),-0.5243683442964379,0.21625026501423908
Lamc1,Serpina1b,0.9975373323438114,0.002462667656188522,4,Synergistic (both change together),0.13778727930428272,0.10826738375208866
Fn1,Spon1,0.9975350313039878,0.044708497554609684,3,Synergistic (both change together),-0.04726237978727921,-0.10154879009648456
COL4A5,SDC1,-0.9975299210311406,0.044754836555660676,3,Antagonistic (opposite changes),0.23566724893794788,-0.04609563915509366
COL5A1,GDF5,0.9975290261289522,0.044762946434116095,3,Synergistic (both change together),-0.45171158275443485,0.1518947261098848
F2,FRAS1,-0.9975266918775492,0.044784093237273094,3,Antagonistic (opposite changes),0.08190582499088635,-0.34493980627855625
COL5A3,LTBP4,0.9975240201905297,0.044808284760043116,3,Synergistic (both change together),-0.3006739920509436,0.06413960526507285
LOXL2,SERPINE1,0.9975239272221592,0.044809126332890456,3,Synergistic (both change together),-0.2710444761232375,0.2473450690500223
Igf2r,Igfbp5,-0.9975231155125546,0.04481647346020703,3,Antagonistic (opposite changes),-0.0038307026801807638,0.3077467085708498
P4HA2,TGFB1,0.9975225988499772,0.04482114936573084,3,Synergistic (both change together),-0.027079623177328333,0.06569377084860824
Ccs,Dnajc8,-0.9975203783272247,0.044841240024156126,3,Antagonistic (opposite changes),0.043491044013427134,-0.010583926839864066
Col1a1,Cpn2,-0.9975202355634001,0.04484253140319009,3,Antagonistic (opposite changes),0.03691149352253601,0.057874444410764704
CD109,SPARC,-0.9975193931581013,0.0024806068418987692,4,Antagonistic (opposite changes),-0.5216187733256453,-0.008639286667031981
Ctsz,Lgalsl,-0.9975182044840247,0.044860899637934264,3,Antagonistic (opposite changes),0.08679465625670597,-0.0418522326100109
CTSG,SDC2,0.9975156803877567,0.044883716053698605,3,Synergistic (both change together),0.21130599687228072,0.04316562935771825
SERPINA5,SMOC2,0.9975142239738158,0.0448968759528268,3,Synergistic (both change together),-0.19758037611001467,-0.019664111322500538
Dhrs7c,Snca,-0.9975097300050532,0.04493745840861906,3,Antagonistic (opposite changes),-0.14683129951817434,0.03404394692677501
F9,PDF,0.9975061338772631,0.04496990664235788,3,Synergistic (both change together),-0.2308815127010814,-0.26118423013350783
CTSC,TGM1,0.9975027984227165,0.04499998191422797,3,Synergistic (both change together),-1.2317809895662224e-05,-0.013790919120151263
Plxnb1,Sparc,-0.9975016561892343,0.04501027664324298,3,Antagonistic (opposite changes),0.01830350733316123,-0.13679606039404804
F2,Itgb4,0.9975004023693635,0.002499597630636563,4,Synergistic (both change together),0.11961843934469814,-0.11767274934050176
Fgb,Hcfc1,-0.9974953244935199,0.0025046755064799253,4,Antagonistic (opposite changes),0.10065878162685377,-0.07198216266714495
CHRDL2,FRZB,0.9974896456771426,0.045118383093477286,3,Synergistic (both change together),-0.5723148487450705,-0.5243683442964379
F12,HTRA1,0.9974848112125633,0.04516182511702005,3,Synergistic (both change together),0.6771256120502219,0.3872439953583266
C1QC,THBS2,0.9974829615000554,0.045178435421557944,3,Synergistic (both change together),0.0972866132996751,-0.06046978143292658
Dpp4,Itgb4,-0.9974822581847352,0.04518474955030618,3,Antagonistic (opposite changes),-0.5007142914609696,-0.2568344031389347
PTN,SERPINA1,-0.9974774749237021,0.04522766871682101,3,Antagonistic (opposite changes),-0.17059357445175224,0.7311371399450981
FGB,MATN3,-0.9974755634710791,0.04524480840138037,3,Antagonistic (opposite changes),1.9880053203948094,-1.000424115967756
CSTA,DCN,-0.9974742285912014,0.0452567742089998,3,Antagonistic (opposite changes),-0.12579785570194255,-0.0773185896164194
Pecam1,Rbmx,-0.9974716914146204,0.04527950865199691,3,Antagonistic (opposite changes),-0.10894543288342456,0.007144697528488131
Anxa6,Serpina1b,0.9974698150664159,0.0025301849335841453,4,Synergistic (both change together),-0.01548985273788216,0.10826738375208866
BCAN,HTRA1,-0.9974697552949053,0.045296849644876194,3,Antagonistic (opposite changes),-0.08641446358761873,0.6257332947626288
SERPINF1,TIMP2,-0.997466902397735,0.045322389748842846,3,Antagonistic (opposite changes),1.2957829917415629,-0.04418391496097246
Apoo,Arhgdia,-0.9974662110264348,0.002533788973564821,4,Antagonistic (opposite changes),0.10080670176962302,-0.05441735428205326
Ctss,Igfbp5,0.9974642550785245,0.04534607660350172,3,Synergistic (both change together),0.3012601676911792,0.1600469332207116
Col2a1,Tfrc,-0.997464014435907,0.0025359855640931794,4,Antagonistic (opposite changes),0.34045890371699195,-0.9583067021298592
Itgb4,Postn,-0.9974614868066429,0.0025385131933572946,4,Antagonistic (opposite changes),-0.11767274934050176,-0.6654282599390146
Fbn2,Gba,-0.9974613072493075,0.045372437741150254,3,Antagonistic (opposite changes),-0.9596885352148209,-0.2171792140123786
ANGPTL5,COL2A1,0.9974545646197346,0.04543267669936697,3,Synergistic (both change together),-0.08083664715925713,-0.5192367457860846
COL4A1,SEMA3C,0.9974480651123679,0.045490668214710796,3,Synergistic (both change together),0.13321555148769493,0.12974509455516967
Creld1,Mmrn2,0.9974473073159562,0.045497424810350205,3,Synergistic (both change together),-0.09534902397215812,-0.05401561265895203
CHRDL2,SERPINA6,-0.9974442536332143,0.0455246416344799,3,Antagonistic (opposite changes),-0.5723148487450705,0.9465458441859386
CXCL12,SEMA3G,0.9974353462938358,0.04560393822005833,3,Synergistic (both change together),0.2392840321723797,-0.7082004131811113
LOX,PRG4,-0.9974336744647536,0.045618806153181465,3,Antagonistic (opposite changes),-0.47817695865345505,0.9799352703394154
Car4,Col14a1,-0.9974314093807113,0.04563894231594839,3,Antagonistic (opposite changes),0.10265380175612777,-1.380914776625591
Apoc1,Slmap,-0.9974306587781883,0.045645613072257465,3,Antagonistic (opposite changes),-0.13334100329292395,0.1012952232019876
Col18a1,Orm1,-0.9974292844038586,0.045657824892942483,3,Antagonistic (opposite changes),0.029922558042406736,0.2007103816826802
FNDC1,S100A13,0.9974289339607538,0.04566093818697084,3,Synergistic (both change together),-0.4984443882195473,-0.06582165252415338
ANXA2,COL6A5,0.9974286194129884,0.0456637324107074,3,Synergistic (both change together),-0.3418287156933805,-0.49628358511244414
ANXA1,SMOC2,0.9974272125468786,0.045676227943014465,3,Synergistic (both change together),-0.2663976200226308,-0.019664111322500538
C1qc,Lamb1,0.9974269806694749,0.04567828710894954,3,Synergistic (both change together),-0.08157330872994208,-0.2467625713547156
CCL18,EFEMP2,0.9974232906781875,0.045711043274769006,3,Synergistic (both change together),-0.14343041251542296,0.054247319259626225
Anxa3,Bgn,0.9974095947731653,0.04583241789455189,3,Synergistic (both change together),-0.0243098275771141,0.13452350291489032
COL7A1,CPN2,-0.9974069339411178,0.0025930660588824317,4,Antagonistic (opposite changes),0.29905333829683717,-0.00987191018601645
Cdnf,Lipe,0.9974030171829186,0.002596982817081317,4,Synergistic (both change together),0.3806571223507656,-0.23308377747611564
Lum,P4ha1,0.9974005921960859,0.0459120252505435,3,Synergistic (both change together),0.06153885917721177,-0.138722833095119
Col6a2,Lman1,-0.9973887568018746,0.04601647326577081,3,Antagonistic (opposite changes),0.22373376865652284,-0.09428589716223201
Col4a2,Hspb6,0.9973886963636315,0.0026113036363688558,4,Synergistic (both change together),0.3053855742063106,0.2563492331972402
Ckm,Dpp4,-0.9973837635638532,0.046060467953078325,3,Antagonistic (opposite changes),-0.05280592926282587,-0.5007142914609696
ITIH2,LTBP1,0.9973802526678792,0.002619747332120781,4,Synergistic (both change together),0.3978216669730139,0.15708381746229552
Emilin2,Fn1,-0.997380064962003,0.046093028766349554,3,Antagonistic (opposite changes),-0.23098420476836598,-0.16337333358826145
LTBP4,SERPINB12,0.9973788843268566,0.04610341770923935,3,Synergistic (both change together),0.06413960526507285,-0.045254296250454774
Ctsb,Plxnb1,0.9973771205287426,0.04611893381492166,3,Synergistic (both change together),0.08234091377044078,0.01830350733316123
HSPG2,PODN,0.9973768813403409,0.046121037550489505,3,Synergistic (both change together),-0.0398553791256245,0.14723286543760902
ITIH6,S100A13,0.9973734653576521,0.0461510717229249,3,Synergistic (both change together),0.18192102139412494,-0.06582165252415338
ANXA2;ANXA2P2,CST3,0.9973695088659207,0.046185833817580735,3,Synergistic (both change together),-0.25347078178707405,0.06356848871859629
EFEMP1,SFRP1,0.9973626306603087,0.046246204265988924,3,Synergistic (both change together),0.4608303727404932,0.2804180376536905
Anxa3,Anxa4,0.9973619550091679,0.04625213025613745,3,Synergistic (both change together),-0.0243098275771141,0.055783771856022235
Fbn2,Hmcn2,0.9973617245618812,0.04625415128615564,3,Synergistic (both change together),-1.5434421564683005,-0.09835469967540429
AMBP,MATN3,-0.9973594284758974,0.04627428322052674,3,Antagonistic (opposite changes),1.1797140424187005,-1.000424115967756
FMOD,THBS2,0.9973547529130062,0.0026452470869937628,4,Synergistic (both change together),-0.10685891395237783,-0.029164118660176055
Col4a2,Cspg4,-0.997353355182512,0.0026466448174879975,4,Antagonistic (opposite changes),0.12189942526353059,-0.16960393533131374
SEMA3A,SERPINA6,0.9973513340996486,0.00264866590035151,4,Synergistic (both change together),0.4940292922118666,0.6823707123638963
Amy1,Kars,-0.9973504062689695,0.04635330482094584,3,Antagonistic (opposite changes),0.9653435213889985,-0.016385084215699276
Alb,Amy1,-0.9973500031929537,0.04635683205120172,3,Antagonistic (opposite changes),0.16771654819429457,0.9653435213889985
Pon1,Prkaca,-0.9973495710520086,0.046360613324754385,3,Antagonistic (opposite changes),0.014787324684155936,0.018181536241860825
Cd81,Ddt,-0.9973495076034081,0.04636116848000502,3,Antagonistic (opposite changes),-0.09434831414397722,0.07593716072003613
COL6A2,FLG2,0.997347147126129,0.04638181719831594,3,Synergistic (both change together),0.21659827411948487,-0.1942204019735374
COL10A1,ITIH4,-0.9973419621867272,0.046427141245320575,3,Antagonistic (opposite changes),0.32325406295007125,-0.1029904248014411
Crlf3,Fgf1,0.9973413538937616,0.04643245573190606,3,Synergistic (both change together),0.0002779362239905316,-0.15508984841158296
ARG1,LAMA5,0.9973361204068436,0.04647815419244403,3,Synergistic (both change together),-0.2832014495466593,-0.09697537811515533
Amy1,Serpinf2,-0.997334096096663,0.04649581830958117,3,Antagonistic (opposite changes),0.9653435213889985,0.3212631622948897
Calu,Hsd17b12,0.997332395024347,0.046510656677204346,3,Synergistic (both change together),-0.009705647546068627,-0.2501854416605138
Igfbp5,Sema3c,-0.9973305452374795,0.046526786912950854,3,Antagonistic (opposite changes),0.3077467085708498,0.5983137241437463
Anxa3,Cstb,0.9973292250378318,0.04653829570827555,3,Synergistic (both change together),-0.0243098275771141,-0.05858587921438336
COL6A5,S100A11,0.9973266445648385,0.04656078269380573,3,Synergistic (both change together),-0.49628358511244414,-0.1579153735999781
Epdr1,Ttr,-0.9973235256640293,0.0026764743359708465,4,Antagonistic (opposite changes),-0.03690061450069926,0.20729551385514908
Col6a2,S100a13,-0.9973226370669604,0.046595683710299644,3,Antagonistic (opposite changes),0.22373376865652284,-0.04501900717583648
FGG,LGALS8,-0.9973206318109588,0.0026793681890409093,4,Antagonistic (opposite changes),0.08572826185948715,-0.12470678916026129
Agrn,Creld1,0.9973202960232906,0.04661605962556907,3,Synergistic (both change together),-0.05095956186178754,-0.09534902397215812
CTSB,EMILIN3,0.997317260627784,0.0001667349870396111,5,Synergistic (both change together),0.308974964263796,-0.7878585169964121
Cfd,Psap,-0.9973151630826298,0.046660704494814915,3,Antagonistic (opposite changes),-0.37757207274141363,0.306295889387133
CLEC3B,CSTB,-0.9973138719884387,0.04667192735786967,3,Antagonistic (opposite changes),0.1742064459578582,0.7191768568061114
Hsd17b12,Pon2,-0.9973133509683644,0.046676455572855526,3,Antagonistic (opposite changes),-0.2501854416605138,-0.07961975271916313
Amy1,Fam213a,-0.997307008903887,0.04673153970091253,3,Antagonistic (opposite changes),0.9653435213889985,0.6122313074830849
COL7A1,SDC1,-0.9973010080498683,0.046783600628772216,3,Antagonistic (opposite changes),0.15542474683650007,-0.04609563915509366
Ccs,Hdgf,0.9973009170757599,0.04678438943752565,3,Synergistic (both change together),0.043491044013427134,0.03036083538836967
LGALS3,PLXNB2,0.9972982663313841,0.04680736740769042,3,Synergistic (both change together),0.025159477676557202,0.021866658105160863
Lgals1,Nenf,0.9972936059918645,0.0027063940081355486,4,Synergistic (both change together),0.21864454847574505,0.060090179704844704
Ppia,Sri,0.997291313553961,0.0027086864460388327,4,Synergistic (both change together),0.09816358718028863,-0.06816922747632993
CHADL,FBLN2,0.997289111016614,0.046886643770438746,3,Synergistic (both change together),-0.130614334346791,-0.3633688530590906
C3,Gc,0.9972868747296136,0.002713125270386474,4,Synergistic (both change together),-0.32184217969782214,0.1364379744770201
Aldoa,Orm1,0.9972868687721065,0.002713131227893406,4,Synergistic (both change together),0.05394101449516653,0.17243384044013263
FBN2,TNXB,-0.9972798491481802,0.04696670687532325,3,Antagonistic (opposite changes),-0.000535848461266468,-0.31270398672817695
CTSC,LAMA3,-0.997279009797887,0.04697395580625681,3,Antagonistic (opposite changes),-1.2317809895662224e-05,-0.12026853615239452
CTSZ,LOX,0.9972723992074339,0.04703100826150863,3,Synergistic (both change together),0.20023153726314877,-0.4182257214281586
Anxa2,Cspg4,0.9972716956045857,0.0027283043954144937,4,Synergistic (both change together),-0.09185113350328356,-0.16960393533131374
Gpx7,Lipe,0.9972671144569062,0.04707656846310517,3,Synergistic (both change together),-0.042931573186577365,-0.15534090834950412
Cnp,Pltp,-0.9972670672558395,0.04707697518848346,3,Antagonistic (opposite changes),-0.26188744936838615,0.1040030880932255
Gstm2,Pon1,0.9972639887440433,0.04710349474875416,3,Synergistic (both change together),0.619715567090219,0.014787324684155936
HCFC1,PLOD3,0.9972634793842111,0.047107881145970365,3,Synergistic (both change together),-0.21987042082153543,-0.15883915898019094
PRSS3P2;PRSS2;PRSS1,VIT,0.9972633836771507,0.04710870529028143,3,Synergistic (both change together),0.12817201290643396,-1.26857879844024
ACAN,COL9A1,-0.9972603337472642,0.04713496104849228,3,Antagonistic (opposite changes),0.008207230057292266,-0.8655147365797496
B2m,Pdia3,0.9972600987864704,0.0027399012135296275,4,Synergistic (both change together),-0.1375941108934341,-0.19893932097564426
COL8A1,FRZB,0.9972592490162078,0.04714429559246835,3,Synergistic (both change together),-0.4803396671336218,-0.5243683442964379
Apoc1,Col6a2,-0.9972513749607427,0.04721199976258312,3,Antagonistic (opposite changes),-0.13334100329292395,-0.0543598242854472
ANGPTL2,EPYC,-0.9972491405507699,0.04723119443731964,3,Antagonistic (opposite changes),0.45355125696795806,0.8760482804297104
Col1a1,Sema7a,-0.9972487121120979,0.04723487404552959,3,Antagonistic (opposite changes),0.1160771529264354,-0.08754848153027296
C1qa,Lamb1,0.9972432345567555,0.04728189236507199,3,Synergistic (both change together),-0.045138229914773544,-0.33801673757315714
Aga,Fetub,-0.9972431222961546,0.04728285550121932,3,Antagonistic (opposite changes),-0.14854123313318296,0.318315796972008
Ehd2,Gpc1,0.9972426558002667,0.0027573441997332804,4,Synergistic (both change together),-0.1170719221449495,0.10624425699171305
Aebp1,Hspa5,-0.9972374005976851,0.04733191871832975,3,Antagonistic (opposite changes),0.11216602353347993,0.16184405137103353
C1QA,SERPINF2,0.9972364702532691,0.04733989156786156,3,Synergistic (both change together),-0.1174171882929,0.31298677031886335
Amy1,Col6a6,0.9972354858198407,0.04734832648930255,3,Synergistic (both change together),0.9653435213889985,-0.21453581814400535
EMILIN1,PRG4,-0.9972253563217657,0.047435032113907726,3,Antagonistic (opposite changes),-0.09352790323348735,0.9799352703394154
Cpn2,F2,0.997222442978218,0.04745994022997972,3,Synergistic (both change together),0.057874444410764704,0.09679468018635361
DSP,ELN,-0.9972181213471645,0.04749686471971424,3,Antagonistic (opposite changes),-0.2516826243692222,0.7236118540827002
Dag1,Ppt1,0.9972165039567515,0.002783496043248457,4,Synergistic (both change together),0.002968639191082416,0.7948489901554838
Col18a1,Gstm1,-0.9972161310730133,0.04751386020760643,3,Antagonistic (opposite changes),0.029922558042406736,0.2696740148073136
LOXL3,NID2,-0.9972142780164334,0.04752967850464293,3,Antagonistic (opposite changes),-0.16475832088285222,-0.3085755459128593
Dlg1,Selenop,-0.9972127129247866,0.04754303454670311,3,Antagonistic (opposite changes),-0.1974152220121491,0.025255838577884063
Itih3,Plaa,0.9972069046498873,0.0027930953501125177,4,Synergistic (both change together),0.6320010352031498,-0.049941224667078
Ecm1,Pcyox1,-0.9972043762342396,0.047614114456657815,3,Antagonistic (opposite changes),-0.0304320740823435,-0.056526681409984826
ADAM10,LTBP1,-0.9972036122912854,0.04762062265548006,3,Antagonistic (opposite changes),-0.1941579721970166,0.013321217339647501
Ccs,Trf,-0.9971979991891842,0.04766841471363819,3,Antagonistic (opposite changes),0.043491044013427134,0.11820786758422457
C8a,F13a1,0.9971951918875291,0.04769229920128936,3,Synergistic (both change together),-0.37760879342532744,-0.29488092263279875
Aspn,Npc2,-0.9971940384169625,0.04770210945469473,3,Antagonistic (opposite changes),0.7107644047689322,0.08044381425414254
ANXA1,PLOD3,-0.9971844848506178,0.047783285143315986,3,Antagonistic (opposite changes),0.0412032329666435,-0.15883915898019094
FBLN1,SEMA3G,-0.9971741122971428,0.047871264119110475,3,Antagonistic (opposite changes),-0.0793752183002635,-0.7082004131811113
Gpc4,Pon1,0.997170120875894,0.047905075991222956,3,Synergistic (both change together),0.04377264909569897,0.014787324684155936
Clic1,Lipe,0.9971699483807187,0.002830051619281182,4,Synergistic (both change together),-0.4228125934615976,-0.23308377747611564
CLEC3A,ITIH4,-0.997168282871159,0.04792063797200863,3,Antagonistic (opposite changes),-0.7942434790763403,2.0931429441747924
Cstb,Vwf,-0.9971666031232861,0.047934855616788896,3,Antagonistic (opposite changes),-0.05858587921438336,-0.06112134285317907
Col18a1,Plaa,0.9971665998469408,0.0479348833441684,3,Synergistic (both change together),0.029922558042406736,-0.020214948655919465
C1qtnf9,Gpx3,0.9971533715457456,0.04804670290962534,3,Synergistic (both change together),-0.06337448879572312,0.29983479539662167
EDIL3,LEPRE1,0.9971519714371078,0.048058522908634084,3,Synergistic (both change together),-0.050960107988062164,-0.3156782553182649
FBN1,TGM1,0.997149859311622,0.048076348409060436,3,Synergistic (both change together),-0.07638593327147136,-0.013790919120151263
C1qtnf9,Orm1,-0.997146658750815,0.048103347306696964,3,Antagonistic (opposite changes),-0.06337448879572312,0.1737548940121271
Igfbp7,M6pr,0.9971443944127756,0.04812243939948972,3,Synergistic (both change together),-0.06548642909616233,-0.06561966040390814
Aldoa,Cd81,0.9971443845747476,0.048122522333746504,3,Synergistic (both change together),0.049692439654175136,-0.09434831414397722
Hspb6,Pon2,-0.997142512319774,0.04813830278647468,3,Antagonistic (opposite changes),0.2866856984617802,-0.07961975271916313
PAMR1,PDGFC,0.9971414473710384,0.04814727648991994,3,Synergistic (both change together),-0.046667785527908096,0.20294891524298872
PXDN,SPON2,-0.9971391352733918,0.0481667534475796,3,Antagonistic (opposite changes),0.3132646489742646,0.14520812386599793
ANGPTL2,TIMP1,0.9971357376363397,0.04819536066269951,3,Synergistic (both change together),0.45355125696795806,0.3423992856016427
Itih2,Serpina3k,-0.9971354368340036,0.002864563165996481,4,Antagonistic (opposite changes),0.10524321499815598,0.1496121198858074
S100a11,Spon1,0.9971341770238029,0.04820849493343992,3,Synergistic (both change together),-0.046978675579704636,-0.10154879009648456
MATN3,TNXB,0.9971330498661272,0.04821797898395206,3,Synergistic (both change together),-1.000424115967756,-1.1393364505814818
CXCL12,HTRA3,-0.9971317812876089,0.048228650741300706,3,Antagonistic (opposite changes),-0.15744204062858472,0.4403139319156351
Ctsd,Pla2g7,0.9971252471007868,0.04828358147470285,3,Synergistic (both change together),0.43998657745494635,0.4151469795374391
CXCL12,LGALS8,-0.9971249704003141,0.0028750295996857744,4,Antagonistic (opposite changes),0.7013122057114574,-0.12470678916026129
MFGE8,SDC2,0.9971139778911323,0.0483781717069454,3,Synergistic (both change together),-0.0350320966400039,0.04316562935771825
Cpn2,Vtn,-0.9971130503420125,0.04838594904448263,3,Antagonistic (opposite changes),0.057874444410764704,0.27861795276556706
INHBA,SFRP4,0.9971121027295414,0.048393893321474236,3,Synergistic (both change together),0.30496775933932657,0.15200410944741996
Anxa1,Gpx7,0.9971075538822856,0.04843201032167827,3,Synergistic (both change together),-0.24316103474528414,-0.042931573186577365
CHRDL2,FBLN1,0.9971038541841294,0.0484629898244191,3,Synergistic (both change together),-0.5723148487450705,0.29492152936495186
FREM1,LUM,-0.9971031454296906,0.0484689223394659,3,Antagonistic (opposite changes),-0.7657477475944328,-0.44181652470358007
Hspa8,Pla2g7,0.9971028775587328,0.04847116432152888,3,Synergistic (both change together),-0.09585838905089074,0.4151469795374391
C7,TGM3,0.9971005701332386,0.04849047234611965,3,Synergistic (both change together),0.35012842812905526,-0.8370419984429578
SCUBE1,SPP1,0.9970960386264196,0.0485283686754,3,Synergistic (both change together),-0.6981558880442552,-0.45150912804633364
Ago2,Pla2g7,0.9970939859165876,0.04854552547101584,3,Synergistic (both change together),0.03250061784517424,0.4151469795374391
MPI,TIMP3,0.9970918624716574,0.048563267113267986,3,Synergistic (both change together),-0.0294132405597255,0.9142231302124179
COL15A1,TNFAIP6,-0.9970900157780507,0.048578691206748834,3,Antagonistic (opposite changes),-0.5600462934765612,0.9239561415399553
SERPINB9,SERPINH1,-0.9970846046044459,0.04862385870049277,3,Antagonistic (opposite changes),-0.27875389792443844,-0.1725007674113709
EPYC,TIMP3,-0.9970819582436777,0.048645932842489324,3,Antagonistic (opposite changes),0.8760482804297104,0.8620131942224992
CILP,DPT,-0.9970807593557455,0.0029192406442548613,4,Antagonistic (opposite changes),0.6316081753940073,-0.14614889342967266
COL1A1,ITIH6,-0.9970799288745643,0.048662853689384,3,Antagonistic (opposite changes),0.08867595106472881,0.18192102139412494
P4HA2,SCUBE1,0.9970780323826401,0.04867866130210656,3,Synergistic (both change together),-0.027079623177328333,-0.6981558880442552
Ehd2,Fbn1,-0.9970688644990161,0.0029311355009837836,4,Antagonistic (opposite changes),-0.1170719221449495,-0.18089486080999262
Dpp4,Naxe,-0.9970687346261221,0.04875608581986939,3,Antagonistic (opposite changes),-0.5007142914609696,0.25717302396151615
C1qc,Lama2,-0.9970687036796001,0.04875634331365383,3,Antagonistic (opposite changes),-0.08157330872994208,0.09721336567410997
COL11A1,IL17B,0.9970682795157024,0.04875987247710582,3,Synergistic (both change together),-0.4715066586373536,-1.4218260127551459
Creld2,Ctsf,-0.9970627424016939,0.04880591946590043,3,Antagonistic (opposite changes),-0.06926867178344308,0.2470920518190534
Gstm1,Pla2g7,0.9970558163965737,0.04886345559580689,3,Synergistic (both change together),0.21574212506679014,0.4151469795374391
INHBE,MFAP5,-0.997054047553751,0.04887813899820888,3,Antagonistic (opposite changes),-0.17121340670297258,-0.5233027470918122
FNDC1,NRP1,0.9970528681616021,0.048887926845474716,3,Synergistic (both change together),-0.4984443882195473,0.2814926155965091
M6pr,Tinagl1,0.9970525533821951,0.048890538888307085,3,Synergistic (both change together),-0.06561966040390814,0.09749214811134456
Anxa7,Sema7a,0.997052108665853,0.048894228911824995,3,Synergistic (both change together),-0.0750006543069258,-0.08754848153027296
Aga,Fabp3,0.9970478430764723,0.048929608432700264,3,Synergistic (both change together),-0.14854123313318296,0.11846149394711425
Anxa2,C1qa,0.9970443498657252,0.048958562710105596,3,Synergistic (both change together),-0.1075252712123998,-0.045138229914773544
Car4,Vldlr,0.9970382261969736,0.0490092789450628,3,Synergistic (both change together),0.10265380175612777,-0.03646139585897323
Apoc1,Tgfbi,-0.9970323609053194,0.049057806238470315,3,Antagonistic (opposite changes),-0.13334100329292395,0.15763661482185146
Man2b1,Serpine2,0.9970295668049258,0.049080906771432294,3,Synergistic (both change together),-0.1066175653431942,0.3208774640706121
FRZB,TIMP1,0.997018869224335,0.04916925007676033,3,Synergistic (both change together),-0.5243683442964379,0.3423992856016427
Fetub,Tnc,-0.9970182189707602,0.0029817810292396274,4,Antagonistic (opposite changes),0.25905854719212806,-0.35475535406550646
HAPLN1,SEMA3D,0.9970161137502274,0.049191979828312714,3,Synergistic (both change together),-0.13762619799639053,0.0835970652270851
Dnajc9,Fbln1,-0.9970153256567873,0.049198478839560286,3,Antagonistic (opposite changes),0.010159996819656666,0.003712888669571405
SEMA3A,SERPIND1,0.997014945695286,0.0492016118853518,3,Synergistic (both change together),0.2891782400789098,1.1361524611592124
ABI3BP,GDF5,-0.9970126475450855,0.04922055748329287,3,Antagonistic (opposite changes),-0.23387494297344516,0.1518947261098848
CLEC11A,FGFBP2,0.9970081836805208,0.04925733611680735,3,Synergistic (both change together),0.2272398453138574,-0.1680870853236082
C1qc,S100a9,-0.9970072481763634,0.049265040441267,3,Antagonistic (opposite changes),-0.08157330872994208,0.11459801621890965
Gc,Itih5,-0.9970049009427766,0.04928436574191129,3,Antagonistic (opposite changes),0.20105360806501696,-0.029164416223452023
Itih3,Spon1,-0.9970043586602904,0.049288829399926834,3,Antagonistic (opposite changes),0.17146940025884042,-0.10154879009648456
CTSZ,S100B,0.9969980279899542,0.04934090886147588,3,Synergistic (both change together),0.20023153726314877,0.04538053732019429
COL10A1,COL1A1,0.9969945540810279,0.04936946378591142,3,Synergistic (both change together),0.32325406295007125,0.06443411039201517
Man2b1,Nid2,0.9969909290826942,0.049399243075705646,3,Synergistic (both change together),-0.1066175653431942,-0.26432469418818005
Gfer,Lgals3bp,-0.9969902688873058,0.049404664639455136,3,Antagonistic (opposite changes),0.3735807222721239,0.025330371294764602
C1qa,Lgals1,-0.9969815338079386,0.049476341811345526,3,Antagonistic (opposite changes),-0.045138229914773544,0.16604579532131353
Ctsd,Matn2,-0.9969810768800775,0.0030189231199222455,4,Antagonistic (opposite changes),0.35711881767431264,-0.20391200332725978
Cnp,Smoc2,-0.9969799725823633,0.04948914179857796,3,Antagonistic (opposite changes),0.07427329033163131,1.4258204970986965
Arhgdia,Pltp,-0.9969751939281223,0.04952829993336634,3,Antagonistic (opposite changes),-0.0024729710715980006,0.1040030880932255
Anxa11,Anxa3,0.9969749732349933,0.049530107631552744,3,Synergistic (both change together),-0.1054649989630574,-0.0243098275771141
Hsd17b11,Pltp,-0.9969743855242603,0.04953492125110583,3,Antagonistic (opposite changes),-0.05326667745009874,0.1040030880932255
CILP2,FGFBP2,0.996962169262405,0.04963487253159075,3,Synergistic (both change together),0.0632938628081539,-0.1680870853236082
C8a,Dhrs7c,-0.9969580428910918,0.04966858841508328,3,Antagonistic (opposite changes),-0.37760879342532744,-0.371830234674865
ABI3BP,MMP3,0.9969568773445685,0.049678107762818786,3,Synergistic (both change together),-0.23387494297344516,0.2791378212647263
Anpep,Hsd17b11,-0.9969544364932531,0.0030455635067470066,4,Antagonistic (opposite changes),-0.10398260952994878,-0.005653483558608228
Cst3,Lamc1,0.9969530438135614,0.04970940446161632,3,Synergistic (both change together),-0.08783468634074597,0.013115897512989166
LAMA3,SERPINA4,0.9969522051283007,0.049716248812495936,3,Synergistic (both change together),-0.30427703125248445,-0.026899115505174303
CTSC,ITIH5,-0.9969503113626803,0.003049688637319692,4,Antagonistic (opposite changes),-0.0013548985162491216,-0.21390059536675232
Agt,Lama2,-0.9969502665083008,0.04973206592379613,3,Antagonistic (opposite changes),0.05938670335507807,0.0005602462535019027
ITIH5,MATN3,0.9969499184170644,0.049734905452548654,3,Synergistic (both change together),-0.344887204992407,-1.000424115967756
Il16,Lamb2,-0.9969488961704636,0.0497432434192193,3,Antagonistic (opposite changes),-0.2432674387134417,0.1322359468582698
Anxa2,Vwf,-0.9969484516047603,0.0030515483952395783,4,Antagonistic (opposite changes),-0.09185113350328356,0.06624495371875155
