Gene1,Gene2,Confidence
PRELP,HSPG2,0.839
ECM2,OMD,0.703
FBLN5,MFAP5,0.796
FBLN5,MFAP4,0.842
FBLN5,LOXL2,0.859
FBLN5,FN1,0.865
FBLN5,ELN,0.999
APOD,APOA4,0.864
APOD,APOA2,0.993
CTSL,PSAP,0.72
CTSL,CST3,0.802
CTSL,CTSS,0.91
CTSL,CTSB,0.974
HMGB1,HSPA8,0.724
HMGB1,HP,0.76
HMGB1,ELANE,0.869
HMGB1,SDC1,0.921
CTSB,LAMP2,0.726
CTSB,S100A10,0.753
CTSB,MMP9,0.897
CTSB,CTSS,0.958
CTSB,ANXA2,0.978
CTSB,CST3,0.982
ANXA2,CLIC1,0.713
ANXA2,FN1,0.723
ANXA2,ANXA6,0.91
ANXA2,S100A6,0.952
ANXA2,ANXA1,0.989
ANXA2,S100A10,0.999
ANXA6,ANXA1,0.834
FN1,ELANE,0.705
FN1,SERPINH1,0.74
FN1,PECAM1,0.748
FN1,COL4A2,0.75
FN1,COL6A1,0.78
FN1,ANXA1,0.793
FN1,GSN,0.809
FN1,LOXL2,0.819
FN1,KNG1,0.819
FN1,COL5A2,0.83
FN1,COL18A1,0.838
FN1,COL5A1,0.84
FN1,COL4A1,0.849
FN1,MMP9,0.85
FN1,THBS2,0.854
FN1,FBN2,0.876
FN1,ITGA6,0.928
FN1,FGA,0.932
FN1,IGFBP3,0.967
FN1,DPP4,0.983
FN1,POSTN,0.996
FN1,SPP1,0.996
FN1,HSPG2,0.996
FN1,ELN,0.998
FN1,SDC1,0.999
FN1,ITGB1,0.999
HP,CFH,0.727
HP,APOA2,0.738
HP,MMP9,0.791
HP,SERPINA3,0.873
HP,GPT,0.918
HP,CD163,0.999
COL9A1,COL11A1,0.752
COL9A1,COL6A1,0.828
COL9A1,MATN3,0.891
COL9A1,COL9A2,0.988
APOA4,DBI,0.72
APOA4,LPL,0.781
APOA4,HDLBP,0.846
APOA4,APOA2,0.994
ITIH2,ITIH3,0.787
ITIH2,FGA,0.811
ELN,POSTN,0.721
ELN,HSPG2,0.81
ELN,ELANE,0.873
ELN,EMILIN1,0.876
ELN,MFAP5,0.882
ELN,LOXL2,0.934
ELN,FBN2,0.967
ELN,MMP9,0.979
ELN,MFAP4,0.99
CD163,PECAM1,0.708
MFAP5,MFAP4,0.713
MFAP5,FBN2,0.948
COL18A1,COL5A2,0.718
COL18A1,COL4A2,0.733
COL18A1,COL4A1,0.774
COL18A1,COL6A1,0.848
COL18A1,GPC4,0.851
COL18A1,ITGB1,0.863
COL18A1,HSPG2,0.894
COL18A1,COL15A1,0.904
COL18A1,MMP9,0.92
COL4A2,COL11A1,0.715
COL4A2,SDC1,0.721
COL4A2,ITGA6,0.769
COL4A2,ITGB1,0.776
COL4A2,COL15A1,0.777
COL4A2,COL6A1,0.81
COL4A2,COL4A3,0.82
COL4A2,COL5A1,0.872
COL4A2,SERPINH1,0.88
COL4A2,COL5A2,0.909
COL4A2,COL4A1,0.999
DPP4,DPP7,0.871
DPP4,ITGB1,0.967
C8A,FGA,0.753
COL6A1,TNXB,0.725
COL6A1,THBS2,0.756
COL6A1,COL11A1,0.759
COL6A1,COL15A1,0.76
COL6A1,LAMA2,0.762
COL6A1,ITGA6,0.771
COL6A1,ITGB1,0.776
COL6A1,COL4A1,0.832
COL6A1,SERPINH1,0.837
COL6A1,COL5A1,0.879
COL6A1,COL5A2,0.904
EGLN1,HSP90AB1,0.833
THBS2,COL4A1,0.715
THBS2,ITGA6,0.717
THBS2,COL9A2,0.721
THBS2,SPP1,0.726
THBS2,COL5A1,0.742
THBS2,ASPN,0.742
THBS2,COL5A2,0.824
THBS2,POSTN,0.828
THBS2,COL11A1,0.898
THBS2,SDC1,0.921
THBS2,ITGB1,0.928
THBS2,MMP9,0.968
F13B,F10,0.704
F13B,SERPINC1,0.81
F13B,FGA,0.96
CFH,SPP1,0.703
CFH,HTRA1,0.781
CFH,EFEMP1,0.786
CFH,CFI,0.999
SERPINC1,ELANE,0.753
SERPINC1,KNG1,0.758
SERPINC1,APOA2,0.783
SERPINC1,SDC1,0.792
SERPINC1,FGA,0.98
SERPINC1,F10,0.998
APOA2,DBI,0.752
APOA2,NAXE,0.783
APOA2,LPL,0.818
APOA2,HDLBP,0.866
APOA2,FGA,0.893
THBS3,ITGA6,0.82
THBS3,SDC1,0.908
THBS3,ITGB1,0.915
S100A16,S100A10,0.711
S100A16,S100A6,0.724
S100A6,S100A13,0.755
S100A6,ANXA1,0.877
S100A6,S100A10,0.972
S100A6,ANXA11,0.985
FLG,DSP,0.727
FLG,TGM3,0.757
S100A10,S100A13,0.712
S100A10,ANXA4,0.802
S100A10,ANXA1,0.977
CTSS,PSAP,0.721
CTSS,HSPG2,0.833
CTSS,MMP9,0.874
CTSS,ELANE,0.878
CTSS,CST3,0.951
GSTO1,GPX3,0.818
COL11A1,COL4A1,0.742
COL11A1,ASPN,0.814
COL11A1,COL5A1,0.877
COL11A1,COL11A2,0.952
COL11A1,COL5A2,0.976
GPC4,COL15A1,0.816
HSP90AB1,PRXL2A,0.721
HSP90AB1,PPIA,0.747
HSP90AB1,LAMP2,0.829
HSP90AB1,DNAJB11,0.892
HSP90AB1,HSPH1,0.916
HSP90AB1,HSPA8,0.999
COL5A1,COL4A3,0.722
COL5A1,POSTN,0.78
COL5A1,TNXB,0.781
COL5A1,COL15A1,0.793
COL5A1,SERPINH1,0.804
COL5A1,COL11A2,0.891
COL5A1,COL4A1,0.915
COL5A1,COL5A2,0.996
MMP9,PECAM1,0.743
MMP9,COL4A1,0.753
MMP9,SPP1,0.947
MMP9,SDC1,0.968
MMP9,ELANE,0.973
COL9A2,MATN3,0.921
CAP1,CFL1,0.978
ANXA7,ANXA11,0.92
PGK1,PPIA,0.753
PGK1,HSPA8,0.755
GSN,CST3,0.715
GSN,CFL1,0.867
HSPG2,ITGB1,0.947
HSPG2,SDC1,0.966
COL11A2,COL5A2,0.904
ALPL,SPP1,0.721
ALPL,PHOSPHO1,0.836
COL5A2,COL4A3,0.706
COL5A2,TNXB,0.751
COL5A2,COL15A1,0.766
COL5A2,POSTN,0.792
COL5A2,SERPINH1,0.866
COL5A2,COL4A1,0.914
COL15A1,COL4A1,0.74
COL15A1,SERPINH1,0.766
COL15A1,COL4A3,0.935
ASPN,POSTN,0.83
ASPN,OMD,0.835
ASPN,OGN,0.916
ASPN,MATN3,0.94
OMD,OGN,0.946
F10,KNG1,0.717
F10,FGA,0.752
COL4A1,SDC1,0.721
COL4A1,COL4A3,0.736
COL4A1,ITGA6,0.785
COL4A1,SERPINH1,0.818
COL4A1,ITGB1,0.867
XDH,GPX3,0.881
POSTN,SPP1,0.704
SDC1,PECAM1,0.718
SDC1,PDCD6IP,0.881
SDC1,TNXB,0.904
ASAH1,PSAP,0.928
VLDLR,LRPAP1,0.846
VLDLR,LPL,0.911
GPX3,GPT,0.795
HDLBP,LPL,0.92
TFRC,ITGB1,0.838
TFRC,HSPA8,0.969
TFRC,B2M,0.998
EFEMP1,MFAP4,0.784
GPT,ADIPOQ,0.728
SPP1,CST3,0.727
SPP1,ITGA6,0.756
SPP1,ITGB1,0.996
ITGB1,COL4A3,0.732
ITGB1,LGALS8,0.767
ITGB1,LAMA2,0.771
ITGB1,PECAM1,0.828
ITGB1,FREM1,0.903
ITGB1,TNXB,0.911
ITGB1,ITGA6,0.999
COL4A3,ITGA6,0.727
CST3,B2M,0.95
CRELD2,DNAJB11,0.756
ITGA6,LAMA2,0.861
RPSA,HSPA8,0.835
RPSA,TPT1,0.925
ADIPOQ,LPL,0.794
ADIPOQ,CFD,0.988
LAMP2,HSPA8,0.949
DNAJB11,HSPA8,0.923
PPIA,HSPA8,0.777
PPIA,CFL1,0.88
SERPINH1,HSPA8,0.707
HSPA8,HSPH1,0.998
SERPINA3,ELANE,0.745
KNG1,FGA,0.908
