Protein_ID,Protein_Name,Gene_Symbol,Canonical_Gene_Symbol,Matrisome Category,Matrisome Division,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Match_Level,Match_Confidence
P50543,Protein S100-A11,S100a11,S100a11,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,32.4247575,32.4494675,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P50608,Fibromodulin,Fmod,Fmod,Proteoglycans,Core matrisome,Lung,Lung,Mus musculus,27.1843425,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P51655,Glypican-4;Secreted glypican-4,Gpc4,Gpc4,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,28.392780000000002,27.9496,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P51885,Lumican,Lum,Lum,Proteoglycans,Core matrisome,Lung,Lung,Mus musculus,33.652425,33.849714999999996,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P58022,Lysyl oxidase homolog 2,Loxl2,Loxl2,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,27.14789,26.519945,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P61148,Fibroblast growth factor 1;Fibroblast growth factor,Fgf1,Fgf1,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,26.7829725,26.74073,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P70206,Plexin-A1,Plxna1,Plxna1,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,26.47617,26.443435,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P70663,SPARC-like protein 1,Sparcl1,Sparcl1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.4631275,29.18246,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P86793,C-C motif chemokine 21c;C-C motif chemokine 21b;C-C motif chemokine 21a,Ccl21c;Ccl21b;Ccl21a,Ccl21c,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,25.254585000000002,25.105017500000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P97290,Plasma protease C1 inhibitor,Serping1,Serping1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,29.221862499999997,30.179319999999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P97298,Pigment epithelium-derived factor,Serpinf1,Serpinf1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,25.8126675,26.01169,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P97352,Protein S100-A13,S100a13,S100a13,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,31.1129775,30.80851,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P97384,Annexin A11;Annexin,Anxa11,Anxa11,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,31.507375,31.68193,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P97429,Annexin A4;Annexin,Anxa4,Anxa4,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,33.128325000000004,33.1184725,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P97816,Protein S100-G;Protein S100,S100g,S100g,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,29.368692499999998,28.84117,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P97821,Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain,Ctsc,Ctsc,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,27.69019,27.583440000000003,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P97873,Lysyl oxidase homolog 1,Loxl1,Loxl1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,29.07058,28.7077775,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P97927,Laminin subunit alpha-4,Lama4,Lama4,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,34.651239999999994,33.8816425,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q00780,Collagen alpha-1(VIII) chain;Vastatin,Col8a1,Col8a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,28.4385075,28.4509175,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q00897,Alpha-1-antitrypsin 1-4,Serpina1d,Serpina1d,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,31.625570000000003,32.295452499999996,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q00898,Alpha-1-antitrypsin 1-5,Serpina1e,Serpina1e,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,25.65832,31.207077500000004,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q01149,Collagen alpha-2(I) chain,Col1a2,Col1a2,Collagens,Core matrisome,Lung,Lung,Mus musculus,34.291669999999996,34.222245,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q02105,Complement C1q subcomponent subunit C,C1qc,C1qc,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,,25.402806666666667,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q02496,Mucin-1;Mucin-1 subunit alpha;Mucin-1 subunit beta,Muc1,Muc1,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,26.397192500000003,26.810055000000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q02788,Collagen alpha-2(VI) chain,Col6a2,Col6a2,Collagens,Core matrisome,Lung,Lung,Mus musculus,34.58929,34.7504325,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q03734,Serine protease inhibitor A3M,Serpina3m,Serpina3m,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.388137500000003,26.7867325,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q04857,Collagen alpha-1(VI) chain,Col6a1,Col6a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,35.224577499999995,35.236737500000004,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q05306,Collagen alpha-1(X) chain,Col10a1,Col10a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,26.177325,26.71103666666667,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q05895,Thrombospondin-3,Thbs3,Thbs3,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,26.391425,26.0106,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q059V7,Cathepsin G,Ctsg,Ctsg,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.528675,27.9929725,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q07076,Annexin A7;Annexin,Anxa7,Anxa7,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,31.002735,30.9917425,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q07079,Insulin-like growth factor-binding protein 5,Igfbp5,Igfbp5,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q07456,Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin,Ambp,Ambp,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,29.2519575,31.103397500000003,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q07968,Coagulation factor XIII B chain,F13b,F13b,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,,25.7408875,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q0VBA8,Urokinase-type plasminogen activator;Urokinase-type plasminogen activator long chain A;Urokinase-type plasminogen activator short chain A;Urokinase-type plasminogen activator chain B,Plau,Plau,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.182344999999998,25.9893025,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q0VEM1,Netrin-4,Ntn4,Ntn4,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.94005,28.6069275,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q149J9,Bone morphogenetic protein 3,Bmp3,Bmp3,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,26.3485625,26.716356666666666,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q2I0J8,von Willebrand factor;von Willebrand antigen 2,Vwf,Vwf,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,33.2813775,33.7664725,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3KQQ4,,Serpina1b,Serpina1b,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,30.7588525,31.707452500000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3TAF9,,Bgn,Bgn,Proteoglycans,Core matrisome,Lung,Lung,Mus musculus,26.8956025,27.42197,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3TJ69,,Serpinb9b,Serpinb9b,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.3333975,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3TNY9,Biglycan,Bgn,Bgn,Proteoglycans,Core matrisome,Lung,Lung,Mus musculus,34.316154999999995,34.52413,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3TR40,Thrombospondin-1,Thbs1,Thbs1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,30.521160000000002,31.334055,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3TVE3,,S100a16,S100a16,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,27.114175,26.6205725,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3TWH5,Transforming growth factor beta-2;Latency-associated peptide,Tgfb2,Tgfb2,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,24.661655000000003,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3TYW1,Chondroadherin,Chad,Chad,Proteoglycans,Core matrisome,Lung,Lung,Mus musculus,27.2346725,27.643955,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3U131,Insulin-like growth factor-binding protein 7,Igfbp7,Igfbp7,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,30.093695,29.1253275,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3U4U1,,Postn,Postn,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.1545225,28.9036975,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3U962,Collagen alpha-2(V) chain,Col5a2,Col5a2,Collagens,Core matrisome,Lung,Lung,Mus musculus,28.25586,27.890835,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3UBR4,Cathepsin S,Ctss,Ctss,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,27.615455,28.105604999999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3UE11,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",Plod1,Plod1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.95047,26.61258,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3UG07,72 kDa type IV collagenase;PEX,Mmp2,Mmp2,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.791644999999995,26.5359775,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3UGY5,,Fn1,Fn1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,26.386913333333336,26.338669999999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3UHN1,Slit homolog 3 protein,Slit3,Slit3,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,27.525025,27.349317499999998,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3UQ13,Tumor necrosis factor ligand superfamily member 10,Tnfsf10,Tnfsf10,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,25.512552499999998,25.74286,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3UQ28,Peroxidasin homolog,Pxdn,Pxdn,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,30.2828825,30.443444999999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3UQ52,Matrix metalloproteinase-9,Mmp9,Mmp9,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,30.949287499999997,31.560677500000004,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3UU65,,Lama3,Lama3,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,30.436265,30.744215,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3UY00,Protein S100;Protein S100-B,S100b,S100b,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,25.22032,25.212165,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3V1T9,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",Plg,Plg,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,30.055945,30.5771125,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3V3W7,Coagulation factor XIII A chain,F13a1,F13a1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,30.147872500000002,30.9668025,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q3ZB23,Protein Wnt;Protein Wnt-4,Wnt4,Wnt4,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,25.8542675,26.062510000000003,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q496P9,Bone morphogenetic protein 5,Bmp5,Bmp5,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,24.503163333333333,25.30822333333333,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q4LFA9,Semaphorin-3G,Sema3g,Sema3g,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,25.460569999999997,25.244079999999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q4VBE4,Pikachurin,Egflam,Egflam,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,26.084343333333333,25.80393,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q543R5,Glia-derived nexin,Serpine2,Serpine2,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,28.581935,29.397625,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q545D8,Bone marrow proteoglycan;Eosinophil granule major basic protein,Prg2,Prg2,Proteoglycans,Core matrisome,Lung,Lung,Mus musculus,28.285885,29.0372525,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q545I6,Cathepsin Z,Ctsz,Ctsz,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,28.4702075,28.4100075,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q54AE5,Metalloproteinase inhibitor 3,Timp3,Timp3,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,29.2431575,30.354049999999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q59IW6,,Abi3bp,Abi3bp,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,29.735445000000002,29.090642499999998,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q5F2A0,"Tumor necrosis factor ligand superfamily member 12;Tumor necrosis factor ligand superfamily member 12, membrane form;Tumor necrosis factor ligand superfamily member 12, secreted form",Tnfsf12,Tnfsf12,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,24.6974425,24.569702500000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q5FW85,Extracellular matrix protein 2,Ecm2,Ecm2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,25.025343333333335,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q5NCU4,SPARC,Sparc,Sparc,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.619205,28.409077500000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q5SUT2,EMI domain-containing protein 1,Emid1,Emid1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,29.815624999999997,29.923495000000003,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q60675,Laminin subunit alpha-2,Lama2,Lama2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,33.84989,32.70207,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q60715,Prolyl 4-hydroxylase subunit alpha-1,P4ha1,P4ha1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,27.8800175,27.563390000000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q60847,Collagen alpha-1(XII) chain,Col12a1,Col12a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,32.2630025,32.653150000000004,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q60854,Serpin B6,Serpinb6;Serpinb6a,Serpinb6a,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,32.6809875,32.8104575,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q61001,Laminin subunit alpha-5,Lama5,Lama5,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,36.9174175,37.268717499999994,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q61087,Laminin subunit beta-3,Lamb3,Lamb3,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,36.1006075,35.87883000000001,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q61191,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,Hcfc1,Hcfc1,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,30.617405,30.731472500000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q61247,Alpha-2-antiplasmin,Serpinf2,Serpinf2,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,28.244825000000002,29.088434999999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q61292,Laminin subunit beta-2,Lamb2,Lamb2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,37.065235,37.3316375,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q61398,Procollagen C-endopeptidase enhancer 1,Pcolce,Pcolce,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,27.261345000000002,26.878085,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q61508,Extracellular matrix protein 1,Ecm1,Ecm1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,29.7014,29.638495,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q61554,Fibrillin-1,Fbn1,Fbn1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,33.324405,33.064825,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q61703,Inter-alpha-trypsin inhibitor heavy chain H2,Itih2,Itih2,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,28.4917175,28.704765000000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q61789,Laminin subunit alpha-3,Lama3,Lama3,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,36.882385,36.69263,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q61838,Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit,A2m,A2m,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,32.232085,33.12235,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q62000,Mimecan,Ogn,Ogn,Proteoglycans,Core matrisome,Lung,Lung,Mus musculus,33.1250725,33.1685875,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q62009,Periostin,Postn,Postn,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,36.0441425,35.995225,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q62059,Versican core protein,Vcan,Vcan,Proteoglycans,Core matrisome,Lung,Lung,Mus musculus,27.1885475,27.500882500000003,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q62181,Semaphorin-3C,Sema3c,Sema3c,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,29.2250175,29.8687625,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q62356,Follistatin-related protein 1,Fstl1,Fstl1,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,25.446882499999997,25.4255475,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q62426,Cystatin-B,Cstb,Cstb,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,30.237567500000004,30.1802825,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q63870,Collagen alpha-1(VII) chain,Col7a1,Col7a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,29.144135000000002,29.55401,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q63ZW6,,Col4a5,Col4a5,Collagens,Core matrisome,Lung,Lung,Mus musculus,31.1652775,31.870260000000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q640N1,Adipocyte enhancer-binding protein 1,Aebp1,Aebp1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,26.5598225,26.7742,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q66K08,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,Cilp,Cilp,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,25.735693333333334,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q684R7,FRAS1-related extracellular matrix protein 1,Frem1,Frem1,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,29.6764925,25.72964,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q6NVD0,FRAS1-related extracellular matrix protein 2,Frem2,Frem2,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,29.479625,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q6NZE9,Protein Wnt;Protein Wnt-9a,Wnt9a,Wnt9a,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,,26.644675,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q6P8P8,Pulmonary surfactant-associated protein C,Sftpc,Sftpc,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,30.22795,30.037787499999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q6P8R3,C-X-C motif chemokine;Platelet factor 4,Pf4,Pf4,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,31.3376625,31.99586,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q6S9I0,,Kng2,Kng2,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.176137500000003,26.86894,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
Q6ZQD8,Semaphorin-3E,Sema3e,Sema3e,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,28.24901,28.5341875,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
