Protein,Mean_Zscore_Delta,Std_Zscore_Delta,Consistency,N_Studies,N_Tissues,Temporal_Pattern,Matrisome_Division,Matrisome_Category
Apoo,0.10080670176962302,0.29843286103269434,-0.4861698260204168,4,4,Stable,Non-ECM,Non-ECM
S100B,0.09911267055447555,0.16122555748171805,0.19027976957594928,2,2,Stable,Matrisome-associated,Secreted Factors
Ppia,0.09816358718028863,0.2554934623511405,-0.28930580025629693,4,4,Stable,Non-ECM,Non-ECM
Aqp1,0.09622933993731106,0.17576527529849686,0.10428646728033542,4,4,Stable,Non-ECM,Non-ECM
C1QTNF5,0.0958173793117354,0.18961869467570402,0.03165543660025838,3,3,Stable,Matrisome-associated,ECM-affiliated Proteins
Serpinf2,0.09574955551388681,0.32116903946573844,-0.6407140165534331,8,8,Stable,Matrisome-associated,ECM Regulators
Gpi1,0.09574925746958092,0.2008895415746038,-0.026259533095913,4,4,Stable,Non-ECM,Non-ECM
Col6a2,0.09499525361963322,0.3723390354553762,-0.9094774285207885,10,10,Stable,Core matrisome,Collagens
Sod3,0.09490627166668392,0.30182304721098807,-0.5485548239676263,4,4,Stable,Non-ECM,Non-ECM
Serpina3k,0.09448571483936176,0.3697418172553622,-0.9011258362124728,5,5,Stable,Matrisome-associated,ECM Regulators
Lgi3,0.09379454534972585,0.010901227642526956,0.943748532122747,2,2,Stable,Core matrisome,ECM Glycoproteins
IGFBP3,0.09365598338169633,0.060174994584686246,0.689268601290355,4,4,Stable,Core matrisome,ECM Glycoproteins
Gas6,0.09339743331375736,0.09468395573032383,0.5104177231932867,2,2,Stable,Core matrisome,ECM Glycoproteins
Col4a5,0.09213243199151175,0.09472630098493354,0.5069739137579934,2,2,Stable,Core matrisome,Collagens
Serpina1c,0.09052095985066781,0.12445883406451495,0.34674466178384256,4,4,Stable,Matrisome-associated,ECM Regulators
1300017J02Rik,0.089251987690925,0.16832871476265074,0.11055774464279278,4,4,Stable,Non-ECM,Non-ECM
FAM20C,0.08871697254349539,0.313909114966624,-0.6633857078979708,2,2,Stable,Matrisome-associated,ECM Regulators
MUC1,0.08806431925887169,0.360625411546014,-0.9175642299782074,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Col12a1,0.0849178949052843,0.526779710620329,-1.8487221904086009,9,9,Stable,Core matrisome,Collagens
FBLN1,0.0837734078718199,0.2689566586748487,-0.4635232691687541,9,7,Stable,Core matrisome,ECM Glycoproteins
SEMA3D,0.0835970652270851,0.0831731170591635,0.546980138509897,3,3,Stable,Matrisome-associated,ECM-affiliated Proteins
Serpinb9b,0.08335670605724775,0.021548728497592335,0.882476463714044,2,2,Stable,Matrisome-associated,ECM Regulators
Tnxb,0.08266950738535989,0.24884512947773862,-0.36226966963224205,2,2,Stable,Core matrisome,ECM Glycoproteins
SERPINE1,0.08248756907183502,0.42107010931936867,-1.3073906428860216,4,4,Stable,Matrisome-associated,ECM Regulators
Col18a1,0.08143449363388573,0.10696465242178081,0.41045029377036013,9,9,Stable,Core matrisome,Collagens
Npc2,0.08044381425414254,0.355434714520606,-0.9697805435436038,3,3,Stable,Non-ECM,Non-ECM
VWF,0.07895957721354792,0.6525893225282673,-2.646573895006183,6,6,Stable,Core matrisome,ECM Glycoproteins
Egfl7,0.07710040009769405,0.04443702458470064,0.7490856906015582,2,2,Stable,Matrisome-associated,Secreted Factors
Lama5,0.07651863119575038,0.15352046956748613,0.13028744599067532,10,10,Stable,Core matrisome,ECM Glycoproteins
CTSF,0.07610451412869046,0.6599045533376794,-2.7472324693247008,2,2,Stable,Matrisome-associated,ECM Regulators
MMP12,0.0756803445838968,0.12078458620445748,0.31247524308687624,2,2,Stable,Matrisome-associated,ECM Regulators
Lgals1,0.07305267456999591,0.1668695674741643,0.03572962458508944,10,10,Stable,Matrisome-associated,ECM-affiliated Proteins
Col6a1,0.07080876804640195,0.4171033118151956,-1.441931503784895,10,10,Stable,Core matrisome,Collagens
Tgfbi,0.07045155113204142,0.19883246230814358,-0.16650427049570649,9,9,Stable,Core matrisome,ECM Glycoproteins
Vwf,0.07037326428272483,0.22191199242821016,-0.3025047877227949,5,5,Stable,Core matrisome,ECM Glycoproteins
HAPLN1,0.07003082493605253,0.43183428184278005,-1.5397411440260322,4,4,Stable,Core matrisome,Proteoglycans
Hmgb1,0.06914898828615071,0.34947892932757907,-1.0661012097593083,4,4,Stable,Non-ECM,Non-ECM
Nucb1,0.06905770924130639,0.06741822148106293,0.6012117886630489,4,4,Stable,Non-ECM,Non-ECM
SRPX,0.06704858255811784,0.9536558349119675,-4.708853198920028,4,4,Stable,Core matrisome,ECM Glycoproteins
S100a1,0.06664291970185453,0.022977215170689794,0.8621170631683664,4,4,Stable,Matrisome-associated,Secreted Factors
Rab5b,0.06638916200118529,0.2705023925753401,-0.6257212268033006,4,4,Stable,Non-ECM,Non-ECM
TGFB1,0.06569377084860824,0.10664611983900604,0.35636614887323137,3,3,Stable,Matrisome-associated,Secreted Factors
NTN4,0.06495360015152585,0.06297465143708851,0.6182280872970327,2,2,Stable,Core matrisome,ECM Glycoproteins
BGN,0.06494913831333936,0.3337431910080351,-1.0233096966778485,8,8,Stable,Core matrisome,Proteoglycans
Txn1,0.06490360830792552,0.12738484326568583,0.2275193698137925,4,4,Stable,Non-ECM,Non-ECM
Lamc1,0.06345058319046808,0.20941278010604347,-0.2811993448932262,7,6,Stable,Core matrisome,ECM Glycoproteins
CILP2,0.0632938628081539,0.05222529722357008,0.6801759948264126,3,3,Stable,Core matrisome,ECM Glycoproteins
Megf10,0.0624161876426598,0.04399783462643122,0.7291043752163848,2,2,Stable,Matrisome-associated,Secreted Factors
Mstn,0.06239993507206115,0.04459283251441025,0.7254134831111649,2,2,Stable,Matrisome-associated,Secreted Factors
Gpt,0.061401770498920746,0.12818623885468194,0.2057940971871861,4,4,Stable,Non-ECM,Non-ECM
Sra1,0.06119553045182173,0.18346753270316069,-0.13816761661388388,4,4,Stable,Non-ECM,Non-ECM
Itih2,0.061182154521559645,0.22957810196039263,-0.42433945396656414,6,6,Stable,Matrisome-associated,ECM Regulators
Nenf,0.060090179704844704,0.09501954538746059,0.4064623728785466,4,4,Stable,Non-ECM,Non-ECM
Ddt,0.059565892040971694,0.06094159085497534,0.6180788383063257,4,4,Stable,Non-ECM,Non-ECM
Hdgf,0.05948211113745992,0.05960751912211608,0.6262432275508348,4,4,Stable,Non-ECM,Non-ECM
Agt,0.05938670335507806,0.14864358579515188,0.06740284687357456,3,3,Stable,Matrisome-associated,ECM Regulators
Edil3,0.058942434229655505,0.03110531635524491,0.8042982259205813,2,2,Stable,Core matrisome,ECM Glycoproteins
Pzp,0.05871402075621071,0.2489214415617406,-0.568364536262937,6,6,Stable,Matrisome-associated,ECM Regulators
Cpn2,0.057874444410764704,0.20876565302858222,-0.3223524162365792,3,3,Stable,Matrisome-associated,ECM Regulators
SEMA3E,0.057630819638656905,0.38316670064335223,-1.4307854360061043,3,3,Stable,Matrisome-associated,ECM-affiliated Proteins
Lrpap1,0.05739529601789537,0.06597645875002846,0.5808231858306163,4,4,Stable,Non-ECM,Non-ECM
MDK,0.05734040098229695,0.47505732972674003,-2.0192965491437307,2,2,Stable,Matrisome-associated,Secreted Factors
Tinagl1,0.057000514412854156,0.22105896472347095,-0.40801427020911785,10,10,Stable,Core matrisome,ECM Glycoproteins
CST3,0.05535741917194828,0.18404679328870865,-0.18466690724958057,6,6,Stable,Matrisome-associated,ECM Regulators
EFEMP2,0.054247319259626225,0.13738913486862514,0.10929320828341726,3,3,Stable,Core matrisome,ECM Glycoproteins
Aldoa,0.05394101449516653,0.1607892132294151,-0.04448586204726879,4,4,Stable,Non-ECM,Non-ECM
Cd151,0.05384245169299986,0.11299108582276865,0.26554026811632014,3,3,Stable,Non-ECM,Non-ECM
Loxl1,0.05357687188260499,0.3289446284908877,-1.1418891038641208,2,2,Stable,Matrisome-associated,ECM Regulators
Igf2r,0.05342585512484632,0.13016486960055756,0.1516105972188373,4,4,Stable,Non-ECM,Non-ECM
SEMA3C,0.05338921741330199,0.2602547179143767,-0.696694997883256,4,4,Stable,Matrisome-associated,ECM-affiliated Proteins
C1qb,0.05284605950847114,0.09219415475476225,0.3968169342981812,5,5,Stable,Matrisome-associated,ECM-affiliated Proteins
TINAGL1,0.052739257206934696,0.4230517942794203,-1.7697646434554795,8,5,Stable,Core matrisome,ECM Glycoproteins
NPNT,0.05159754041017438,0.4236258838834668,-1.7944113257858332,4,2,Stable,Core matrisome,ECM Glycoproteins
S100a4,0.05155303209049945,0.18730830315713923,-0.23592580480533454,4,4,Stable,Matrisome-associated,Secreted Factors
PRELP,0.051389483790773995,0.252587124150244,-0.6684588508098024,8,8,Stable,Core matrisome,Proteoglycans
PXDN,0.04964033702233864,0.3936821777293873,-1.6308559948686665,8,7,Stable,Core matrisome,ECM Glycoproteins
Clec1a,0.048947723343975846,0.03617132392553901,0.7571542342946328,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Slmap,0.04837730760344745,0.22434989812127884,-0.5120229753789263,4,4,Stable,Non-ECM,Non-ECM
COL4A1,0.047400373923812134,0.21621338182466546,-0.46684418817296347,6,6,Stable,Core matrisome,Collagens
Anxa4,0.0467552117494583,0.16796531383831131,-0.14452707904549977,6,6,Stable,Matrisome-associated,ECM-affiliated Proteins
Alb,0.04491255060640116,0.28732548729438,-0.9827508803898457,4,4,Stable,Non-ECM,Non-ECM
Ccs,0.043491044013427134,0.21067289497806474,-0.4681954293840882,3,3,Stable,Non-ECM,Non-ECM
Gars,0.04325489382171745,0.13068315267942843,0.08775784761625482,4,4,Stable,Non-ECM,Non-ECM
Gpc1,0.04320813142432293,0.18069789564747193,-0.2617851643637996,9,9,Stable,Matrisome-associated,ECM-affiliated Proteins
Ctsc,0.04300731558169426,0.3152506887233869,-1.2044374963691769,6,6,Stable,Matrisome-associated,ECM Regulators
Pkm,0.04277795202409243,0.20615426496685577,-0.4438802493263747,4,4,Stable,Non-ECM,Non-ECM
ACAN,0.04174398552878804,0.1233435305481458,0.12981471426810642,5,5,Stable,Core matrisome,Proteoglycans
Dpt,0.041549320627626764,0.29894433735042897,-1.1119446990272785,8,8,Stable,Core matrisome,ECM Glycoproteins
Col2a1,0.040566572268517086,0.9092148171871975,-5.468215042267454,6,6,Stable,Core matrisome,Collagens
Hapln4,0.0384156464937702,0.009514931923943482,0.9312582633180004,2,2,Stable,Core matrisome,Proteoglycans
Ybx1,0.036022761030458456,0.297370102287983,-1.186178989716253,2,2,Stable,Non-ECM,Non-ECM
Serpind1,0.035837727153276995,0.0849440716706616,0.3746650989322565,6,6,Stable,Matrisome-associated,ECM Regulators
Npnt,0.0352407272595094,0.2452068163826705,-0.813113707323907,2,2,Stable,Core matrisome,ECM Glycoproteins
Snca,0.03404394692677501,0.25987640893338015,-0.9387403526348295,3,3,Stable,Non-ECM,Non-ECM
Dpp7,0.033851473988945266,0.1557201519176033,-0.16338018011265354,4,4,Stable,Non-ECM,Non-ECM
Afm,0.0330098767187093,0.17049559911630274,-0.28182660808616955,4,4,Stable,Non-ECM,Non-ECM
Pdcd6ip,0.0326699097831104,0.18568424667782024,-0.3995957861234547,4,4,Stable,Non-ECM,Non-ECM
Plxnb1,0.032533249142842634,0.08122060822752929,0.3871680596920193,5,5,Stable,Matrisome-associated,ECM-affiliated Proteins
S100a9,0.03203235223217935,0.1623518917537524,-0.22963719883029898,6,6,Stable,Matrisome-associated,Secreted Factors
Hexb,0.0318866748116239,0.2698253376758598,-1.0458877901141728,4,4,Stable,Non-ECM,Non-ECM
Sema7a,0.03167808743578568,0.24029202025849894,-0.824844398470475,4,4,Stable,Matrisome-associated,ECM-affiliated Proteins
DCN,0.03162510678876691,0.3306563657787956,-1.5121071036199476,8,8,Stable,Core matrisome,Proteoglycans
Serpina6,0.03136021015611905,0.25600865993550104,-0.9489056817984667,5,5,Stable,Matrisome-associated,ECM Regulators
Anxa5,0.030355841682335606,0.36362679988885044,-1.7894937058131486,10,10,Stable,Matrisome-associated,ECM-affiliated Proteins
CTSC,0.030199971941038278,0.187372421290717,-0.4391126088381152,3,3,Stable,Matrisome-associated,ECM Regulators
Thbs4,0.029260606884920486,0.3062284973955361,-1.3690782890116586,8,8,Stable,Core matrisome,ECM Glycoproteins
LAMC1,0.028977399988155537,0.41416666887981296,-2.211156907472529,8,8,Stable,Core matrisome,ECM Glycoproteins
Plg,0.0285395569753484,0.06890814729540447,0.4639148530080913,8,8,Stable,Matrisome-associated,ECM Regulators
SLPI,0.028482239892731267,0.4160206233892744,-2.2379621007277466,9,7,Stable,Matrisome-associated,ECM Regulators
Hspg2,0.028346594279217863,0.10007049213989634,0.22031049828877347,7,6,Stable,Core matrisome,Proteoglycans
CLEC3B,0.027271992888374362,0.422984350510916,-2.3234676452493375,5,5,Stable,Matrisome-associated,ECM-affiliated Proteins
Lgals3bp,0.025330371294764602,0.370478135275239,-1.9560124289739091,3,3,Stable,Non-ECM,Non-ECM
Selenop,0.025255838577884063,0.11235440953912135,0.10300062005285782,3,3,Stable,Non-ECM,Non-ECM
PRSS2,0.025082626875862907,0.2541808058834744,-1.0321031963594254,5,5,Stable,Matrisome-associated,ECM Regulators
Npc1,0.0249616686177545,0.017739533956465246,0.8580401962242619,2,2,Stable,Non-ECM,Non-ECM
TGM1,0.024853322532024658,0.25767229325940794,-1.0638000498009608,2,2,Stable,Matrisome-associated,ECM Regulators
Galnt2,0.02459672248173095,0.03918588410487782,0.6854982753609473,2,2,Stable,Non-ECM,Non-ECM
Fgg,0.023295446578446857,0.3009943884837091,-1.4412449675682146,10,10,Stable,Core matrisome,ECM Glycoproteins
THBS3,0.023289531905083205,1.1028971121041324,-7.945586012551486,4,4,Stable,Core matrisome,ECM Glycoproteins
Prg2,0.022570309868989422,0.1801481042089125,-0.4697531922817664,9,3,Stable,Core matrisome,Proteoglycans
S100b,0.022261024015905333,0.07558099443095649,0.3818063030363307,3,3,Stable,Matrisome-associated,Secreted Factors
FNDC1,0.02169980373666231,0.9260561102890567,-6.6093476066147545,5,5,Stable,Core matrisome,ECM Glycoproteins
Srpx2,0.0198693315320559,0.11201224365718944,0.0655471067907415,2,2,Stable,Core matrisome,ECM Glycoproteins
Ckm,0.019672677357352546,0.17512592026584473,-0.4633742984031699,4,4,Stable,Non-ECM,Non-ECM
MMP9,0.019369865064413176,0.18872098555073086,-0.5809767854633587,4,4,Stable,Matrisome-associated,ECM Regulators
Xdh,0.018892143959463648,0.08743342314796865,0.26459881842336763,4,4,Stable,Non-ECM,Non-ECM
Ago2,0.018853926073340327,0.06537826117167353,0.449927626864164,4,4,Stable,Non-ECM,Non-ECM
Lama1,0.018822660864926025,0.1186414352757316,0.0015251769980176855,4,4,Stable,Core matrisome,ECM Glycoproteins
Slc2a4,0.018509977216219702,0.09376946422916355,0.20876312331001012,4,4,Stable,Non-ECM,Non-ECM
S100A8,0.016216805507629734,0.49146233966660063,-3.228840549522209,6,6,Stable,Matrisome-associated,Secreted Factors
Vwa1,0.016115859332997598,0.1557426273854525,-0.34126921404261457,10,10,Stable,Core matrisome,ECM Glycoproteins
SRPX2,0.015580860053251835,0.15879324859018257,-0.3738714914997292,4,4,Stable,Core matrisome,ECM Glycoproteins
Pon1,0.014787324684155936,0.0775787853879946,0.324151986280217,3,3,Stable,Non-ECM,Non-ECM
Dnpep,0.01399697786732667,0.12244778318438096,-0.07413183643244992,4,4,Stable,Non-ECM,Non-ECM
Ogn,0.012824694567946458,0.18912717595123776,-0.676292381517059,8,8,Stable,Core matrisome,Proteoglycans
Pon3,0.01056247478953845,0.2566295907130419,-1.3211274096527776,4,4,Stable,Non-ECM,Non-ECM
Dnajc9,0.010159996819656666,0.08303907708271832,0.24619572004289458,3,3,Stable,Non-ECM,Non-ECM
Pgk1,0.0099705944321026,0.17915535785154393,-0.6291205733379661,4,4,Stable,Non-ECM,Non-ECM
DPT,0.009547146217448718,0.2667829970726131,-1.4353258508720494,8,8,Stable,Core matrisome,ECM Glycoproteins
Cat,0.008931961824056254,0.24769134531252845,-1.273816987823944,4,4,Stable,Non-ECM,Non-ECM
Col6a3,0.008023712363903073,0.08376952569898095,0.22452650565476073,4,4,Stable,Core matrisome,Collagens
Cx3cl1,0.0072324114050986,0.03914565083394692,0.6349457191066613,2,2,Stable,Matrisome-associated,Secreted Factors
Rbmx,0.007144697528488129,0.13075728440157897,-0.22038035869028993,3,3,Stable,Non-ECM,Non-ECM
Lgi1,0.007096767801054764,0.14321482927878829,-0.33724697971116346,3,3,Stable,Core matrisome,ECM Glycoproteins
Ctsa,0.0068401859992725,0.05611096388373094,0.47481405653755593,4,4,Stable,Matrisome-associated,ECM Regulators
Cfb,0.005440962940836028,0.1772194716217913,-0.6807459518482479,4,4,Stable,Non-ECM,Non-ECM
Adamtsl1,0.005038156971372852,0.0564343962424772,0.46272480525474324,2,2,Stable,Matrisome-associated,ECM Regulators
LMAN1,0.004943893402808086,0.414445380647886,-2.94920911745777,5,5,Stable,Matrisome-associated,ECM-affiliated Proteins
Bag6,0.0044780141229068034,0.10978868073742429,-0.0508304704975544,4,4,Stable,Non-ECM,Non-ECM
Adam10,0.0043083407159129105,0.09649186597202569,0.07493623894541313,7,7,Stable,Matrisome-associated,ECM Regulators
LAMC3,0.003977826653282848,0.12050316655038383,-0.15893138401714446,2,2,Stable,Core matrisome,ECM Glycoproteins
Prelp,0.003439948658107339,0.2614270992646981,-1.5273320671182304,10,10,Stable,Core matrisome,Proteoglycans
Dag1,0.002968639191082421,0.1945476649476768,-0.8893875501903841,4,4,Stable,Non-ECM,Non-ECM
Ncan,0.0026623138098919013,0.027189824047035415,0.7351528225110433,2,2,Stable,Core matrisome,Proteoglycans
PLXNB2,0.0024972342011515547,0.38937319676243715,-2.79886540156088,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
FGF2,0.0018616693674311999,0.03226109660438056,0.6832852160707314,2,2,Stable,Matrisome-associated,Secreted Factors
Adam17,0.0015334487871206497,0.11603667355339095,-0.1428418411816028,4,4,Stable,Matrisome-associated,ECM Regulators
Kars,0.0002467766441156677,0.1583403707199573,-0.579505855655376,4,4,Stable,Non-ECM,Non-ECM
PRG2,1.2800359514387322e-05,0.25643732378715817,-1.5640450308895169,4,4,Stable,Core matrisome,Proteoglycans
Apoh,-0.0007244788069074512,0.18507378136806824,-0.8374260513460834,4,4,Stable,Non-ECM,Non-ECM
Vcan,-0.002673110899252563,0.14243610658102088,-0.38727759715769716,6,6,Stable,Core matrisome,Proteoglycans
Serpina1d,-0.002680596967277799,0.3162498463728152,-2.0799377459170554,9,9,Stable,Matrisome-associated,ECM Regulators
Cpm,-0.003395502986289045,0.21341539158079767,-1.0640684112644436,2,2,Stable,Non-ECM,Non-ECM
Crlf3,-0.0036938410060611757,0.028674916001790375,0.7234655817203816,4,4,Stable,Matrisome-associated,Secreted Factors
Pik3ip1,-0.005225266332723001,0.03852684035163172,0.6338632184611479,2,2,Stable,Matrisome-associated,Secreted Factors
MFGE8,-0.0055643955264057755,0.22576805573763972,-1.138676156973459,7,7,Stable,Core matrisome,ECM Glycoproteins
Hsd17b11,-0.00565348355860823,0.12365484006767108,-0.1703810977427649,4,4,Stable,Non-ECM,Non-ECM
Ctsh,-0.005714003805225951,0.3227826246623164,-2.0533572946213554,8,8,Stable,Matrisome-associated,ECM Regulators
Adam9,-0.00660413158550594,0.10873319324045835,-0.019971661729120793,5,5,Stable,Matrisome-associated,ECM Regulators
S100a16,-0.0070990098857849505,0.17696053756113855,-0.6523078761405634,4,4,Stable,Matrisome-associated,Secreted Factors
Nid1,-0.007680441364159135,0.19327442527939953,-0.7948888658969586,10,10,Stable,Core matrisome,ECM Glycoproteins
FLG2,-0.0078010106324163005,0.03841050371314897,0.6436906900240252,2,2,Stable,Matrisome-associated,Secreted Factors
Serpinb8,-0.007852222170197135,0.15333351508820908,-0.42170010040441985,9,6,Stable,Matrisome-associated,ECM Regulators
KCP,-0.007937104838713335,0.36319862395050106,-2.3649098194102587,2,2,Stable,Core matrisome,ECM Glycoproteins
FBLN7,-0.008508612556035225,0.27430661215015817,-1.527970874279705,3,3,Stable,Core matrisome,ECM Glycoproteins
Col1a2,-0.009398625057597532,0.46542593663489523,-3.2544038957514507,10,10,Stable,Core matrisome,Collagens
PCOLCE2,-0.011253735584990368,0.09219707168817448,0.17129010362315322,3,3,Stable,Core matrisome,ECM Glycoproteins
COL7A1,-0.0115021284978013,0.6374931811212018,-4.717318491671416,6,6,Stable,Core matrisome,Collagens
COL6A6,-0.013314555227181012,0.37765569069948446,-2.3328083046554227,5,5,Stable,Core matrisome,Collagens
CCN1,-0.013414028657248722,0.9378331741672884,-7.269110843434868,2,2,Stable,Core matrisome,ECM Glycoproteins
Igfbp6,-0.014002450174827633,0.10075345249814108,0.1162167800461188,3,3,Stable,Core matrisome,ECM Glycoproteins
Lum,-0.014859645458889459,0.3002112405613911,-1.6137225076917256,10,10,Stable,Core matrisome,Proteoglycans
Fgb,-0.015533122048256198,0.2822827223356609,-1.4433055848499983,10,10,Stable,Core matrisome,ECM Glycoproteins
Spon1,-0.016252213570134018,0.12337774350131037,-0.06129371400637962,5,5,Stable,Core matrisome,ECM Glycoproteins
Col5a2,-0.016586717467053202,0.53780767910271,-3.612941257692512,8,8,Stable,Core matrisome,Collagens
Ctsz,-0.018615527669182824,0.1434254536276531,-0.2091625476528236,9,9,Stable,Matrisome-associated,ECM Regulators
Col6a6,-0.018708596002950523,0.5249037983501763,-3.4217842348765517,8,8,Stable,Core matrisome,Collagens
Fastkd2,-0.019171213570057223,0.0807151548427839,0.32269587239426867,4,4,Stable,Non-ECM,Non-ECM
Cspg5,-0.019193215996580668,0.031903440910796034,0.73233845027127,3,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Try4,-0.0195758053842876,0.02299018415785711,0.8077354855861331,2,2,Stable,Matrisome-associated,ECM Regulators
Serpinb1a,-0.01967099163318209,0.18246762128633434,-0.5247439567112282,10,10,Stable,Matrisome-associated,ECM Regulators
CTHRC1,-0.019953335375555978,0.19607502070424188,-0.6345941535544657,4,4,Stable,Core matrisome,ECM Glycoproteins
S100a13,-0.020891183373268066,0.1428292636912952,-0.18146964655222453,5,5,Stable,Matrisome-associated,Secreted Factors
F9,-0.02105923186588807,0.2980006474572315,-1.4616102618870306,6,5,Stable,Matrisome-associated,ECM Regulators
Mmp2,-0.02154012049846966,0.14215337561713318,-0.1696004169991181,3,3,Stable,Matrisome-associated,ECM Regulators
Mfap4,-0.021715075969663378,0.20257237287760077,-0.6643162012903849,4,4,Stable,Core matrisome,ECM Glycoproteins
Retn,-0.02245917274240379,0.2714536010835284,-1.2166865495207815,2,2,Stable,Non-ECM,Non-ECM
SERPINB1,-0.022516802025168814,0.38195438769897266,-2.1175673979843777,8,8,Stable,Matrisome-associated,ECM Regulators
Lgalsl,-0.022599648028272426,0.08242870596918543,0.32765952190844194,4,4,Stable,Matrisome-associated,ECM-affiliated Proteins
Fgf13,-0.02260432288155147,0.12200781179149324,0.004865334892265816,4,4,Stable,Matrisome-associated,Secreted Factors
Lama2,-0.022670758865966346,0.2725962189750721,-1.222177652564444,10,10,Stable,Core matrisome,ECM Glycoproteins
Cdh13,-0.022740574453978746,0.21363262353653226,-0.740521620392393,4,4,Stable,Non-ECM,Non-ECM
Plxdc2,-0.022827464873917902,0.08708260641002269,0.29101682185321687,5,5,Stable,Matrisome-associated,ECM-affiliated Proteins
Ist1,-0.022836687680867798,0.060202396456868486,0.5098988942678466,4,4,Stable,Non-ECM,Non-ECM
Adam11,-0.022901150662410198,0.010579095837847713,0.9139219138240064,2,2,Stable,Matrisome-associated,ECM Regulators
Sdc4,-0.02303531001699535,0.013324353789136868,0.8917030095889033,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Itm2b,-0.02314487248114885,0.12110986451115564,0.01652531631233556,2,2,Stable,Non-ECM,Non-ECM
Gpc4,-0.02322387131941654,0.15476343370098025,-0.255953347706533,7,7,Stable,Matrisome-associated,ECM-affiliated Proteins
Megf8,-0.02339243102386365,0.016871000239646133,0.8632736214072698,2,2,Stable,Matrisome-associated,Secreted Factors
Ntn1,-0.02365010823982357,0.08670694054899782,0.29877181845383616,3,3,Stable,Core matrisome,ECM Glycoproteins
Sema4b,-0.0251513861525811,0.03360507564304648,0.7314845909730787,3,3,Stable,Matrisome-associated,ECM-affiliated Proteins
Rnpep,-0.026816475449267303,0.32992822322018145,-1.6016195612704016,4,4,Stable,Non-ECM,Non-ECM
Col25a1,-0.028022938274496798,0.07042578214367858,0.4498971583305086,2,2,Stable,Core matrisome,Collagens
Sema6d,-0.029013315567062797,0.025955549316186315,0.7988149579591707,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
THBS2,-0.02916411866017604,0.3159724844209532,-1.4462868457474638,4,4,Stable,Core matrisome,ECM Glycoproteins
Ogfod1,-0.029694171703550598,0.05576756742215218,0.5700071430378282,2,2,Stable,Matrisome-associated,ECM Regulators
Calu,-0.02975126335800687,0.15599284852816225,-0.20224531531342516,4,4,Stable,Non-ECM,Non-ECM
COL4A2,-0.029880851256382433,0.42904213424097226,-2.303351726530117,7,7,Stable,Core matrisome,Collagens
Agrn,-0.030282967587935476,0.1930840532660855,-0.48203603925249827,8,8,Stable,Core matrisome,ECM Glycoproteins
Pfn1,-0.03108680612118675,0.26497652625040713,-1.0213821214428123,4,4,Stable,Non-ECM,Non-ECM
Serpinb9,-0.031319020348995155,0.031094601207887113,0.7632132715790166,4,4,Stable,Matrisome-associated,ECM Regulators
C1qtnf9,-0.031685862512156215,0.32481109702870653,-1.4665601214308217,4,4,Stable,Matrisome-associated,ECM-affiliated Proteins
CCN2,-0.03305653944382437,0.11204504772727451,0.15791401012214645,3,3,Stable,Core matrisome,ECM Glycoproteins
Gpc6,-0.03337244000185725,0.04751762271998895,0.6437223258468747,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Ntng1,-0.0333968150596053,0.025985146969421776,0.805204142559094,2,2,Stable,Core matrisome,ECM Glycoproteins
BC048546,-0.03378918158000345,0.01811514819014487,0.8645993048450458,2,2,Stable,Matrisome-associated,ECM Regulators
SPARC,-0.033831372794234364,0.5233593592817142,-2.9105879911011505,5,5,Stable,Core matrisome,ECM Glycoproteins
Itih5,-0.03519755996726234,0.13372898071335726,0.01086246862932072,9,9,Stable,Matrisome-associated,ECM Regulators
S100A6,-0.035487781433808825,0.18243155801590863,-0.3464797791012151,4,4,Stable,Matrisome-associated,Secreted Factors
Dnajc8,-0.03588852887966833,0.05127051609804124,0.622701662011205,4,4,Stable,Non-ECM,Non-ECM
Serping1,-0.03648639708044182,0.18277454255667633,-0.33914109000146997,5,5,Stable,Matrisome-associated,ECM Regulators
Adam23,-0.036513036156590246,0.0272138798464615,0.8006499553987999,2,2,Stable,Matrisome-associated,ECM Regulators
SEMA3B,-0.03677307846462818,0.439795996670321,-2.21551581354557,5,5,Stable,Matrisome-associated,ECM-affiliated Proteins
Epdr1,-0.03690061450069927,0.34639179229347594,-1.5302427863952834,4,4,Stable,Non-ECM,Non-ECM
THSD4,-0.0372592380748602,0.1352037680787068,0.014975094026329794,3,3,Stable,Core matrisome,ECM Glycoproteins
S100a11,-0.03729843049084935,0.09407372606087225,0.31482300471641544,6,6,Stable,Matrisome-associated,Secreted Factors
S100A4,-0.038305191757887005,0.20547656615757978,-0.48567500283923515,4,4,Stable,Matrisome-associated,Secreted Factors
EGF,-0.0391934925184381,0.03827373912902899,0.72503212300705,2,2,Stable,Matrisome-associated,Secreted Factors
ABI3BP,-0.03943086323048154,0.42725289378727715,-2.064263419792654,6,6,Stable,Core matrisome,ECM Glycoproteins
MFAP4,-0.04023334539436835,1.0642150142617604,-6.588887017342013,5,5,Stable,Core matrisome,ECM Glycoproteins
